Tempo: 6.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.7s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.8s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.0s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.80	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.1s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 54.25	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.6s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.8s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.85	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.0s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.6s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.8s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 54.85	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.0s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.1s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.4s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.5s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.6s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.80	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.85	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.9s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.0s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.1s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.5s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.8s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.9s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 54.85	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.1s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.8s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 11.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.0s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.3s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.5s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.8s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 12.9s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.0s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.1s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.3s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.85	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.5s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.6s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 13.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.0s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.1s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.4s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.6s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.7s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.80	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.8s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.0s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.1s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.2s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.3s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 54.25	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.6s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.7s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.8s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.1s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.3s	Setpoint: 159 RPM		Vel.: 69 RPM	erro: 90.42 RPM		Controle: 53.20	AcaoP: 54.25	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.4s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.25	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.5s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.7s	Setpoint: 160 RPM		Vel.: 70 RPM	erro: 89.66 RPM		Controle: 53.20	AcaoP: 53.80	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.8s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.80	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 16.9s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 53.20	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.0s	Setpoint: 160 RPM		Vel.: 69 RPM	erro: 91.42 RPM		Controle: 53.20	AcaoP: 54.85	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 17.2s	Setpoint: 159 RPM		Vel.: 70 RPM	erro: 88.66 RPM		Controle: 54.85	AcaoP: 53.20	AcaoI: 0.00	 AcaoD: 0.00
