Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
14.2,-160,-72,-87.90,-61.53,-61.53,0.00
14.3,-160,-72,-87.90,-61.53,-61.53,0.00
14.4,-160,-72,-87.90,-61.53,-61.53,0.00
14.5,-160,-70,-89.66,-61.53,-62.76,0.00
14.6,-160,-72,-87.90,-62.76,-61.53,0.00
14.8,-160,-72,-87.90,-61.53,-61.53,0.00
14.9,-160,-72,-87.90,-61.53,-61.53,0.00
15.0,-160,-72,-87.90,-61.53,-61.53,0.00
15.1,-160,-70,-89.66,-61.53,-62.76,0.00
15.2,-160,-72,-87.90,-62.76,-61.53,0.00
15.3,-160,-72,-87.90,-61.53,-61.53,0.00
15.4,-160,-72,-87.90,-61.53,-61.53,0.00
15.6,-160,-74,-86.14,-61.53,-60.30,0.00
15.7,-160,-72,-87.90,-60.30,-61.53,0.00
15.8,-160,-70,-89.66,-61.53,-62.76,0.00
15.9,-160,-72,-87.90,-62.76,-61.53,0.00
16.0,-160,-72,-87.90,-61.53,-61.53,0.00
16.1,-160,-74,-86.14,-61.53,-60.30,0.00
16.2,-160,-72,-87.90,-60.30,-61.53,0.00
16.3,-160,-70,-89.66,-61.53,-62.76,0.00
16.5,-160,-72,-87.90,-62.76,-61.53,0.00
16.6,-160,-72,-87.90,-61.53,-61.53,0.00
16.7,-160,-72,-87.90,-61.53,-61.53,0.00
16.8,-160,-72,-87.90,-61.53,-61.53,0.00
16.9,-160,-72,-87.90,-61.53,-61.53,0.00
17.0,-160,-72,-87.90,-61.53,-61.53,0.00
17.1,-160,-72,-87.90,-61.53,-61.53,0.00
17.3,-160,-72,-87.90,-61.53,-61.53,0.00
17.4,-160,-72,-87.90,-61.53,-61.53,0.00
17.5,-160,-72,-87.90,-61.53,-61.53,0.00
17.6,-160,-72,-87.90,-61.53,-61.53,0.00
17.7,-160,-72,-87.90,-61.53,-61.53,0.00
17.8,-160,-74,-86.14,-61.53,-60.30,0.00
17.9,-160,-72,-87.90,-60.30,-61.53,0.00
18.0,-160,-72,-87.90,-61.53,-61.53,0.00
18.2,-160,-72,-87.90,-61.53,-61.53,0.00
18.3,-160,-72,-87.90,-61.53,-61.53,0.00
18.4,-160,-72,-87.90,-61.53,-61.53,0.00
18.5,-160,-72,-87.90,-61.53,-61.53,0.00
18.6,-160,-72,-87.90,-61.53,-61.53,0.00
18.7,-160,-72,-87.90,-61.53,-61.53,0.00
18.8,-160,-72,-87.90,-61.53,-61.53,0.00
19.0,-160,-72,-87.90,-61.53,-61.53,0.00
19.1,-160,-72,-87.90,-61.53,-61.53,0.00
