Tempo: 2.2s	Setpoint: 159 RPM		Vel.: 0 RPM	erro: 159.00 RPM		Controle: 0.00	AcaoP: 127.20	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.3s	Setpoint: 158 RPM		Vel.: 9 RPM	erro: 149.21 RPM		Controle: 127.20	AcaoP: 119.37	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.4s	Setpoint: 160 RPM		Vel.: 58 RPM	erro: 101.97 RPM		Controle: 119.37	AcaoP: 81.58	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.5s	Setpoint: 159 RPM		Vel.: 88 RPM	erro: 71.08 RPM		Controle: 81.58	AcaoP: 56.86	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.6s	Setpoint: 159 RPM		Vel.: 116 RPM	erro: 42.94 RPM		Controle: 56.86	AcaoP: 34.35	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.7s	Setpoint: 159 RPM		Vel.: 106 RPM	erro: 53.49 RPM		Controle: 34.35	AcaoP: 42.79	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 2.9s	Setpoint: 159 RPM		Vel.: 84 RPM	erro: 74.59 RPM		Controle: 42.79	AcaoP: 59.67	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.0s	Setpoint: 159 RPM		Vel.: 67 RPM	erro: 92.18 RPM		Controle: 59.67	AcaoP: 73.74	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.1s	Setpoint: 159 RPM		Vel.: 62 RPM	erro: 97.45 RPM		Controle: 73.74	AcaoP: 77.96	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.2s	Setpoint: 159 RPM		Vel.: 72 RPM	erro: 86.90 RPM		Controle: 77.96	AcaoP: 69.52	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.3s	Setpoint: 160 RPM		Vel.: 83 RPM	erro: 77.35 RPM		Controle: 69.52	AcaoP: 61.88	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.5s	Setpoint: 159 RPM		Vel.: 90 RPM	erro: 69.32 RPM		Controle: 61.88	AcaoP: 55.45	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.6s	Setpoint: 159 RPM		Vel.: 88 RPM	erro: 71.08 RPM		Controle: 55.45	AcaoP: 56.86	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.7s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 56.86	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.8s	Setpoint: 159 RPM		Vel.: 76 RPM	erro: 83.38 RPM		Controle: 62.49	AcaoP: 66.71	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 3.9s	Setpoint: 159 RPM		Vel.: 76 RPM	erro: 83.38 RPM		Controle: 66.71	AcaoP: 66.71	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.1s	Setpoint: 159 RPM		Vel.: 79 RPM	erro: 79.87 RPM		Controle: 66.71	AcaoP: 63.89	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.2s	Setpoint: 160 RPM		Vel.: 81 RPM	erro: 79.11 RPM		Controle: 63.89	AcaoP: 63.29	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.3s	Setpoint: 160 RPM		Vel.: 83 RPM	erro: 77.35 RPM		Controle: 63.29	AcaoP: 61.88	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.4s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.88	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.6s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.7s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.08	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.8s	Setpoint: 159 RPM		Vel.: 79 RPM	erro: 79.87 RPM		Controle: 62.49	AcaoP: 63.89	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 4.9s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 63.89	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.0s	Setpoint: 160 RPM		Vel.: 81 RPM	erro: 79.11 RPM		Controle: 62.49	AcaoP: 63.29	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.2s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 63.29	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.3s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.4s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.08	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.5s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.6s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.8s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.08	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 5.9s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 62.49	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.0s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 62.49	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.1s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.2s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.4s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.5s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.08	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.6s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.7s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.8s	Setpoint: 160 RPM		Vel.: 81 RPM	erro: 79.11 RPM		Controle: 61.08	AcaoP: 63.29	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.0s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 63.29	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.1s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.2s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 61.08	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.3s	Setpoint: 159 RPM		Vel.: 84 RPM	erro: 74.59 RPM		Controle: 61.08	AcaoP: 59.67	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.4s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 59.67	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.6s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.7s	Setpoint: 160 RPM		Vel.: 81 RPM	erro: 79.11 RPM		Controle: 61.08	AcaoP: 63.29	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.8s	Setpoint: 160 RPM		Vel.: 83 RPM	erro: 77.35 RPM		Controle: 63.29	AcaoP: 61.88	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.9s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.88	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.1s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.2s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.08	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.3s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 62.49	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.4s	Setpoint: 159 RPM		Vel.: 83 RPM	erro: 76.35 RPM		Controle: 62.49	AcaoP: 61.08	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.5s	Setpoint: 159 RPM		Vel.: 81 RPM	erro: 78.11 RPM		Controle: 61.08	AcaoP: 62.49	AcaoI: 0.00	 AcaoD: 0.00
