Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
0.0,159,0,159.00,0.00,0,0.00
2.2,159,0,159.00,0.00,159.00,0.00
2.3,158,19,138.66,159.00,138.66,0.00
2.4,160,84,75.59,138.66,75.59,0.00
2.5,159,109,49.97,75.59,49.97,0.00
2.6,159,102,57.01,49.97,57.01,0.00
2.7,159,84,74.59,57.01,74.59,0.00
2.8,159,76,83.38,74.59,83.38,0.00
2.9,159,74,85.14,83.38,85.14,0.00
3.0,159,79,79.87,85.14,79.87,0.00
3.1,159,88,71.08,79.87,71.08,0.00
3.2,159,93,65.80,71.08,65.80,0.00
3.3,159,90,69.32,65.80,69.32,0.00
3.4,159,86,72.83,69.32,72.83,0.00
3.5,159,83,76.35,72.83,76.35,0.00
3.6,159,83,76.35,76.35,76.35,0.00
3.7,159,83,76.35,76.35,76.35,0.00
3.9,159,86,72.83,76.35,72.83,0.00
4.0,159,86,72.83,72.83,72.83,0.00
4.1,159,88,71.08,72.83,71.08,0.00
4.2,159,84,74.59,71.08,74.59,0.00
4.3,159,84,74.59,74.59,74.59,0.00
4.4,159,86,72.83,74.59,72.83,0.00
4.5,159,84,74.59,72.83,74.59,0.00
4.6,159,86,72.83,74.59,72.83,0.00
4.7,159,86,72.83,72.83,72.83,0.00
4.8,159,84,74.59,72.83,74.59,0.00
4.9,159,86,72.83,74.59,72.83,0.00
5.0,159,86,72.83,72.83,72.83,0.00
5.1,159,86,72.83,72.83,72.83,0.00
5.2,159,84,74.59,72.83,74.59,0.00
5.4,159,86,72.83,74.59,72.83,0.00
5.5,159,84,74.59,72.83,74.59,0.00
5.6,159,86,72.83,74.59,72.83,0.00
5.7,159,86,72.83,72.83,72.83,0.00
5.8,159,86,72.83,72.83,72.83,0.00
5.9,159,86,72.83,72.83,72.83,0.00
6.0,160,84,75.59,72.83,75.59,0.00
6.1,159,86,72.83,75.59,72.83,0.00
6.2,160,86,73.83,72.83,73.83,0.00
6.3,159,86,72.83,73.83,72.83,0.00
6.4,160,86,73.83,72.83,73.83,0.00
6.5,159,86,72.83,73.83,72.83,0.00
6.6,160,88,72.08,72.83,72.08,0.00
6.7,159,86,72.83,72.08,72.83,0.00
6.9,160,86,73.83,72.83,73.83,0.00
7.0,159,84,74.59,73.83,74.59,0.00
7.1,160,86,73.83,74.59,73.83,0.00
7.2,159,86,72.83,73.83,72.83,0.00
7.3,160,88,72.08,72.83,72.08,0.00
7.4,159,86,72.83,72.08,72.83,0.00
7.5,159,86,72.83,72.83,72.83,0.00
7.6,159,86,72.83,72.83,72.83,0.00
7.7,159,84,74.59,72.83,74.59,0.00
7.8,159,84,74.59,74.59,74.59,0.00
7.9,159,84,74.59,74.59,74.59,0.00
8.0,159,86,72.83,74.59,72.83,0.00
8.1,159,86,72.83,72.83,72.83,0.00
8.2,159,86,72.83,72.83,72.83,0.00
8.4,159,88,71.08,72.83,71.08,0.00
8.5,159,84,74.59,71.08,74.59,0.00
8.6,159,86,72.83,74.59,72.83,0.00
8.7,159,84,74.59,72.83,74.59,0.00
8.8,159,86,72.83,74.59,72.83,0.00
8.9,159,86,72.83,72.83,72.83,0.00
9.0,159,86,72.83,72.83,72.83,0.00
9.1,159,86,72.83,72.83,72.83,0.00
9.2,159,84,74.59,72.83,74.59,0.00
9.3,159,86,72.83,74.59,72.83,0.00
9.4,159,86,72.83,72.83,72.83,0.00
9.5,159,86,72.83,72.83,72.83,0.00
9.6,159,84,74.59,72.83,74.59,0.00
9.7,159,86,72.83,74.59,72.83,0.00
9.9,159,86,72.83,72.83,72.83,0.00
10.0,159,86,72.83,72.83,72.83,0.00
