Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
0.0,-160,0,-160.00,0.00,0,0.00
2.2,159,0,159.00,0.00,318.00,0.00
2.3,159,35,123.83,318.00,247.66,0.00
2.4,159,125,34.15,247.66,68.29,0.00
2.5,159,139,20.08,68.29,40.16,0.00
2.6,159,120,39.42,40.16,78.84,0.00
2.7,159,97,62.28,78.84,124.57,0.00
2.8,159,88,71.08,124.57,142.15,0.00
2.9,158,98,59.52,142.15,119.05,0.00
3.0,159,116,42.94,119.05,85.88,0.00
3.1,159,128,30.63,85.88,61.26,0.00
3.2,159,123,35.91,61.26,71.81,0.00
3.3,159,109,49.97,71.81,99.95,0.00
3.4,159,97,62.28,99.95,124.57,0.00
3.5,159,100,58.77,124.57,117.53,0.00
3.7,159,114,44.70,117.53,89.40,0.00
3.8,159,125,34.15,89.40,68.29,0.00
3.9,160,121,38.66,68.29,77.33,0.00
4.0,159,113,46.46,77.33,92.91,0.00
4.1,160,104,56.25,92.91,112.50,0.00
4.2,159,104,55.25,112.50,110.50,0.00
4.3,159,116,42.94,110.50,85.88,0.00
4.4,160,121,38.66,85.88,77.33,0.00
4.5,160,118,42.18,77.33,84.36,0.00
4.6,159,113,46.46,84.36,92.91,0.00
4.7,159,107,51.73,92.91,103.46,0.00
4.8,159,109,49.97,103.46,99.95,0.00
5.0,159,114,44.70,99.95,89.40,0.00
5.1,159,116,42.94,89.40,85.88,0.00
5.2,159,116,42.94,85.88,85.88,0.00
5.3,159,113,46.46,85.88,92.91,0.00
5.4,159,109,49.97,92.91,99.95,0.00
5.5,159,109,49.97,99.95,99.95,0.00
5.6,159,114,44.70,99.95,89.40,0.00
5.7,159,116,42.94,89.40,85.88,0.00
5.8,159,116,42.94,85.88,85.88,0.00
5.9,159,114,44.70,85.88,89.40,0.00
6.0,159,113,46.46,89.40,92.91,0.00
6.1,159,111,48.21,92.91,96.43,0.00
6.3,159,111,48.21,96.43,96.43,0.00
6.4,159,114,44.70,96.43,89.40,0.00
6.5,159,116,42.94,89.40,85.88,0.00
6.6,159,116,42.94,85.88,85.88,0.00
6.7,159,113,46.46,85.88,92.91,0.00
6.8,159,113,46.46,92.91,92.91,0.00
6.9,159,111,48.21,92.91,96.43,0.00
7.0,159,113,46.46,96.43,92.91,0.00
7.1,159,113,46.46,92.91,92.91,0.00
7.2,159,114,44.70,92.91,89.40,0.00
7.3,159,114,44.70,89.40,89.40,0.00
7.4,159,114,44.70,89.40,89.40,0.00
7.6,159,113,46.46,89.40,92.91,0.00
7.7,159,113,46.46,92.91,92.91,0.00
7.8,159,113,46.46,92.91,92.91,0.00
7.9,159,114,44.70,92.91,89.40,0.00
8.0,159,116,42.94,89.40,85.88,0.00
8.1,159,114,44.70,85.88,89.40,0.00
8.2,159,113,46.46,89.40,92.91,0.00
8.3,159,111,48.21,92.91,96.43,0.00
8.4,159,113,46.46,96.43,92.91,0.00
8.5,159,116,42.94,92.91,85.88,0.00
8.6,159,116,42.94,85.88,85.88,0.00
8.7,159,114,44.70,85.88,89.40,0.00
8.9,159,113,46.46,89.40,92.91,0.00
9.0,159,111,48.21,92.91,96.43,0.00
9.1,159,113,46.46,96.43,92.91,0.00
9.2,159,114,44.70,92.91,89.40,0.00
9.3,159,116,42.94,89.40,85.88,0.00
9.4,159,116,42.94,85.88,85.88,0.00
9.5,160,113,47.46,85.88,94.91,0.00
9.6,160,111,49.21,94.91,98.43,0.00
9.7,160,113,47.46,98.43,94.91,0.00
9.8,160,116,43.94,94.91,87.88,0.00
9.9,160,118,42.18,87.88,84.36,0.00
10.0,159,116,42.94,84.36,85.88,0.00
10.2,159,114,44.70,85.88,89.40,0.00
10.3,159,111,48.21,89.40,96.43,0.00
10.4,159,113,46.46,96.43,92.91,0.00
10.5,159,113,46.46,92.91,92.91,0.00
10.6,159,114,44.70,92.91,89.40,0.00
10.7,159,116,42.94,89.40,85.88,0.00
10.8,159,114,44.70,85.88,89.40,0.00
10.9,159,113,46.46,89.40,92.91,0.00
11.0,159,113,46.46,92.91,92.91,0.00
11.1,159,113,46.46,92.91,92.91,0.00
11.2,159,114,44.70,92.91,89.40,0.00
11.4,159,114,44.70,89.40,89.40,0.00
11.5,159,114,44.70,89.40,89.40,0.00
11.6,159,114,44.70,89.40,89.40,0.00
11.7,160,114,45.70,89.40,91.40,0.00
11.8,159,113,46.46,91.40,92.91,0.00
11.9,160,113,47.46,92.91,94.91,0.00
12.0,159,114,44.70,94.91,89.40,0.00
12.1,159,116,42.94,89.40,85.88,0.00
12.2,159,116,42.94,85.88,85.88,0.00
12.3,159,116,42.94,85.88,85.88,0.00
12.4,159,113,46.46,85.88,92.91,0.00
12.6,159,111,48.21,92.91,96.43,0.00
12.7,159,111,48.21,96.43,96.43,0.00
12.8,159,116,42.94,96.43,85.88,0.00
12.9,159,118,41.18,85.88,82.36,0.00
13.0,159,116,42.94,82.36,85.88,0.00
13.1,159,113,46.46,85.88,92.91,0.00
13.2,159,111,48.21,92.91,96.43,0.00
13.3,160,111,49.21,96.43,98.43,0.00
13.4,159,113,46.46,98.43,92.91,0.00
13.5,159,116,42.94,92.91,85.88,0.00
13.6,159,118,41.18,85.88,82.36,0.00
13.8,159,114,44.70,82.36,89.40,0.00
13.9,159,113,46.46,89.40,92.91,0.00
14.0,159,111,48.21,92.91,96.43,0.00
14.1,159,113,46.46,96.43,92.91,0.00
14.2,159,114,44.70,92.91,89.40,0.00
14.3,159,116,42.94,89.40,85.88,0.00
14.4,159,114,44.70,85.88,89.40,0.00
14.5,159,114,44.70,89.40,89.40,0.00
14.6,159,113,46.46,89.40,92.91,0.00
14.7,159,113,46.46,92.91,92.91,0.00
14.8,159,114,44.70,92.91,89.40,0.00
15.0,159,109,49.97,89.40,99.95,0.00
15.1,159,109,49.97,99.95,99.95,0.00
15.2,159,109,49.97,99.95,99.95,0.00
15.3,158,113,45.46,99.95,90.91,0.00
15.4,159,116,42.94,90.91,85.88,0.00
15.5,158,116,41.94,85.88,83.88,0.00
15.6,158,113,45.46,83.88,90.91,0.00
15.7,158,111,47.21,90.91,94.43,0.00
15.8,158,109,48.97,94.43,97.95,0.00
15.9,158,113,45.46,97.95,90.91,0.00
16.0,158,114,43.70,90.91,87.40,0.00
16.2,158,114,43.70,87.40,87.40,0.00
16.3,158,114,43.70,87.40,87.40,0.00
16.4,159,113,46.46,87.40,92.91,0.00
16.5,158,111,47.21,92.91,94.43,0.00
16.6,159,113,46.46,94.43,92.91,0.00
16.7,158,114,43.70,92.91,87.40,0.00
16.8,159,116,42.94,87.40,85.88,0.00
16.9,158,114,43.70,85.88,87.40,0.00
17.0,159,113,46.46,87.40,92.91,0.00
17.1,158,113,45.46,92.91,90.91,0.00
17.2,159,111,48.21,90.91,96.43,0.00
17.4,158,113,45.46,96.43,90.91,0.00
17.5,160,114,45.70,90.91,91.40,0.00
17.6,158,116,41.94,91.40,83.88,0.00
17.7,159,116,42.94,83.88,85.88,0.00
17.8,159,113,46.46,85.88,92.91,0.00
17.9,158,113,45.46,92.91,90.91,0.00
18.0,158,111,47.21,90.91,94.43,0.00
18.1,158,114,43.70,94.43,87.40,0.00
18.2,159,114,44.70,87.40,89.40,0.00
18.3,158,114,43.70,89.40,87.40,0.00
18.5,159,114,44.70,87.40,89.40,0.00
18.6,158,113,45.46,89.40,90.91,0.00
18.7,159,113,46.46,90.91,92.91,0.00
18.8,158,113,45.46,92.91,90.91,0.00
18.9,159,114,44.70,90.91,89.40,0.00
19.0,158,116,41.94,89.40,83.88,0.00
19.1,159,114,44.70,83.88,89.40,0.00
19.2,158,113,45.46,89.40,90.91,0.00
19.3,158,113,45.46,90.91,90.91,0.00
19.4,158,113,45.46,90.91,90.91,0.00
19.5,159,113,46.46,90.91,92.91,0.00
19.7,158,113,45.46,92.91,90.91,0.00
19.8,158,114,43.70,90.91,87.40,0.00
19.9,158,114,43.70,87.40,87.40,0.00
20.0,158,113,45.46,87.40,90.91,0.00
20.1,159,113,46.46,90.91,92.91,0.00
20.2,158,113,45.46,92.91,90.91,0.00
20.3,159,113,46.46,90.91,92.91,0.00
20.4,158,114,43.70,92.91,87.40,0.00
20.5,159,114,44.70,87.40,89.40,0.00
20.6,158,114,43.70,89.40,87.40,0.00
20.7,159,114,44.70,87.40,89.40,0.00
20.9,158,113,45.46,89.40,90.91,0.00
21.0,159,113,46.46,90.91,92.91,0.00
21.1,158,113,45.46,92.91,90.91,0.00
21.2,160,113,47.46,90.91,94.91,0.00
21.3,158,113,45.46,94.91,90.91,0.00
21.4,158,113,45.46,90.91,90.91,0.00
21.5,158,114,43.70,90.91,87.40,0.00
21.6,158,114,43.70,87.40,87.40,0.00
21.7,159,113,46.46,87.40,92.91,0.00
21.8,158,113,45.46,92.91,90.91,0.00
21.9,159,113,46.46,90.91,92.91,0.00
22.1,158,114,43.70,92.91,87.40,0.00
22.2,159,114,44.70,87.40,89.40,0.00
22.3,158,114,43.70,89.40,87.40,0.00
22.4,159,113,46.46,87.40,92.91,0.00
22.5,158,113,45.46,92.91,90.91,0.00
22.6,159,114,44.70,90.91,89.40,0.00
22.7,158,114,43.70,89.40,87.40,0.00
22.8,159,114,44.70,87.40,89.40,0.00
22.9,158,114,43.70,89.40,87.40,0.00
23.0,158,113,45.46,87.40,90.91,0.00
23.1,159,114,44.70,90.91,89.40,0.00
23.3,158,113,45.46,89.40,90.91,0.00
23.4,159,114,44.70,90.91,89.40,0.00
23.5,158,113,45.46,89.40,90.91,0.00
23.6,159,114,44.70,90.91,89.40,0.00
23.7,158,114,43.70,89.40,87.40,0.00
23.8,159,114,44.70,87.40,89.40,0.00
23.9,158,114,43.70,89.40,87.40,0.00
24.0,159,113,46.46,87.40,92.91,0.00
24.1,158,113,45.46,92.91,90.91,0.00
24.2,159,113,46.46,90.91,92.91,0.00
24.3,158,114,43.70,92.91,87.40,0.00
24.5,159,114,44.70,87.40,89.40,0.00
24.6,159,116,42.94,89.40,85.88,0.00
24.7,159,114,44.70,85.88,89.40,0.00
24.8,159,113,46.46,89.40,92.91,0.00
24.9,158,111,47.21,92.91,94.43,0.00
25.0,159,114,44.70,94.43,89.40,0.00
25.1,158,114,43.70,89.40,87.40,0.00
25.2,159,116,42.94,87.40,85.88,0.00
25.3,158,114,43.70,85.88,87.40,0.00
25.4,158,113,45.46,87.40,90.91,0.00
25.5,158,113,45.46,90.91,90.91,0.00
25.7,159,111,48.21,90.91,96.43,0.00
25.8,159,114,44.70,96.43,89.40,0.00
25.9,159,114,44.70,89.40,89.40,0.00
26.0,158,116,41.94,89.40,83.88,0.00
26.1,159,114,44.70,83.88,89.40,0.00
26.2,158,113,45.46,89.40,90.91,0.00
26.3,159,113,46.46,90.91,92.91,0.00
26.4,158,111,47.21,92.91,94.43,0.00
26.5,159,114,44.70,94.43,89.40,0.00
26.6,158,114,43.70,89.40,87.40,0.00
26.7,158,113,45.46,87.40,90.91,0.00
26.9,158,113,45.46,90.91,90.91,0.00
27.0,158,111,47.21,90.91,94.43,0.00
27.1,158,111,47.21,94.43,94.43,0.00
27.2,158,113,45.46,94.43,90.91,0.00
27.3,159,114,44.70,90.91,89.40,0.00
27.4,158,116,41.94,89.40,83.88,0.00
27.5,159,114,44.70,83.88,89.40,0.00
27.6,158,114,43.70,89.40,87.40,0.00
27.7,159,111,48.21,87.40,96.43,0.00
27.8,158,113,45.46,96.43,90.91,0.00
28.0,159,113,46.46,90.91,92.91,0.00
28.1,158,116,41.94,92.91,83.88,0.00
28.2,159,114,44.70,83.88,89.40,0.00
28.3,159,114,44.70,89.40,89.40,0.00
28.4,159,111,48.21,89.40,96.43,0.00
28.5,159,111,48.21,96.43,96.43,0.00
28.6,160,113,47.46,96.43,94.91,0.00
28.7,159,116,42.94,94.91,85.88,0.00
28.8,159,116,42.94,85.88,85.88,0.00
28.9,159,114,44.70,85.88,89.40,0.00
29.0,158,113,45.46,89.40,90.91,0.00
29.2,158,111,47.21,90.91,94.43,0.00
29.3,158,113,45.46,94.43,90.91,0.00
29.4,159,114,44.70,90.91,89.40,0.00
29.5,158,114,43.70,89.40,87.40,0.00
29.6,159,113,46.46,87.40,92.91,0.00
29.7,158,114,43.70,92.91,87.40,0.00
29.8,159,113,46.46,87.40,92.91,0.00
29.9,158,113,45.46,92.91,90.91,0.00
30.0,159,114,44.70,90.91,89.40,0.00
30.1,159,114,44.70,89.40,89.40,0.00
30.2,159,113,46.46,89.40,92.91,0.00
30.4,158,114,43.70,92.91,87.40,0.00
30.5,159,114,44.70,87.40,89.40,0.00
30.6,158,113,45.46,89.40,90.91,0.00
30.7,158,113,45.46,90.91,90.91,0.00
30.8,159,113,46.46,90.91,92.91,0.00
30.9,158,114,43.70,92.91,87.40,0.00
31.0,159,114,44.70,87.40,89.40,0.00
31.1,158,113,45.46,89.40,90.91,0.00
31.2,159,113,46.46,90.91,92.91,0.00
31.3,158,114,43.70,92.91,87.40,0.00
31.4,159,113,46.46,87.40,92.91,0.00
31.6,158,114,43.70,92.91,87.40,0.00
31.7,159,113,46.46,87.40,92.91,0.00
31.8,158,111,47.21,92.91,94.43,0.00
31.9,159,113,46.46,94.43,92.91,0.00
32.0,158,113,45.46,92.91,90.91,0.00
32.1,159,114,44.70,90.91,89.40,0.00
32.2,159,114,44.70,89.40,89.40,0.00
32.3,158,113,45.46,89.40,90.91,0.00
32.4,158,114,43.70,90.91,87.40,0.00
32.5,159,113,46.46,87.40,92.91,0.00
32.6,159,114,44.70,92.91,89.40,0.00
32.8,158,113,45.46,89.40,90.91,0.00
32.9,159,114,44.70,90.91,89.40,0.00
33.0,158,113,45.46,89.40,90.91,0.00
33.1,159,113,46.46,90.91,92.91,0.00
33.2,158,114,43.70,92.91,87.40,0.00
33.3,159,114,44.70,87.40,89.40,0.00
33.4,158,113,45.46,89.40,90.91,0.00
33.5,159,113,46.46,90.91,92.91,0.00
33.6,158,113,45.46,92.91,90.91,0.00
33.7,159,114,44.70,90.91,89.40,0.00
33.8,158,116,41.94,89.40,83.88,0.00
34.0,159,114,44.70,83.88,89.40,0.00
34.1,158,113,45.46,89.40,90.91,0.00
34.2,158,113,45.46,90.91,90.91,0.00
34.3,158,113,45.46,90.91,90.91,0.00
34.4,159,113,46.46,90.91,92.91,0.00
34.5,159,114,44.70,92.91,89.40,0.00
34.6,158,114,43.70,89.40,87.40,0.00
34.7,159,114,44.70,87.40,89.40,0.00
34.8,158,113,45.46,89.40,90.91,0.00
34.9,159,113,46.46,90.91,92.91,0.00
35.0,158,114,43.70,92.91,87.40,0.00
35.2,159,113,46.46,87.40,92.91,0.00
35.3,158,114,43.70,92.91,87.40,0.00
35.4,159,114,44.70,87.40,89.40,0.00
35.5,158,113,45.46,89.40,90.91,0.00
35.6,159,114,44.70,90.91,89.40,0.00
35.7,158,113,45.46,89.40,90.91,0.00
35.8,159,113,46.46,90.91,92.91,0.00
35.9,158,114,43.70,92.91,87.40,0.00
36.0,160,113,47.46,87.40,94.91,0.00
36.1,158,114,43.70,94.91,87.40,0.00
36.2,159,114,44.70,87.40,89.40,0.00
36.4,159,114,44.70,89.40,89.40,0.00
36.5,158,113,45.46,89.40,90.91,0.00
36.6,159,114,44.70,90.91,89.40,0.00
36.7,158,113,45.46,89.40,90.91,0.00
36.8,159,114,44.70,90.91,89.40,0.00
36.9,158,113,45.46,89.40,90.91,0.00
37.0,159,114,44.70,90.91,89.40,0.00
37.1,158,113,45.46,89.40,90.91,0.00
37.2,159,111,48.21,90.91,96.43,0.00
37.3,158,113,45.46,96.43,90.91,0.00
37.5,159,114,44.70,90.91,89.40,0.00
37.6,158,116,41.94,89.40,83.88,0.00
37.7,159,114,44.70,83.88,89.40,0.00
37.8,158,113,45.46,89.40,90.91,0.00
37.9,158,111,47.21,90.91,94.43,0.00
38.0,159,113,46.46,94.43,92.91,0.00
