Tempo: 6.6s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -105.23	AcaoP: -5.61	AcaoI: -100.33	 AcaoD: 0.00
Tempo: 6.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -105.93	AcaoP: -2.79	AcaoI: -100.68	 AcaoD: 0.03
Tempo: 6.9s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -103.44	AcaoP: -2.79	AcaoI: -101.02	 AcaoD: 0.00
Tempo: 7.0s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -103.82	AcaoP: -4.20	AcaoI: -101.55	 AcaoD: -0.01
Tempo: 7.2s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -105.77	AcaoP: -2.79	AcaoI: -101.90	 AcaoD: 0.01
Tempo: 7.3s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -104.68	AcaoP: -4.20	AcaoI: -102.42	 AcaoD: -0.01
Tempo: 7.4s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -106.64	AcaoP: -4.20	AcaoI: -102.95	 AcaoD: 0.00
Tempo: 7.5s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -107.15	AcaoP: -4.20	AcaoI: -103.47	 AcaoD: 0.00
Tempo: 7.7s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -107.68	AcaoP: -2.79	AcaoI: -103.82	 AcaoD: 0.01
Tempo: 7.8s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -106.61	AcaoP: -4.20	AcaoI: -104.35	 AcaoD: -0.01
Tempo: 7.9s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -108.57	AcaoP: -5.61	AcaoI: -105.05	 AcaoD: -0.01
Tempo: 8.1s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -110.67	AcaoP: -5.61	AcaoI: -105.75	 AcaoD: 0.00
Tempo: 8.2s	Setpoint: -160 RPM		Vel.: -153 RPM	erro: -7.01 RPM		Controle: -111.36	AcaoP: -5.61	AcaoI: -106.45	 AcaoD: 0.00
Tempo: 8.3s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -112.06	AcaoP: -2.79	AcaoI: -106.80	 AcaoD: 0.03
Tempo: 8.5s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -109.57	AcaoP: -2.79	AcaoI: -107.15	 AcaoD: 0.00
Tempo: 8.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -109.95	AcaoP: -1.39	AcaoI: -107.32	 AcaoD: 0.01
Tempo: 8.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -108.70	AcaoP: -1.39	AcaoI: -107.50	 AcaoD: 0.00
Tempo: 8.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -108.89	AcaoP: -1.39	AcaoI: -107.67	 AcaoD: 0.00
Tempo: 9.0s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -109.06	AcaoP: -2.79	AcaoI: -108.02	 AcaoD: -0.01
Tempo: 9.1s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -110.83	AcaoP: -1.39	AcaoI: -108.19	 AcaoD: 0.01
Tempo: 9.2s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -109.57	AcaoP: -2.79	AcaoI: -108.54	 AcaoD: -0.01
Tempo: 9.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -111.35	AcaoP: 0.02	AcaoI: -108.54	 AcaoD: 0.03
Tempo: 9.5s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -108.49	AcaoP: -2.79	AcaoI: -108.89	 AcaoD: -0.03
Tempo: 9.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -111.71	AcaoP: 0.02	AcaoI: -108.89	 AcaoD: 0.03
Tempo: 9.7s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -108.84	AcaoP: -2.79	AcaoI: -109.24	 AcaoD: -0.03
Tempo: 9.9s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -112.06	AcaoP: 0.02	AcaoI: -109.24	 AcaoD: 0.03
