Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,-160,0,-160.00,0.00,-96.00,-16.00,-1.57
2.3,-159,-5,-153.72,-113.57,-92.23,-31.37,0.06
2.4,-160,-51,-109.00,-123.55,-65.40,-42.27,0.44
2.5,-160,-107,-52.73,-107.24,-31.64,-47.55,0.55
2.6,-160,-141,-19.32,-78.63,-11.59,-49.48,0.33
2.8,-160,-141,-19.32,-60.74,-11.59,-51.41,0.00
2.9,-160,-127,-33.39,-63.00,-20.03,-54.75,-0.14
3.0,-160,-113,-47.46,-74.92,-28.47,-59.49,-0.14
3.2,-160,-111,-49.21,-88.11,-29.53,-64.42,-0.02
3.3,-160,-118,-42.18,-93.96,-25.31,-68.63,0.07
3.4,-160,-130,-29.87,-93.87,-17.92,-71.62,0.12
3.6,-160,-135,-24.60,-89.42,-14.76,-74.08,0.05
3.7,-160,-139,-21.08,-88.79,-12.65,-76.19,0.03
3.8,-160,-137,-22.84,-88.80,-13.70,-78.47,-0.02
3.9,-160,-141,-19.32,-92.19,-11.59,-80.40,0.03
4.1,-160,-139,-21.08,-91.96,-12.65,-82.51,-0.02
4.2,-160,-142,-17.56,-95.18,-10.54,-84.27,0.03
4.3,-160,-144,-15.80,-94.77,-9.48,-85.85,0.02
4.5,-160,-144,-15.80,-95.31,-9.48,-87.43,0.00
4.6,-160,-146,-14.04,-96.91,-8.43,-88.83,0.02
4.7,-160,-146,-14.04,-97.24,-8.43,-90.24,0.00
4.8,-160,-148,-12.29,-98.66,-7.37,-91.47,0.02
5.0,-160,-149,-10.53,-98.82,-6.32,-92.52,0.02
5.1,-160,-149,-10.53,-98.82,-6.32,-93.57,0.00
5.2,-160,-149,-10.53,-99.89,-6.32,-94.62,0.00
5.4,-160,-151,-8.77,-100.94,-5.26,-95.50,0.02
5.5,-160,-153,-7.01,-100.75,-4.21,-96.20,0.02
5.6,-160,-153,-7.01,-100.39,-4.21,-96.90,0.00
5.7,-160,-151,-8.77,-101.11,-5.26,-97.78,-0.02
5.9,-160,-155,-5.25,-103.06,-3.15,-98.31,0.03
6.0,-160,-155,-5.25,-101.42,-3.15,-98.83,0.00
6.1,-160,-155,-5.25,-101.98,-3.15,-99.36,0.00
6.2,-160,-153,-7.01,-102.51,-4.21,-100.06,-0.02
6.4,-160,-158,-1.74,-104.28,-1.04,-100.23,0.05
6.5,-160,-157,-3.49,-101.22,-2.10,-100.58,-0.02
6.6,-160,-157,-3.49,-102.69,-2.10,-100.93,0.00
6.8,-160,-157,-3.49,-103.03,-2.10,-101.28,0.00
6.9,-160,-157,-3.49,-103.37,-2.10,-101.63,0.00
7.0,-160,-158,-1.74,-103.72,-1.04,-101.80,0.02
7.2,-160,-157,-3.49,-102.83,-2.10,-102.15,-0.02
7.3,-160,-160,0.02,-104.26,0.01,-102.15,0.03
7.4,-160,-155,-5.25,-102.10,-3.15,-102.67,-0.05
7.5,-160,-160,0.02,-105.88,0.01,-102.67,0.05
7.7,-160,-157,-3.49,-102.61,-2.10,-103.02,-0.03
7.8,-160,-158,-1.74,-105.15,-1.04,-103.19,0.02
7.9,-160,-157,-3.49,-104.22,-2.10,-103.54,-0.02
8.1,-160,-158,-1.74,-105.66,-1.04,-103.72,0.02
8.2,-160,-158,-1.74,-104.74,-1.04,-103.89,0.00
8.3,-160,-160,0.02,-104.93,0.01,-103.89,0.02
8.4,-160,-157,-3.49,-103.86,-2.10,-104.24,-0.03
8.6,-160,-160,0.02,-106.37,0.01,-104.24,0.03
8.7,-160,-157,-3.49,-104.19,-2.10,-104.58,-0.03
8.8,-160,-162,1.78,-106.72,01.07,-104.41,0.05
9.0,-160,-157,-3.49,-103.29,-2.10,-104.76,-0.05
9.1,-160,-162,1.78,-106.90,01.07,-104.58,0.05
9.2,-160,-157,-3.49,-103.46,-2.10,-104.93,-0.05
9.3,-160,-162,1.78,-107.07,01.07,-104.75,0.05
9.5,-160,-157,-3.49,-103.63,-2.10,-105.10,-0.05
9.6,-160,-162,1.78,-107.25,01.07,-104.92,0.05
9.7,-160,-157,-3.49,-103.80,-2.10,-105.27,-0.05
9.9,-160,-162,1.78,-107.42,01.07,-105.09,0.05
10.0,-160,-157,-3.49,-103.97,-2.10,-105.44,-0.05
10.1,-160,-162,1.78,-107.59,01.07,-105.26,0.05
10.2,-160,-158,-1.74,-104.14,-1.04,-105.44,-0.03
10.4,-160,-164,3.54,-106.51,2.12,-105.08,0.05
10.5,-160,-160,0.02,-102.91,0.01,-105.08,-0.03
10.6,-160,-158,-1.74,-105.10,-1.04,-105.25,-0.02
10.8,-160,-162,1.78,-106.31,01.07,-105.07,0.03
10.9,-160,-160,0.02,-103.97,0.01,-105.07,-0.02
11.0,-160,-158,-1.74,-105.08,-1.04,-105.25,-0.02
11.1,-160,-160,0.02,-106.30,0.01,-105.24,0.02
11.3,-160,-157,-3.49,-105.21,-2.10,-105.59,-0.03
11.4,-160,-162,1.78,-107.72,01.07,-105.41,0.05
11.5,-160,-158,-1.74,-104.29,-1.04,-105.59,-0.03
11.7,-160,-164,3.54,-106.66,2.12,-105.23,0.05
11.8,-160,-158,-1.74,-103.06,-1.04,-105.41,-0.05
11.9,-160,-162,1.78,-106.50,01.07,-105.23,0.03
12.1,-160,-158,-1.74,-104.13,-1.04,-105.40,-0.03
12.2,-160,-158,-1.74,-106.48,-1.04,-105.58,0.00
12.3,-160,-158,-1.74,-106.62,-1.04,-105.75,0.00
12.4,-160,-157,-3.49,-106.79,-2.10,-106.10,-0.02
12.6,-160,-158,-1.74,-108.21,-1.04,-106.27,0.02
12.7,-160,-155,-5.25,-107.30,-3.15,-106.80,-0.03
12.8,-160,-160,0.02,-109.98,0.01,-106.80,0.05
13.0,-160,-157,-3.49,-106.73,-2.10,-107.15,-0.03
13.1,-160,-162,1.78,-109.28,01.07,-106.97,0.05
13.2,-160,-158,-1.74,-105.85,-1.04,-107.14,-0.03
13.4,-160,-164,3.54,-108.22,2.12,-106.79,0.05
13.5,-160,-158,-1.74,-104.61,-1.04,-106.96,-0.05
13.6,-160,-164,3.54,-108.05,2.12,-106.61,0.05
13.7,-160,-158,-1.74,-104.43,-1.04,-106.78,-0.05
13.9,-160,-162,1.78,-107.87,01.07,-106.60,0.03
14.0,-160,-160,0.02,-105.50,0.01,-106.60,-0.02
14.1,-160,-160,0.02,-106.60,0.01,-106.60,0.00
14.3,-160,-158,-1.74,-106.58,-1.04,-106.77,-0.02
14.4,-160,-162,1.78,-107.83,01.07,-106.59,0.03
14.5,-160,-160,0.02,-105.49,0.01,-106.59,-0.02
14.6,-160,-160,0.02,-106.59,0.01,-106.59,0.00
14.8,-160,-160,0.02,-106.57,0.01,-106.58,0.00
14.9,-160,-158,-1.74,-106.57,-1.04,-106.76,-0.02
15.0,-160,-164,3.54,-107.82,2.12,-106.40,0.05
15.2,-160,-160,0.02,-104.23,0.01,-106.40,-0.03
15.3,-160,-162,1.78,-106.42,01.07,-106.22,0.02
15.4,-160,-158,-1.74,-105.14,-1.04,-106.40,-0.03
15.5,-160,-162,1.78,-107.47,01.07,-106.22,0.03
15.7,-160,-160,0.02,-105.12,0.01,-106.22,-0.02
15.8,-160,-160,0.02,-106.22,0.01,-106.21,0.00
15.9,-160,-158,-1.74,-106.20,-1.04,-106.39,-0.02
16.1,-160,-162,1.78,-107.45,01.07,-106.21,0.03
16.2,-160,-157,-3.49,-105.11,-2.10,-106.56,-0.05
16.3,-160,-158,-1.74,-108.71,-1.04,-106.73,0.02
16.5,-160,-158,-1.74,-107.76,-1.04,-106.91,0.00
16.6,-160,-158,-1.74,-107.95,-1.04,-107.08,0.00
16.7,-160,-160,0.02,-108.12,0.01,-107.08,0.02
16.8,-160,-158,-1.74,-107.05,-1.04,-107.25,-0.02
17.0,-160,-164,3.54,-108.31,2.12,-106.90,0.05
17.1,-160,-160,0.02,-104.72,0.01,-106.89,-0.03
17.2,-160,-160,0.02,-106.91,0.01,-106.89,0.00
17.4,-160,-160,0.02,-106.88,0.01,-106.89,0.00
17.5,-160,-158,-1.74,-106.88,-1.04,-107.06,-0.02
17.6,-160,-164,3.54,-108.12,2.12,-106.71,0.05
17.7,-160,-158,-1.74,-104.53,-1.04,-106.88,-0.05
17.9,-160,-164,3.54,-107.98,2.12,-106.53,0.05
18.0,-160,-160,0.02,-104.35,0.01,-106.53,-0.03
18.1,-160,-160,0.02,-106.55,0.01,-106.52,0.00
18.3,-160,-160,0.02,-106.51,0.01,-106.52,0.00
18.4,-160,-158,-1.74,-106.51,-1.04,-106.70,-0.02
18.5,-160,-165,5.30,-107.75,3.18,-106.17,0.07
18.6,-160,-160,0.02,-102.92,0.01,-106.16,-0.05
18.8,-160,-160,0.02,-106.20,0.01,-106.16,0.00
18.9,-160,-160,0.02,-106.15,0.01,-106.16,0.00
19.0,-160,-158,-1.74,-106.14,-1.04,-106.33,-0.02
19.2,-160,-164,3.54,-107.39,2.12,-105.98,0.05
19.3,-160,-160,0.02,-103.80,0.01,-105.98,-0.03
19.4,-160,-158,-1.74,-106.00,-1.04,-106.15,-0.02
19.5,-160,-162,1.78,-107.21,01.07,-105.97,0.03
19.7,-160,-158,-1.74,-104.87,-1.04,-106.14,-0.03
19.8,-160,-162,1.78,-107.22,01.07,-105.97,0.03
19.9,-160,-158,-1.74,-104.86,-1.04,-106.14,-0.03
20.1,-160,-162,1.78,-107.21,01.07,-105.96,0.03
20.2,-160,-160,0.02,-104.86,0.01,-105.96,-0.02
20.3,-160,-162,1.78,-105.96,01.07,-105.78,0.02
20.5,-160,-158,-1.74,-104.69,-1.04,-105.95,-0.03
20.6,-160,-162,1.78,-107.03,01.07,-105.78,0.03
20.7,-160,-160,0.02,-104.67,0.01,-105.77,-0.02
20.8,-160,-160,0.02,-105.78,0.01,-105.77,0.00
21.0,-160,-158,-1.74,-105.76,-1.04,-105.94,-0.02
21.1,-160,-162,1.78,-107.00,01.07,-105.77,0.03
21.2,-160,-157,-3.49,-104.66,-2.10,-106.12,-0.05
21.4,-160,-164,3.54,-108.26,2.12,-105.76,0.07
21.5,-160,-158,-1.74,-103.57,-1.04,-105.94,-0.05
21.6,-160,-164,3.54,-107.03,2.12,-105.58,0.05
21.7,-160,-158,-1.74,-103.41,-1.04,-105.75,-0.05
21.9,-160,-164,3.54,-106.85,2.12,-105.40,0.05
22.0,-160,-158,-1.74,-103.22,-1.04,-105.57,-0.05
22.1,-160,-164,3.54,-106.67,2.12,-105.22,0.05
22.3,-160,-158,-1.74,-103.04,-1.04,-105.39,-0.05
22.4,-160,-164,3.54,-106.49,2.12,-105.04,0.05
22.5,-160,-158,-1.74,-102.86,-1.04,-105.21,-0.05
22.7,-160,-162,1.78,-106.31,01.07,-105.04,0.03
22.8,-160,-160,0.02,-103.93,0.01,-105.03,-0.02
22.9,-160,-160,0.02,-105.04,0.01,-105.03,0.00
23.0,-160,-158,-1.74,-105.02,-1.04,-105.20,-0.02
23.2,-160,-164,3.54,-106.26,2.12,-104.85,0.05
23.3,-160,-160,0.02,-102.67,0.01,-104.85,-0.03
23.4,-160,-160,0.02,-104.87,0.01,-104.85,0.00
23.6,-160,-160,0.02,-104.83,0.01,-104.84,0.00
23.7,-160,-158,-1.74,-104.83,-1.04,-105.02,-0.02
23.8,-160,-162,1.78,-106.07,01.07,-104.84,0.03
23.9,-160,-160,0.02,-103.73,0.01,-104.84,-0.02
24.1,-160,-162,1.78,-104.84,01.07,-104.66,0.02
24.2,-160,-158,-1.74,-103.57,-1.04,-104.83,-0.03
24.3,-160,-162,1.78,-105.91,01.07,-104.65,0.03
24.5,-160,-155,-5.25,-103.55,-3.15,-105.18,-0.07
24.6,-160,-157,-3.49,-108.40,-2.10,-105.53,0.02
24.7,-160,-157,-3.49,-107.61,-2.10,-105.88,0.00
24.8,-160,-158,-1.74,-107.97,-1.04,-106.05,0.02
25.0,-160,-158,-1.74,-107.07,-1.04,-106.22,0.00
25.1,-160,-160,0.02,-107.27,0.01,-106.22,0.02
25.2,-160,-160,0.02,-106.19,0.01,-106.22,0.00
25.4,-160,-157,-3.49,-106.21,-2.10,-106.57,-0.03
25.5,-160,-162,1.78,-108.70,01.07,-106.39,0.05
25.6,-160,-160,0.02,-105.27,0.01,-106.39,-0.02
25.8,-160,-160,0.02,-106.39,0.01,-106.39,0.00
25.9,-160,-158,-1.74,-106.37,-1.04,-106.56,-0.02
26.0,-160,-164,3.54,-107.62,2.12,-106.21,0.05
26.1,-160,-160,0.02,-104.03,0.01,-106.20,-0.03
