Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,-160,0,-160.00,0.00,-128.00,-80.00,-1.57
2.3,-160,-12,-147.69,-209.57,-118.15,-153.85,0.12
2.4,-160,-102,-58.01,-271.88,-46.41,-182.85,0.88
2.5,-160,-192,31.68,-228.38,25.34,-167.01,0.88
2.7,-160,-211,51.02,-140.79,40.82,-141.50,0.19
2.8,-160,-200,40.47,-100.50,32.38,-121.27,-0.10
2.9,-160,-181,21.13,-88.99,16.90,-110.70,-0.19
3.0,-160,-160,0.02,-93.99,0.02,-110.69,-0.21
3.2,-160,-149,-10.53,-110.88,-8.42,-115.96,-0.10
3.3,-160,-155,-5.25,-124.48,-4.20,-118.58,0.05
3.4,-160,-162,1.78,-122.73,1.43,-117.69,0.07
3.6,-160,-165,5.30,-116.20,4.24,-115.04,0.03
3.7,-160,-169,8.82,-110.77,07.05,-110.63,0.03
3.8,-160,-165,5.30,-103.55,4.24,-107.98,-0.03
3.9,-160,-162,1.78,-103.78,1.43,-107.09,-0.03
4.1,-160,-160,0.02,-105.70,0.02,-107.08,-0.02
4.2,-160,-158,-1.74,-107.08,-1.39,-107.95,-0.02
4.3,-160,-162,1.78,-109.35,1.43,-107.06,0.03
4.4,-160,-160,0.02,-105.60,0.02,-107.05,-0.02
4.6,-160,-162,1.78,-107.04,1.43,-106.15,0.02
4.7,-160,-160,0.02,-104.71,0.02,-106.14,-0.02
4.8,-160,-162,1.78,-106.14,1.43,-105.25,0.02
5.0,-160,-160,0.02,-103.81,0.02,-105.24,-0.02
5.1,-160,-162,1.78,-105.24,1.43,-104.35,0.02
5.2,-160,-158,-1.74,-102.91,-1.39,-105.22,-0.03
5.3,-160,-162,1.78,-106.64,1.43,-104.33,0.03
5.5,-160,-158,-1.74,-102.87,-1.39,-105.19,-0.03
5.6,-160,-160,0.02,-106.62,0.02,-105.18,0.02
5.7,-160,-158,-1.74,-105.15,-1.39,-106.05,-0.02
5.9,-160,-162,1.78,-107.45,1.43,-105.16,0.03
6.0,-160,-160,0.02,-103.70,0.02,-105.15,-0.02
6.1,-160,-162,1.78,-105.15,1.43,-104.26,0.02
6.2,-160,-160,0.02,-102.81,0.02,-104.24,-0.02
6.4,-160,-162,1.78,-104.24,1.43,-103.35,0.02
6.5,-160,-160,0.02,-101.91,0.02,-103.34,-0.02
