Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,154,0,154.00,0.00,92.40,15.40,1.23
2.3,151,5,145.72,109.03,87.43,29.97,-0.07
2.4,156,37,119.07,117.34,71.44,41.88,-0.21
2.5,151,67,84.18,113.11,50.51,50.30,-0.28
2.6,152,100,51.77,100.52,31.06,55.47,-0.26
2.7,151,111,40.21,86.27,24.13,59.50,-0.09
2.9,155,106,49.49,83.53,29.69,64.44,0.07
3.0,152,102,50.01,94.21,30.00,69.45,0.00
3.1,151,102,49.01,99.45,29.40,74.35,-0.01
3.2,155,109,45.97,103.74,27.58,78.94,-0.02
3.4,152,116,35.94,106.50,21.56,82.54,-0.08
3.5,151,120,31.42,104.02,18.85,85.68,-0.04
3.6,151,123,27.91,104.50,16.74,88.47,-0.03
3.7,152,125,27.15,105.18,16.29,91.18,-0.01
3.9,154,125,29.15,107.47,17.49,94.10,0.02
4.0,151,127,24.39,111.60,14.63,96.54,-0.04
4.1,152,128,23.63,111.13,14.18,98.90,-0.01
4.2,154,132,22.11,113.07,13.27,101.11,-0.01
4.4,151,134,17.35,114.37,10.41,102.85,-0.04
4.5,151,135,15.60,113.22,9.36,104.41,-0.01
4.6,151,137,13.84,113.75,8.30,105.79,-0.01
4.7,151,139,12.08,114.08,7.25,107.00,-0.01
4.9,153,137,15.84,114.23,9.50,108.58,0.03
5.0,151,137,13.84,118.11,8.30,109.97,-0.02
5.1,151,141,10.32,118.25,6.19,111.00,-0.03
5.2,154,142,11.56,117.16,6.94,112.15,0.01
5.4,151,141,10.32,119.10,6.19,113.19,-0.01
5.5,151,144,6.80,119.37,04.08,113.87,-0.03
5.6,151,144,6.80,117.92,04.08,114.55,0.00
5.7,151,141,10.32,118.63,6.19,115.58,0.03
5.9,152,142,9.56,121.80,5.74,116.53,-0.01
6.0,153,142,10.56,122.27,6.34,117.59,0.01
6.1,151,144,6.80,123.94,04.08,118.27,-0.03
6.2,152,146,06.04,122.32,3.63,118.88,-0.01
6.4,153,146,07.04,122.50,4.23,119.58,0.01
6.5,154,146,08.04,123.81,4.83,120.38,0.01
6.6,153,146,07.04,125.22,4.23,121.09,-0.01
6.7,153,149,3.53,125.31,2.12,121.44,-0.03
6.8,151,148,3.29,123.53,1.97,121.77,-0.00
7.0,152,146,06.04,123.74,3.63,122.37,0.02
7.1,151,146,05.04,126.02,03.03,122.88,-0.01
7.2,154,148,6.29,125.90,3.77,123.51,0.01
7.3,154,146,08.04,127.29,4.83,124.31,0.01
7.5,151,148,3.29,129.15,1.97,124.64,-0.04
7.6,154,148,6.29,126.57,3.77,125.27,0.02
7.7,154,148,6.29,129.07,3.77,125.90,0.00
7.8,151,148,3.29,129.67,1.97,126.23,-0.02
8.0,153,151,1.77,128.17,01.06,126.40,-0.01
8.1,151,149,1.53,127.45,0.92,126.56,-0.00
8.2,151,149,1.53,127.47,0.92,126.71,0.00
8.3,151,149,1.53,127.63,0.92,126.86,0.00
8.4,151,148,3.29,127.78,1.97,127.19,0.01
8.6,152,148,4.29,129.18,2.57,127.62,0.01
8.7,154,149,4.53,130.20,2.72,128.07,0.00
8.8,154,151,2.77,130.79,1.66,128.35,-0.01
8.9,152,153,-0.99,130.00,-0.59,128.25,-0.03
9.1,151,157,-5.51,127.63,-3.30,127.70,-0.04
9.2,154,153,01.01,124.36,0.61,127.80,0.05
9.3,151,149,1.53,128.46,0.92,127.95,0.00
9.4,151,149,1.53,128.87,0.92,128.11,0.00
9.6,151,149,1.53,129.02,0.92,128.26,0.00
9.7,152,151,0.77,129.18,0.46,128.34,-0.01
