Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,153,0,153.00,0.00,91.80,76.50,1.22
2.3,149,12,136.69,169.52,82.01,144.85,-0.13
2.4,152,84,67.59,226.73,40.56,178.64,-0.55
2.5,150,137,12.84,218.64,7.70,185.06,-0.44
2.6,151,183,-31.88,192.32,-19.13,169.12,-0.36
2.8,150,190,-39.92,149.63,-23.95,149.16,-0.06
2.9,153,183,-29.88,125.14,-17.93,134.22,0.08
3.0,151,174,-23.09,116.37,-13.85,122.67,0.05
3.1,151,164,-12.54,108.87,-7.52,116.40,0.08
3.3,152,155,-2.75,108.96,-1.65,115.03,0.08
3.4,151,149,1.53,113.46,0.92,115.79,0.03
3.5,150,146,04.04,116.74,2.43,117.81,0.02
3.6,151,148,3.29,120.26,1.97,119.46,-0.01
3.8,151,151,-0.23,121.42,-0.14,119.34,-0.03
3.9,154,155,-0.75,119.17,-0.45,118.97,-0.00
4.0,152,158,-6.26,118.51,-3.76,115.83,-0.04
4.1,151,155,-3.75,112.03,-2.25,113.96,0.02
4.3,151,155,-3.75,111.73,-2.25,112.09,0.00
4.4,152,151,0.77,109.84,0.46,112.47,0.04
4.5,154,148,6.29,112.97,3.77,115.61,0.04
4.6,156,148,8.29,119.43,4.97,119.76,0.02
4.8,151,149,1.53,124.74,0.92,120.52,-0.05
4.9,154,155,-0.75,121.38,-0.45,120.15,-0.02
5.0,151,157,-5.51,119.68,-3.30,117.39,-0.04
5.1,151,158,-7.26,114.05,-4.36,113.76,-0.01
5.3,154,157,-2.51,109.39,-1.50,112.51,0.04
5.4,152,153,-0.99,111.04,-0.59,112.01,0.01
5.5,151,151,-0.23,111.43,-0.14,111.90,0.01
5.6,151,151,-0.23,111.76,-0.14,111.78,0.00
5.8,151,151,-0.23,111.64,-0.14,111.67,0.00
5.9,153,151,1.77,111.53,01.06,112.55,0.02
6.0,154,149,4.53,113.63,2.72,114.81,0.02
6.1,153,149,3.53,117.55,2.12,116.58,-0.01
6.2,153,151,1.77,118.69,01.06,117.46,-0.01
6.4,150,153,-2.99,118.51,-1.79,115.97,-0.04
6.5,152,157,-4.51,114.14,-2.70,113.72,-0.01
6.6,153,157,-3.51,111.00,-2.10,111.96,0.01
6.7,154,155,-0.75,109.87,-0.45,111.59,0.02
6.9,151,151,-0.23,111.16,-0.14,111.47,0.00
7.0,151,153,-1.99,111.34,-1.19,110.48,-0.01
7.1,154,153,01.01,109.27,0.61,110.98,0.02
7.2,151,149,1.53,111.61,0.92,111.75,0.00
7.4,151,149,1.53,112.67,0.92,112.51,0.00
7.5,151,149,1.53,113.43,0.92,113.27,0.00
7.6,152,149,2.53,114.19,1.52,114.54,0.01
7.7,154,151,2.77,116.06,1.66,115.92,0.00
7.9,155,151,3.77,117.59,2.26,117.81,0.01
8.0,152,153,-0.99,120.08,-0.59,117.31,-0.04
8.1,153,158,-5.26,116.68,-3.16,114.68,-0.03
8.2,151,160,-9.02,111.49,-5.41,110.17,-0.03
8.4,151,157,-5.51,104.72,-3.30,107.42,0.03
8.5,151,153,-1.99,104.14,-1.19,106.42,0.03
8.6,151,149,1.53,105.25,0.92,107.18,0.03
8.7,152,146,06.04,108.13,3.63,110.21,0.04
8.9,154,146,08.04,113.87,4.83,114.23,0.02
9.0,155,149,5.53,119.07,3.32,116.99,-0.02
9.1,152,151,0.77,120.29,0.46,117.38,-0.04
9.2,150,155,-4.75,117.80,-2.85,115.00,-0.04
9.4,154,158,-4.26,112.11,-2.56,112.87,0.00
9.5,151,157,-5.51,110.32,-3.30,110.12,-0.01
9.6,154,155,-0.75,106.80,-0.45,109.74,0.04
9.7,154,153,01.01,109.33,0.61,110.25,0.01
9.8,151,148,3.29,110.87,1.97,111.89,0.02
10.0,151,148,3.29,113.88,1.97,113.53,0.00
10.1,154,151,2.77,115.51,1.66,114.92,-0.00
10.2,151,153,-1.99,116.58,-1.19,113.92,-0.04
10.3,151,158,-7.26,112.69,-4.36,110.29,-0.04
10.5,151,157,-5.51,105.89,-3.30,107.54,0.01
10.6,151,153,-1.99,104.25,-1.19,106.54,0.03
10.7,154,149,4.53,105.38,2.72,108.81,0.05
10.9,152,148,4.29,111.58,2.57,110.95,-0.00
11.0,153,148,5.29,113.52,3.17,113.59,0.01
11.1,151,151,-0.23,116.77,-0.14,113.48,-0.04
11.2,152,157,-4.51,113.30,-2.70,111.23,-0.03
11.4,154,158,-4.26,108.49,-2.56,109.09,0.00
11.5,151,153,-1.99,106.54,-1.19,108.10,0.02
11.6,151,151,-0.23,106.92,-0.14,107.98,0.01
11.7,154,151,2.77,107.86,1.66,109.37,0.02
11.9,151,148,3.29,111.05,1.97,111.01,0.00
12.0,151,148,3.29,112.99,1.97,112.65,0.00
12.1,154,151,2.77,114.62,1.66,114.04,-0.00
12.2,152,153,-0.99,115.70,-0.59,113.54,-0.03
12.4,151,157,-5.51,112.92,-3.30,110.79,-0.04
12.5,151,157,-5.51,107.45,-3.30,108.04,0.00
12.6,151,155,-3.75,104.73,-2.25,106.16,0.01
12.7,154,153,01.01,103.93,0.61,106.67,0.04
12.9,151,148,3.29,107.31,1.97,108.31,0.02
13.0,151,148,3.29,110.30,1.97,109.95,0.00
13.1,154,149,4.53,111.93,2.72,112.22,0.01
13.2,151,149,1.53,114.94,0.92,112.98,-0.02
13.4,153,155,-1.75,113.87,-1.05,112.11,-0.03
13.5,154,157,-2.51,111.03,-1.50,110.85,-0.01
13.6,152,157,-4.51,109.34,-2.70,108.60,-0.02
13.7,151,157,-5.51,105.88,-3.30,105.85,-0.01
13.9,151,155,-3.75,102.54,-2.25,103.97,0.01
14.0,151,151,-0.23,101.74,-0.14,103.86,0.03
14.1,155,146,09.04,103.75,5.43,108.38,0.07
14.2,151,146,05.04,113.88,03.03,110.90,-0.03
14.4,153,148,5.29,113.90,3.17,113.55,0.00
14.5,151,149,1.53,116.72,0.92,114.31,-0.03
14.6,151,155,-3.75,115.20,-2.25,112.44,-0.04
14.7,154,157,-2.51,110.14,-1.50,111.18,0.01
14.9,151,155,-3.75,109.69,-2.25,109.31,-0.01
15.0,152,155,-2.75,107.05,-1.65,107.93,0.01
15.1,151,151,-0.23,106.29,-0.14,107.82,0.02
15.2,154,151,2.77,107.70,1.66,109.20,0.02
15.4,153,149,3.53,110.89,2.12,110.97,0.01
15.5,151,148,3.29,113.09,1.97,112.61,-0.00
15.6,151,153,-1.99,114.58,-1.19,111.62,-0.04
15.7,153,157,-3.51,110.38,-2.10,109.86,-0.01
15.9,154,157,-2.51,107.75,-1.50,108.61,0.01
16.0,151,153,-1.99,107.11,-1.19,107.61,0.00
16.1,151,153,-1.99,106.43,-1.19,106.62,0.00
16.2,156,151,4.77,105.43,2.86,109.00,0.05
16.4,152,148,4.29,111.92,2.57,111.15,-0.00
16.5,154,149,4.53,113.72,2.72,113.41,0.00
16.6,151,151,-0.23,116.13,-0.14,113.30,-0.04
16.7,152,157,-4.51,113.12,-2.70,111.04,-0.03
16.9,154,158,-4.26,108.30,-2.56,108.91,0.00
17.0,151,157,-5.51,106.35,-3.30,106.16,-0.01
17.1,153,155,-1.75,102.84,-1.05,105.28,0.03
17.2,151,151,-0.23,104.26,-0.14,105.17,0.01
17.4,152,149,2.53,105.04,1.52,106.43,0.02
17.5,153,148,5.29,107.97,3.17,109.07,0.02
17.6,151,146,05.04,112.27,03.03,111.60,-0.00
17.7,152,151,0.77,114.62,0.46,111.98,-0.03
17.9,154,153,01.01,112.41,0.61,112.49,0.00
18.0,151,153,-1.99,113.09,-1.19,111.49,-0.02
18.1,153,158,-5.26,110.27,-3.16,108.86,-0.03
18.2,154,157,-2.51,105.67,-1.50,107.61,0.02
18.4,151,153,-1.99,106.12,-1.19,106.61,0.00
18.5,151,153,-1.99,105.42,-1.19,105.62,0.00
18.6,154,151,2.77,104.42,1.66,107.00,0.04
18.7,151,148,3.29,108.70,1.97,108.64,0.00
18.9,151,148,3.29,110.62,1.97,110.29,0.00
19.0,155,149,5.53,112.26,3.32,113.05,0.02
19.1,151,149,1.53,116.39,0.92,113.81,-0.03
19.2,153,155,-1.75,114.70,-1.05,112.94,-0.03
19.4,156,157,-0.51,111.87,-0.30,112.69,0.01
19.5,152,155,-2.75,112.39,-1.65,111.31,-0.02
19.6,154,157,-2.51,109.65,-1.50,110.06,0.00
19.7,151,155,-3.75,108.56,-2.25,108.19,-0.01
19.9,153,155,-1.75,105.93,-1.05,107.31,0.02
20.0,151,153,-1.99,106.28,-1.19,106.32,-0.00
20.1,151,153,-1.99,105.12,-1.19,105.32,0.00
20.3,151,151,-0.23,104.13,-0.14,105.21,0.01
20.4,154,151,2.77,105.08,1.66,106.59,0.02
20.5,152,146,06.04,108.28,3.63,109.61,0.03
20.6,151,148,3.29,113.27,1.97,111.26,-0.02
20.8,151,151,-0.23,113.21,-0.14,111.14,-0.03
20.9,152,155,-2.75,110.97,-1.65,109.77,-0.02
21.0,154,155,-0.75,108.10,-0.45,109.39,0.02
21.1,151,153,-1.99,108.96,-1.19,108.40,-0.01
21.3,155,153,02.01,107.20,1.21,109.40,0.03
21.4,151,148,3.29,110.64,1.97,111.05,0.01
21.5,152,149,2.53,113.03,1.52,112.31,-0.01
21.6,151,153,-1.99,113.82,-1.19,111.32,-0.04
21.8,151,157,-5.51,110.09,-3.30,108.56,-0.03
21.9,153,157,-3.51,105.23,-2.10,106.81,0.02
22.0,151,153,-1.99,104.72,-1.19,105.82,0.01
22.1,153,153,0.01,104.63,0.01,105.82,0.02
22.3,153,148,5.29,105.84,3.17,108.46,0.04
22.4,151,148,3.29,111.68,1.97,110.11,-0.02
22.5,151,149,1.53,112.06,0.92,110.87,-0.01
22.6,153,151,1.77,111.77,01.06,111.75,0.00
22.8,151,151,-0.23,112.82,-0.14,111.64,-0.02
22.9,151,157,-5.51,111.48,-3.30,108.89,-0.04
