Tempo: 2.2s	Setpoint: -160 RPM		Vel.: 0 RPM	erro: -160.00 RPM		Controle: 0.00	AcaoP: -128.00	AcaoI: -80.00	 AcaoD: -1.57
Tempo: 2.3s	Setpoint: -160 RPM		Vel.: -12 RPM	erro: -147.69 RPM		Controle: -209.57	AcaoP: -118.15	AcaoI: -153.85	 AcaoD: 0.12
Tempo: 2.4s	Setpoint: -160 RPM		Vel.: -102 RPM	erro: -58.01 RPM		Controle: -271.88	AcaoP: -46.41	AcaoI: -182.85	 AcaoD: 0.88
Tempo: 2.5s	Setpoint: -160 RPM		Vel.: -192 RPM	erro: 31.68 RPM		Controle: -228.38	AcaoP: 25.34	AcaoI: -167.01	 AcaoD: 0.88
Tempo: 2.7s	Setpoint: -160 RPM		Vel.: -211 RPM	erro: 51.02 RPM		Controle: -140.79	AcaoP: 40.82	AcaoI: -141.50	 AcaoD: 0.19
Tempo: 2.8s	Setpoint: -160 RPM		Vel.: -200 RPM	erro: 40.47 RPM		Controle: -100.50	AcaoP: 32.38	AcaoI: -121.27	 AcaoD: -0.10
Tempo: 2.9s	Setpoint: -160 RPM		Vel.: -181 RPM	erro: 21.13 RPM		Controle: -88.99	AcaoP: 16.90	AcaoI: -110.70	 AcaoD: -0.19
Tempo: 3.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -93.99	AcaoP: 0.02	AcaoI: -110.69	 AcaoD: -0.21
Tempo: 3.2s	Setpoint: -160 RPM		Vel.: -149 RPM	erro: -10.53 RPM		Controle: -110.88	AcaoP: -8.42	AcaoI: -115.96	 AcaoD: -0.10
Tempo: 3.3s	Setpoint: -160 RPM		Vel.: -155 RPM	erro: -5.25 RPM		Controle: -124.48	AcaoP: -4.20	AcaoI: -118.58	 AcaoD: 0.05
Tempo: 3.4s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -122.73	AcaoP: 1.43	AcaoI: -117.69	 AcaoD: 0.07
Tempo: 3.6s	Setpoint: -160 RPM		Vel.: -165 RPM	erro: 5.30 RPM		Controle: -116.20	AcaoP: 4.24	AcaoI: -115.04	 AcaoD: 0.03
Tempo: 3.7s	Setpoint: -160 RPM		Vel.: -169 RPM	erro: 8.82 RPM		Controle: -110.77	AcaoP: 7.05	AcaoI: -110.63	 AcaoD: 0.03
Tempo: 3.8s	Setpoint: -160 RPM		Vel.: -165 RPM	erro: 5.30 RPM		Controle: -103.55	AcaoP: 4.24	AcaoI: -107.98	 AcaoD: -0.03
Tempo: 3.9s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -103.78	AcaoP: 1.43	AcaoI: -107.09	 AcaoD: -0.03
Tempo: 4.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -105.70	AcaoP: 0.02	AcaoI: -107.08	 AcaoD: -0.02
Tempo: 4.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -107.08	AcaoP: -1.39	AcaoI: -107.95	 AcaoD: -0.02
Tempo: 4.3s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -109.35	AcaoP: 1.43	AcaoI: -107.06	 AcaoD: 0.03
Tempo: 4.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -105.60	AcaoP: 0.02	AcaoI: -107.05	 AcaoD: -0.02
Tempo: 4.6s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -107.04	AcaoP: 1.43	AcaoI: -106.15	 AcaoD: 0.02
Tempo: 4.7s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -104.71	AcaoP: 0.02	AcaoI: -106.14	 AcaoD: -0.02
Tempo: 4.8s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -106.14	AcaoP: 1.43	AcaoI: -105.25	 AcaoD: 0.02
Tempo: 5.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -103.81	AcaoP: 0.02	AcaoI: -105.24	 AcaoD: -0.02
Tempo: 5.1s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -105.24	AcaoP: 1.43	AcaoI: -104.35	 AcaoD: 0.02
Tempo: 5.2s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -102.91	AcaoP: -1.39	AcaoI: -105.22	 AcaoD: -0.03
Tempo: 5.3s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -106.64	AcaoP: 1.43	AcaoI: -104.33	 AcaoD: 0.03
Tempo: 5.5s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -102.87	AcaoP: -1.39	AcaoI: -105.19	 AcaoD: -0.03
Tempo: 5.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -106.62	AcaoP: 0.02	AcaoI: -105.18	 AcaoD: 0.02
Tempo: 5.7s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -105.15	AcaoP: -1.39	AcaoI: -106.05	 AcaoD: -0.02
Tempo: 5.9s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -107.45	AcaoP: 1.43	AcaoI: -105.16	 AcaoD: 0.03
Tempo: 6.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -103.70	AcaoP: 0.02	AcaoI: -105.15	 AcaoD: -0.02
Tempo: 6.1s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -105.15	AcaoP: 1.43	AcaoI: -104.26	 AcaoD: 0.02
Tempo: 6.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -102.81	AcaoP: 0.02	AcaoI: -104.24	 AcaoD: -0.02
Tempo: 6.4s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -104.24	AcaoP: 1.43	AcaoI: -103.35	 AcaoD: 0.02
Tempo: 6.5s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -101.91	AcaoP: 0.02	AcaoI: -103.34	 AcaoD: -0.02
Tempo: 6.6s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -103.34	AcaoP: -1.39	AcaoI: -104.21	 AcaoD: -0.02
Tempo: 6.8s	Setpoint: -160 RPM		Vel.: -157 RPM	erro: -3.49 RPM		Controle: -105.61	AcaoP: -2.79	AcaoI: -105.96	 AcaoD: -0.02
Tempo: 6.9s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -108.77	AcaoP: -1.39	AcaoI: -106.82	 AcaoD: 0.02
Tempo: 7.0s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -108.19	AcaoP: -1.39	AcaoI: -107.69	 AcaoD: 0.00
