Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,159,0,159.00,0.00,95.40,79.50,1.56
2.3,157,12,144.69,176.46,86.81,151.85,-0.14
2.4,158,84,73.59,238.52,44.16,188.64,-0.70
2.5,158,141,17.32,232.10,10.39,197.30,-0.55
2.6,158,186,-28.40,207.14,-17.04,183.10,-0.45
2.8,158,192,-33.68,165.61,-20.21,166.26,-0.05
2.9,158,188,-30.16,146.01,-18.10,151.18,0.03
3.0,159,178,-18.61,133.12,-11.17,141.88,0.11
3.1,159,169,-9.82,130.83,-5.89,136.97,0.09
3.3,158,162,-3.78,131.17,-2.27,135.08,0.06
3.4,158,162,-3.78,132.87,-2.27,133.19,0.00
3.5,158,162,-3.78,130.92,-2.27,131.30,0.00
3.6,158,160,-2.02,129.03,-1.21,130.29,0.02
3.8,159,162,-2.78,129.09,-1.67,128.90,-0.01
3.9,158,162,-3.78,127.22,-2.27,127.00,-0.01
4.0,158,162,-3.78,124.73,-2.27,125.11,0.00
4.1,158,158,-0.26,122.84,-0.16,124.98,0.03
4.3,158,158,-0.26,124.86,-0.16,124.85,0.00
4.4,159,158,0.74,124.69,0.44,125.22,0.01
4.5,159,155,4.25,125.67,2.55,127.34,0.03
4.6,159,155,4.25,129.93,2.55,129.47,0.00
4.8,158,155,3.25,132.02,1.95,131.09,-0.01
4.9,159,158,0.74,133.04,0.44,131.46,-0.02
5.0,158,160,-2.02,131.88,-1.21,130.45,-0.03
5.1,158,164,-5.54,129.21,-3.32,127.68,-0.03
5.3,159,164,-4.54,124.32,-2.72,125.41,0.01
5.4,158,160,-2.02,122.69,-1.21,124.40,0.02
5.5,158,158,-0.26,123.21,-0.16,124.27,0.02
5.6,158,158,-0.26,124.12,-0.16,124.13,0.00
5.8,158,157,1.49,123.97,0.90,124.88,0.02
5.9,159,153,06.01,125.79,3.61,127.88,0.04
6.0,159,153,06.01,131.54,3.61,130.89,0.00
6.1,158,157,1.49,134.50,0.90,131.64,-0.04
6.2,159,160,-1.02,132.49,-0.61,131.12,-0.02
6.4,158,164,-5.54,130.49,-3.32,128.35,-0.04
6.5,158,165,-7.30,124.99,-4.38,124.71,-0.02
6.6,159,162,-2.78,120.31,-1.67,123.31,0.04
6.8,159,158,0.74,121.69,0.44,123.68,0.03
6.9,158,155,3.25,124.16,1.95,125.31,0.02
7.0,158,155,3.25,127.28,1.95,126.93,0.00
7.1,158,157,1.49,128.89,0.90,127.68,-0.02
7.2,158,158,-0.26,128.56,-0.16,127.55,-0.02
7.4,159,162,-2.78,127.37,-1.67,126.16,-0.02
7.5,158,162,-3.78,124.46,-2.27,124.27,-0.01
7.6,158,160,-2.02,121.99,-1.21,123.25,0.02
7.7,158,158,-0.26,122.06,-0.16,123.12,0.02
7.9,158,158,-0.26,122.98,-0.16,122.99,0.00
8.0,158,157,1.49,122.83,0.90,123.74,0.02
8.1,159,157,2.49,124.65,1.50,124.98,0.01
8.2,159,155,4.25,126.49,2.55,127.11,0.02
8.4,158,157,1.49,129.68,0.90,127.86,-0.03
8.5,159,157,2.49,128.73,1.50,129.10,0.01
8.6,159,155,4.25,130.61,2.55,131.23,0.02
8.7,158,157,1.49,133.80,0.90,131.98,-0.03
8.9,159,160,-1.02,132.84,-0.61,131.46,-0.02
9.0,158,165,-7.30,130.83,-4.38,127.81,-0.06
9.1,158,165,-7.30,123.37,-4.38,124.16,0.00
9.2,158,162,-3.78,119.79,-2.27,122.27,0.03
9.4,158,158,-0.26,120.04,-0.16,122.14,0.03
9.5,159,158,0.74,122.02,0.44,122.51,0.01
9.6,159,157,2.49,122.96,1.50,123.76,0.02
9.7,159,155,4.25,125.27,2.55,125.88,0.02
9.8,158,157,1.49,128.45,0.90,126.63,-0.03
10.0,159,158,0.74,127.50,0.44,127.00,-0.01
10.1,159,160,-1.02,127.43,-0.61,126.48,-0.02
10.2,158,165,-7.30,125.85,-4.38,122.83,-0.06
10.4,158,164,-5.54,118.39,-3.32,120.06,0.02
10.5,158,160,-2.02,116.76,-1.21,119.05,0.03
10.6,159,157,2.49,117.87,1.50,120.30,0.04
10.7,158,153,05.01,121.84,03.01,122.80,0.02
10.9,158,155,3.25,125.84,1.95,124.43,-0.02
11.0,158,158,-0.26,126.37,-0.16,124.30,-0.03
11.1,158,162,-3.78,124.11,-2.27,122.41,-0.03
11.2,158,164,-5.54,120.10,-3.32,119.64,-0.02
11.4,159,164,-4.54,116.30,-2.72,117.37,0.01
11.5,158,158,-0.26,114.65,-0.16,117.23,0.04
11.6,158,158,-0.26,117.12,-0.16,117.10,0.00
11.7,159,157,2.49,116.94,1.50,118.35,0.03
11.9,158,153,05.01,119.87,03.01,120.85,0.02
12.0,158,153,05.01,123.89,03.01,123.36,0.00
12.1,159,157,2.49,126.37,1.50,124.61,-0.02
12.2,158,158,-0.26,126.08,-0.16,124.47,-0.03
12.4,158,164,-5.54,124.29,-3.32,121.70,-0.05
12.5,158,165,-7.30,118.33,-4.38,118.05,-0.02
12.6,158,162,-3.78,113.66,-2.27,116.16,0.03
12.7,158,158,-0.26,113.93,-0.16,116.03,0.03
12.9,158,157,1.49,115.91,0.90,116.78,0.02
13.0,159,153,06.01,117.69,3.61,119.78,0.04
13.1,158,155,3.25,123.43,1.95,121.41,-0.03
13.2,158,157,1.49,123.33,0.90,122.16,-0.02
13.4,159,157,2.49,123.03,1.50,123.40,0.01
13.5,158,155,3.25,124.91,1.95,125.03,0.01
13.6,158,158,-0.26,126.99,-0.16,124.90,-0.03
13.7,158,162,-3.78,124.70,-2.27,123.00,-0.03
13.9,158,164,-5.54,120.70,-3.32,120.23,-0.02
14.0,158,162,-3.78,116.89,-2.27,118.34,0.02
14.1,158,160,-2.02,116.09,-1.21,117.33,0.02
14.2,158,157,1.49,116.14,0.90,118.08,0.03
14.4,159,155,4.25,119.01,2.55,120.20,0.03
14.5,158,153,05.01,122.78,03.01,122.71,0.01
14.6,158,157,1.49,125.72,0.90,123.46,-0.03
14.7,158,160,-2.02,124.32,-1.21,122.45,-0.03
14.9,158,164,-5.54,121.20,-3.32,119.67,-0.03
15.0,158,162,-3.78,116.32,-2.27,117.78,0.02
15.1,158,162,-3.78,115.53,-2.27,115.89,0.00
15.2,159,158,0.74,113.62,0.44,116.26,0.04
15.4,159,153,06.01,116.75,3.61,119.27,0.05
15.5,158,153,05.01,122.92,03.01,121.77,-0.01
15.6,158,157,1.49,124.77,0.90,122.52,-0.03
15.7,158,158,-0.26,123.38,-0.16,122.39,-0.02
15.9,159,162,-2.78,122.21,-1.67,120.99,-0.02
16.0,158,164,-5.54,119.30,-3.32,118.22,-0.03
16.1,158,160,-2.02,114.87,-1.21,117.21,0.03
16.2,159,158,0.74,116.03,0.44,117.58,0.03
16.4,158,157,1.49,118.05,0.90,118.33,0.01
16.5,158,155,3.25,119.23,1.95,119.95,0.02
16.6,159,157,2.49,121.92,1.50,121.20,-0.01
16.7,158,158,-0.26,122.69,-0.16,121.07,-0.03
16.9,158,160,-2.02,120.88,-1.21,120.06,-0.02
17.0,158,162,-3.78,118.82,-2.27,118.16,-0.02
17.1,159,160,-1.02,115.88,-0.61,117.65,0.03
17.2,158,157,1.49,117.07,0.90,118.40,0.02
17.4,158,153,05.01,119.32,03.01,120.90,0.03
17.5,159,153,06.01,123.95,3.61,123.91,0.01
17.6,158,157,1.49,127.53,0.90,124.66,-0.04
17.7,158,158,-0.26,125.51,-0.16,124.52,-0.02
17.9,159,164,-4.54,124.35,-2.72,122.25,-0.04
18.0,159,164,-4.54,119.49,-2.72,119.98,0.00
18.1,158,160,-2.02,117.26,-1.21,118.97,0.02
18.2,158,160,-2.02,117.78,-1.21,117.96,0.00
18.4,158,158,-0.26,116.75,-0.16,117.83,0.02
18.5,159,158,0.74,117.69,0.44,118.20,0.01
18.6,158,155,3.25,118.65,1.95,119.82,0.02
18.7,158,157,1.49,121.80,0.90,120.57,-0.02
