Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,158,0,158.00,0.00,126.40,15.80,1.55
2.3,157,11,146.45,143.75,117.16,30.44,-0.11
2.4,160,74,86.14,147.49,68.91,39.06,-0.59
2.5,157,116,40.94,107.38,32.75,43.15,-0.44
2.6,158,151,6.77,75.46,5.42,43.83,-0.33
2.7,158,141,17.32,48.91,13.86,45.56,0.10
2.9,158,125,33.15,59.52,26.52,48.88,0.16
3.0,158,107,50.73,75.55,40.59,53.95,0.17
3.1,159,106,53.49,94.71,42.79,59.30,0.03
3.2,159,116,42.94,102.12,34.35,63.59,-0.10
3.4,158,132,26.11,97.84,20.89,66.20,-0.16
3.5,159,137,21.84,86.93,17.47,68.39,-0.04
3.6,158,139,19.08,85.82,15.26,70.30,-0.03
3.7,158,135,22.60,85.53,18.08,72.56,0.03
3.9,158,132,26.11,90.67,20.89,75.17,0.03
4.0,158,132,26.11,96.09,20.89,77.78,0.00
4.1,158,135,22.60,98.67,18.08,80.04,-0.03
4.2,158,141,17.32,98.08,13.86,81.77,-0.05
4.4,159,144,14.80,95.57,11.84,83.25,-0.02
4.5,158,142,15.56,95.07,12.45,84.81,0.01
4.6,158,142,15.56,97.26,12.45,86.36,0.00
4.7,159,142,16.56,98.81,13.25,88.02,0.01
4.8,159,142,16.56,101.28,13.25,89.67,0.00
5.0,158,146,12.04,102.92,9.64,90.88,-0.04
5.1,158,148,10.29,100.47,8.23,91.91,-0.02
5.2,158,148,10.29,100.12,8.23,92.94,0.00
5.3,158,148,10.29,101.16,8.23,93.96,0.00
5.5,158,146,12.04,102.19,9.64,95.17,0.02
5.6,158,148,10.29,104.82,8.23,96.20,-0.02
5.7,158,149,8.53,104.41,6.82,97.05,-0.02
5.8,158,149,8.53,103.85,6.82,97.90,0.00
6.0,160,148,12.29,104.72,9.83,99.13,0.04
6.1,158,148,10.29,109.00,8.23,100.16,-0.02
6.2,158,149,8.53,108.37,6.82,101.01,-0.02
6.3,159,151,7.77,107.82,6.22,101.79,-0.01
6.4,158,151,6.77,108.00,5.42,102.47,-0.01
6.6,158,149,8.53,107.87,6.82,103.32,0.02
6.7,158,151,6.77,110.16,5.42,104.00,-0.02
6.8,158,153,05.01,109.39,04.01,104.50,-0.02
6.9,159,153,06.01,108.49,4.81,105.10,0.01
7.1,158,151,6.77,109.92,5.42,105.78,0.01
7.2,158,153,05.01,111.20,04.01,106.28,-0.02
7.3,159,155,4.25,110.27,3.40,106.70,-0.01
7.4,158,157,1.49,110.10,1.19,106.85,-0.03
7.6,158,155,3.25,108.02,2.60,107.18,0.02
7.7,158,155,3.25,109.80,2.60,107.50,0.00
7.8,158,155,3.25,110.10,2.60,107.83,0.00
7.9,158,155,3.25,110.43,2.60,108.15,0.00
8.0,158,153,05.01,110.75,04.01,108.65,0.02
8.2,159,157,2.49,112.68,1.99,108.90,-0.02
8.3,158,157,1.49,110.87,1.19,109.05,-0.01
8.4,158,157,1.49,110.24,1.19,109.20,0.00
8.5,158,155,3.25,110.40,2.60,109.53,0.02
8.7,158,155,3.25,112.14,2.60,109.85,0.00
8.8,158,153,05.01,112.45,04.01,110.35,0.02
8.9,159,157,2.49,114.38,1.99,110.60,-0.02
9.0,158,157,1.49,112.57,1.19,110.75,-0.01
9.2,158,158,-0.26,111.94,-0.21,110.72,-0.02
9.3,160,160,-0.02,110.50,-0.02,110.72,0.00
9.4,158,158,-0.26,110.71,-0.21,110.70,-0.00
9.5,158,160,-2.02,110.48,-1.62,110.49,-0.02
9.7,158,158,-0.26,108.86,-0.21,110.47,0.02
9.8,158,158,-0.26,110.27,-0.21,110.44,0.00
9.9,159,155,4.25,110.23,3.40,110.87,0.04
10.0,159,153,06.01,114.31,4.81,111.47,0.02
10.2,158,157,1.49,116.29,1.19,111.62,-0.04
10.3,159,158,0.74,112.77,0.59,111.69,-0.01
10.4,159,160,-1.02,112.27,-0.82,111.59,-0.02
10.5,158,164,-5.54,110.75,-4.43,111.03,-0.04
10.7,158,162,-3.78,106.56,-3.03,110.65,0.02
10.8,158,158,-0.26,107.65,-0.21,110.63,0.03
10.9,158,157,1.49,110.45,1.19,110.78,0.02
11.0,158,155,3.25,111.99,2.60,111.10,0.02
11.2,158,155,3.25,113.72,2.60,111.43,0.00
11.3,159,158,0.74,114.03,0.59,111.50,-0.02
11.4,159,158,0.74,112.07,0.59,111.58,0.00
11.5,158,160,-2.02,112.16,-1.62,111.37,-0.03
11.7,159,162,-2.78,109.73,-2.23,111.09,-0.01
11.8,159,162,-2.78,108.86,-2.23,110.82,0.00
11.9,158,158,-0.26,108.59,-0.21,110.79,0.02
12.0,158,158,-0.26,110.60,-0.21,110.76,0.00
12.2,159,157,2.49,110.55,1.99,111.01,0.03
12.3,158,153,05.01,113.03,04.01,111.51,0.02
12.4,158,157,1.49,115.55,1.19,111.66,-0.03
12.5,158,158,-0.26,112.82,-0.21,111.64,-0.02
12.7,159,164,-4.54,111.41,-3.63,111.18,-0.04
12.8,159,162,-2.78,107.51,-2.23,110.90,0.02
12.9,158,158,-0.26,108.70,-0.21,110.88,0.02
13.0,158,158,-0.26,110.69,-0.21,110.85,0.00
13.2,159,158,0.74,110.64,0.59,110.93,0.01
13.3,158,155,3.25,111.52,2.60,111.25,0.02
13.4,158,157,1.49,113.88,1.19,111.40,-0.02
13.5,158,157,1.49,112.58,1.19,111.55,0.00
13.7,158,157,1.49,112.74,1.19,111.70,0.00
13.8,159,157,2.49,112.89,1.99,111.95,0.01
13.9,158,157,1.49,113.95,1.19,112.10,-0.01
14.0,158,158,-0.26,113.28,-0.21,112.07,-0.02
14.2,159,162,-2.78,111.84,-2.23,111.79,-0.02
14.3,159,160,-1.02,109.54,-0.82,111.69,0.02
14.4,159,158,0.74,110.89,0.59,111.76,0.02
14.5,158,155,3.25,112.37,2.60,112.09,0.02
14.7,158,155,3.25,114.71,2.60,112.41,0.00
14.8,159,157,2.49,115.02,1.99,112.66,-0.01
14.9,160,160,-0.02,114.65,-0.02,112.66,-0.02
15.0,158,162,-3.78,112.62,-3.03,112.28,-0.04
15.2,158,164,-5.54,109.22,-4.43,111.73,-0.02
15.3,158,160,-2.02,107.28,-1.62,111.53,0.03
15.4,158,160,-2.02,109.94,-1.62,111.32,0.00
15.5,159,158,0.74,109.71,0.59,111.40,0.03
15.7,158,155,3.25,112.01,2.60,111.72,0.02
15.8,158,158,-0.26,114.35,-0.21,111.70,-0.03
15.9,158,162,-3.78,111.45,-3.03,111.32,-0.03
16.0,158,162,-3.78,108.26,-3.03,110.94,0.00
16.2,158,160,-2.02,107.91,-1.62,110.74,0.02
16.3,158,158,-0.26,109.14,-0.21,110.71,0.02
16.4,158,157,1.49,110.52,1.19,110.86,0.02
16.5,158,157,1.49,112.07,1.19,111.01,0.00
16.7,158,157,1.49,112.20,1.19,111.16,0.00
16.8,158,158,-0.26,112.35,-0.21,111.13,-0.02
16.9,159,162,-2.78,110.90,-2.23,110.85,-0.02
17.0,158,158,-0.26,108.60,-0.21,110.83,0.02
17.2,158,158,-0.26,110.64,-0.21,110.80,0.00
17.3,158,157,1.49,110.59,1.19,110.95,0.02
17.4,158,155,3.25,112.16,2.60,111.28,0.02
