Tempo: 2.2s	Setpoint: 153 RPM		Vel.: 0 RPM	erro: 153.00 RPM		Controle: 0.00	AcaoP: 91.80	AcaoI: 76.50	 AcaoD: 1.22
Tempo: 2.3s	Setpoint: 149 RPM		Vel.: 12 RPM	erro: 136.69 RPM		Controle: 169.52	AcaoP: 82.01	AcaoI: 144.85	 AcaoD: -0.13
Tempo: 2.4s	Setpoint: 152 RPM		Vel.: 84 RPM	erro: 67.59 RPM		Controle: 226.73	AcaoP: 40.56	AcaoI: 178.64	 AcaoD: -0.55
Tempo: 2.5s	Setpoint: 150 RPM		Vel.: 137 RPM	erro: 12.84 RPM		Controle: 218.64	AcaoP: 7.70	AcaoI: 185.06	 AcaoD: -0.44
Tempo: 2.6s	Setpoint: 151 RPM		Vel.: 183 RPM	erro: -31.88 RPM		Controle: 192.32	AcaoP: -19.13	AcaoI: 169.12	 AcaoD: -0.36
Tempo: 2.8s	Setpoint: 150 RPM		Vel.: 190 RPM	erro: -39.92 RPM		Controle: 149.63	AcaoP: -23.95	AcaoI: 149.16	 AcaoD: -0.06
Tempo: 2.9s	Setpoint: 153 RPM		Vel.: 183 RPM	erro: -29.88 RPM		Controle: 125.14	AcaoP: -17.93	AcaoI: 134.22	 AcaoD: 0.08
Tempo: 3.0s	Setpoint: 151 RPM		Vel.: 174 RPM	erro: -23.09 RPM		Controle: 116.37	AcaoP: -13.85	AcaoI: 122.67	 AcaoD: 0.05
Tempo: 3.1s	Setpoint: 151 RPM		Vel.: 164 RPM	erro: -12.54 RPM		Controle: 108.87	AcaoP: -7.52	AcaoI: 116.40	 AcaoD: 0.08
Tempo: 3.3s	Setpoint: 152 RPM		Vel.: 155 RPM	erro: -2.75 RPM		Controle: 108.96	AcaoP: -1.65	AcaoI: 115.03	 AcaoD: 0.08
Tempo: 3.4s	Setpoint: 151 RPM		Vel.: 149 RPM	erro: 1.53 RPM		Controle: 113.46	AcaoP: 0.92	AcaoI: 115.79	 AcaoD: 0.03
Tempo: 3.5s	Setpoint: 150 RPM		Vel.: 146 RPM	erro: 4.04 RPM		Controle: 116.74	AcaoP: 2.43	AcaoI: 117.81	 AcaoD: 0.02
