Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,153,0,153.00,0.00,122.40,76.50,1.22
2.3,156,16,140.17,200.12,112.14,146.59,-0.10
2.4,150,100,49.77,258.62,39.81,171.47,-0.72
2.5,148,157,-8.51,210.56,-6.81,167.22,-0.47
2.6,150,193,-43.43,159.94,-34.75,145.50,-0.28
2.8,149,190,-40.92,110.47,-32.73,125.04,0.02
2.9,151,178,-26.61,92.33,-21.29,111.74,0.11
3.0,151,160,-9.02,90.56,-7.22,107.22,0.14
3.1,155,148,7.29,100.15,5.83,110.87,0.13
3.3,152,142,9.56,116.83,7.65,115.65,0.02
3.4,150,146,04.04,123.32,3.24,117.67,-0.04
3.5,154,155,-0.75,120.86,-0.60,117.30,-0.04
3.6,150,160,-10.02,116.66,-8.02,112.28,-0.07
3.8,153,164,-10.54,104.19,-8.43,107.01,-0.00
3.9,154,160,-6.02,98.58,-4.82,104.00,0.04
4.0,151,151,-0.23,99.22,-0.18,103.89,0.05
4.1,151,149,1.53,103.75,1.22,104.65,0.01
4.3,150,146,04.04,105.89,3.24,106.67,0.02
4.4,151,148,3.29,109.93,2.63,108.32,-0.01
4.5,150,149,0.53,110.94,0.42,108.58,-0.02
4.6,154,151,2.77,108.98,2.22,109.96,0.02
4.7,151,153,-1.99,112.20,-1.59,108.97,-0.04
4.9,153,155,-1.75,107.34,-1.40,108.10,0.00
5.0,156,153,03.01,106.70,2.41,109.60,0.04
5.1,151,149,1.53,112.05,1.22,110.36,-0.01
5.2,153,153,0.01,111.57,0.01,110.37,-0.01
5.4,150,153,-2.99,110.37,-2.39,108.88,-0.02
5.5,151,157,-5.51,106.46,-4.41,106.12,-0.02
5.6,154,155,-0.75,101.70,-0.60,105.75,0.04
5.7,153,151,1.77,105.19,1.42,106.63,0.02
5.9,151,148,3.29,108.07,2.63,108.28,0.01
6.0,150,148,2.29,110.92,1.83,109.42,-0.01
6.1,154,153,01.01,111.24,0.81,109.92,-0.01
6.2,152,151,0.77,110.72,0.62,110.31,-0.00
6.4,150,153,-2.99,110.92,-2.39,108.81,-0.03
6.5,154,155,-0.75,106.39,-0.60,108.44,0.02
6.6,151,153,-1.99,107.86,-1.59,107.45,-0.01
6.7,154,153,01.01,105.84,0.81,107.95,0.02
6.9,152,149,2.53,108.78,02.02,109.21,0.01
7.0,150,149,0.53,111.25,0.42,109.48,-0.02
7.1,156,153,03.01,109.88,2.41,110.98,0.02
7.2,153,149,3.53,113.41,2.82,112.75,0.00
7.4,151,153,-1.99,115.57,-1.59,111.75,-0.04
7.5,154,157,-2.51,110.12,-2.01,110.50,-0.00
7.6,150,157,-6.51,108.49,-5.21,107.25,-0.03
7.7,150,155,-4.75,102.01,-3.80,104.87,0.01
7.9,150,151,-1.23,101.09,-0.98,104.26,0.03
8.0,151,149,1.53,103.30,1.22,105.02,0.02
8.1,153,146,07.04,106.26,5.64,108.54,0.04
8.2,155,146,09.04,114.22,7.24,113.06,0.02
8.3,152,149,2.53,120.32,02.02,114.33,-0.05
8.5,153,155,-1.75,116.30,-1.40,113.45,-0.03
8.6,150,158,-8.26,112.02,-6.61,109.32,-0.05
8.7,151,158,-7.26,102.66,-5.81,105.69,0.01
8.9,150,155,-4.75,99.89,-3.80,103.32,0.02
9.0,155,148,7.29,99.54,5.83,106.96,0.10
9.1,151,142,8.56,112.88,6.85,111.24,0.01
9.2,153,148,5.29,118.10,4.23,113.88,-0.03
9.3,150,153,-2.99,118.09,-2.39,112.39,-0.07
9.5,152,160,-8.02,109.93,-6.42,108.38,-0.04
9.6,153,158,-5.26,101.92,-4.21,105.74,0.02
9.7,154,155,-0.75,101.55,-0.60,105.37,0.04
9.8,151,151,-0.23,104.81,-0.18,105.25,0.00
10.0,150,149,0.53,105.07,0.42,105.52,0.01
10.1,155,149,5.53,105.95,4.42,108.28,0.04
10.2,151,149,1.53,112.74,1.22,109.05,-0.03
10.3,154,153,01.01,110.24,0.81,109.55,-0.00
10.5,155,157,-1.51,110.35,-1.21,108.80,-0.02
10.6,151,158,-7.26,107.57,-5.81,105.16,-0.05
10.7,150,157,-6.51,99.31,-5.21,101.91,0.01
10.8,150,149,0.53,96.71,0.42,102.18,0.06
11.0,152,144,7.80,102.65,6.24,106.08,0.06
11.1,150,144,5.80,112.38,4.64,108.98,-0.02
11.2,150,149,0.53,113.60,0.42,109.24,-0.04
11.3,153,151,1.77,109.62,1.42,110.13,0.01
11.5,150,153,-2.99,111.55,-2.39,108.63,-0.04
11.6,151,155,-3.75,106.20,-3.00,106.76,-0.01
11.7,155,157,-1.51,103.75,-1.21,106.00,0.02
11.8,150,151,-1.23,104.82,-0.98,105.39,0.00
12.0,151,151,-0.23,104.41,-0.18,105.27,0.01
12.1,154,149,4.53,105.10,3.62,107.54,0.04
12.2,151,149,1.53,111.20,1.22,108.30,-0.02
12.3,152,151,0.77,109.50,0.62,108.69,-0.01
12.5,154,153,01.01,109.30,0.81,109.19,0.00
12.6,150,153,-2.99,110.00,-2.39,107.70,-0.03
12.7,153,157,-3.51,105.27,-2.81,105.94,-0.00
12.8,155,155,0.25,103.13,0.20,106.07,0.03
13.0,150,149,0.53,106.30,0.42,106.33,0.00
13.1,150,151,-1.23,106.76,-0.98,105.72,-0.01
13.2,150,153,-2.99,104.72,-2.39,104.22,-0.01
13.3,151,153,-1.99,101.82,-1.59,103.23,0.01
13.5,150,151,-1.23,101.64,-0.98,102.61,0.01
13.6,152,149,2.53,101.63,02.02,103.88,0.03
13.7,152,148,4.29,105.93,3.43,106.02,0.01
13.8,150,148,2.29,109.46,1.83,107.16,-0.02
14.0,150,151,-1.23,108.98,-0.98,106.55,-0.03
14.1,153,155,-1.75,105.53,-1.40,105.67,-0.00
14.2,154,155,-0.75,104.27,-0.60,105.30,0.01
14.4,151,153,-1.99,104.71,-1.59,104.30,-0.01
14.5,154,153,01.01,102.70,0.81,104.81,0.02
14.6,150,149,0.53,105.64,0.42,105.07,-0.00
14.7,152,149,2.53,105.49,02.02,106.34,0.02
14.9,150,149,0.53,108.38,0.42,106.60,-0.02
15.0,150,151,-1.23,107.01,-0.98,105.99,-0.01
15.1,153,155,-1.75,104.99,-1.40,105.11,-0.00
15.2,154,153,01.01,103.71,0.81,105.62,0.02
15.4,151,149,1.53,106.45,1.22,106.38,0.00
15.5,150,148,2.29,107.61,1.83,107.52,0.01
15.6,155,149,5.53,109.36,4.42,110.29,0.03
15.7,150,149,0.53,114.74,0.42,110.55,-0.04
15.8,153,153,0.01,110.93,0.01,110.56,-0.00
16.0,155,155,0.25,110.56,0.20,110.68,0.00
16.1,150,153,-2.99,110.89,-2.39,109.19,-0.03
16.2,154,157,-2.51,106.77,-2.01,107.93,0.00
