Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,Filtro,AcaoP,AcaoI,AcaoD
2.2,-160,0,-160.00,0.00,0.00,-128.00,-160.00,-0.16
3.2,-160,-62,-97.92,-288.16,-187.40,-78.34,-160.00,0.06
4.2,-160,-157,-2.97,-238.28,-220.20,-2.37,-160.00,0.09
5.2,-160,-161,0.90,-162.28,-182.80,0.72,-155.49,0.00
6.2,-82,-158,75.91,-154.76,-165.90,60.73,160.00,0.08
7.2,88,-78,165.55,220.81,85.70,132.44,160.00,0.09
8.2,159,113,45.58,196.34,220.10,36.46,160.00,-0.12
9.2,159,150,9.18,167.30,205.90,7.34,160.00,-0.04
10.2,159,149,10.06,,181.20,08.04,160.00,0.00
11.2,159,147,12.17,168.04,173.00,9.73,160.00,0.00
12.2,159,146,12.52,169.73,171.30,10.01,160.00,0.00
13.2,159,147,12.17,170.01,171.00,9.73,160.00,-0.00
14.2,159,148,10.76,169.73,170.70,8.61,160.00,-0.00
15.2,159,149,10.41,168.61,169.60,8.33,160.00,-0.00
16.2,159,149,10.23,168.33,169.30,8.18,160.00,-0.00
17.2,159,148,11.29,168.18,169.10,09.03,160.00,0.00
18.2,159,149,10.23,169.03,169.10,8.18,160.00,-0.00
19.2,159,149,9.70,168.18,169.10,7.76,160.00,-0.00
20.2,159,150,9.35,167.76,168.70,7.48,160.00,-0.00
21.2,158,149,8.70,167.48,168.40,6.96,160.00,-0.00
22.2,158,148,10.29,166.96,167.90,8.23,160.00,0.00
23.2,159,149,10.23,168.23,167.90,8.18,160.00,-0.00
24.2,159,149,10.41,168.18,167.90,8.33,160.00,0.00
25.2,159,149,9.88,168.33,167.90,7.90,160.00,-0.00
26.2,159,148,11.11,167.90,167.90,8.89,160.00,0.00
27.2,158,148,9.76,168.89,167.90,7.81,160.00,-0.00
28.2,159,150,9.35,167.81,167.90,7.48,160.00,-0.00
29.2,159,149,9.53,167.48,167.90,7.62,160.00,0.00
30.2,159,149,9.70,167.62,167.90,7.76,160.00,0.00
31.2,159,148,11.11,167.76,167.90,8.89,160.00,0.00
32.2,158,149,8.70,168.89,167.90,6.96,160.00,-0.00
33.2,159,149,9.70,166.96,167.90,7.76,160.00,0.00
34.2,159,150,9.35,167.76,167.90,7.48,160.00,-0.00
35.2,159,149,9.70,167.48,167.90,7.76,160.00,0.00
36.2,159,149,9.88,167.76,167.90,7.90,160.00,0.00
37.2,159,148,10.58,167.90,167.90,8.47,160.00,0.00
38.2,158,149,8.53,168.47,167.90,6.82,160.00,-0.00
39.2,159,149,10.23,166.82,167.80,8.18,160.00,0.00
40.2,159,149,9.70,168.19,167.80,7.76,160.00,-0.00
