Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,Filtro,AcaoP,AcaoI,AcaoD
41.2,159,145,13.57,167.76,167.80,10.86,160.00,0.00
42.2,159,148,11.46,170.86,169.40,9.17,160.00,-0.00
43.2,159,149,10.06,169.17,169.40,08.04,160.00,-0.00
44.2,159,149,9.88,168.04,169.00,7.90,160.00,-0.00
45.2,159,147,12.34,167.90,168.90,9.87,160.00,0.00
46.2,159,149,10.41,169.88,168.90,8.33,160.00,-0.00
47.2,159,149,10.23,168.32,168.90,8.18,160.00,-0.00
48.2,159,149,10.06,168.18,168.90,08.04,160.00,-0.00
49.2,159,150,9.00,168.04,168.90,7.20,160.00,-0.00
50.2,159,150,9.35,167.20,168.10,7.48,160.00,0.00
51.2,159,150,9.35,167.48,168.10,7.48,160.00,0.00
52.2,159,150,9.00,167.48,168.10,7.20,160.00,-0.00
53.2,159,149,9.70,167.20,168.10,7.76,160.00,0.00
54.2,159,149,9.53,167.76,168.10,7.62,160.00,-0.00
55.2,159,150,9.00,167.62,168.10,7.20,160.00,-0.00
56.2,159,149,10.23,167.20,168.10,8.18,160.00,0.00
57.2,159,150,9.18,168.19,168.10,7.34,160.00,-0.00
58.2,158,150,8.18,167.34,168.10,6.54,160.00,-0.00
59.2,159,149,9.88,166.54,167.50,7.90,160.00,0.00
60.2,159,149,10.06,167.91,167.50,08.04,160.00,0.00
61.2,159,149,9.88,168.04,167.50,7.90,160.00,-0.00
62.2,159,149,9.88,167.90,167.50,7.90,160.00,0.00
63.2,55,149,-94.47,167.90,167.50,-75.58,-160.00,-0.10
64.2,-157,82,-239.30,-235.68,-79.20,-191.44,-160.00,-0.14
65.2,-160,-101,-59.41,-351.58,-256.20,-47.53,-160.00,0.18
66.2,-160,-162,1.61,-207.35,-224.60,1.28,-151.97,0.06
67.2,-160,-159,-1.38,-150.62,-179.60,-1.11,-158.89,-0.00
68.2,-160,-158,-1.74,-160.00,-167.20,-1.39,-160.00,-0.00
69.2,-160,-158,-1.91,-161.39,-163.70,-1.53,-160.00,-0.00
70.2,-160,-158,-2.09,-161.53,-162.70,-1.67,-160.00,-0.00
71.2,-160,-158,-1.91,-161.67,-162.60,-1.53,-160.00,0.00
72.2,-160,-158,-2.09,-161.53,-162.50,-1.67,-160.00,-0.00
73.2,-160,-158,-1.91,-161.67,-162.50,-1.53,-160.00,0.00
74.2,-160,-158,-2.09,-161.53,-162.50,-1.67,-160.00,-0.00
75.2,-160,-158,-1.91,-161.67,-162.50,-1.53,-160.00,0.00
76.2,-160,-158,-1.74,-161.53,-162.50,-1.39,-160.00,0.00
77.2,-160,-158,-2.09,-161.39,-162.30,-1.67,-160.00,-0.00
78.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
79.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
80.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
81.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
82.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
83.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
84.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
85.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
86.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
87.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
88.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
89.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
90.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
91.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
92.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
93.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
94.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
95.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
96.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
97.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
98.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
99.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
100.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
101.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
102.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
103.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
104.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
105.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
106.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
107.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
108.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
109.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
110.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
111.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
112.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
113.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
114.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
115.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
116.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
117.2,-160,-158,-1.91,-161.53,-162.30,-1.53,-160.00,0.00
118.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
119.2,-160,-158,-1.91,-161.67,-162.30,-1.53,-160.00,0.00
120.2,-160,-158,-2.09,-161.53,-162.30,-1.67,-160.00,-0.00
121.2,-160,-158,-1.74,-161.67,-162.30,-1.39,-160.00,0.00
122.2,-160,-158,-2.09,-161.39,-162.30,-1.67,-160.00,-0.00
