Tempo: 6.02s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 6.12s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 6.22s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 6.32s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 6.42s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 6.52s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 6.62s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 6.72s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 6.82s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 6.92s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 7.02s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 7.12s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 7.22s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 7.32s	Velocidade angular do Motor: -178 RPM	PWM: 254.00	 Pulsos por periodo: -101
Tempo: 7.42s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 7.52s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 7.62s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 7.72s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 7.82s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 7.92s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 8.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 8.12s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 8.22s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 8.32s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
