Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
2.2,-160,0,-160.00,0.00,-96.00,-160.00
2.3,-160,-33,-126.59,-256.00,-75.95,-286.59
2.4,-160,-135,-24.60,-362.54,-14.76,-311.18
2.5,-160,-162,1.78,-325.94,01.07,-309.40
2.6,-160,-165,5.30,-308.33,3.18,-304.10
2.7,-160,-179,19.37,-300.92,11.62,-284.74
2.8,-160,-195,35.19,-273.12,21.12,-249.54
2.9,-160,-195,35.19,-228.43,21.12,-214.35
3.1,-160,-192,31.68,-193.23,19.01,-182.67
3.2,-160,-186,26.40,-163.67,15.84,-156.27
3.3,-160,-181,21.13,-140.43,12.68,-135.15
3.4,-160,-172,12.33,-122.47,7.40,-122.81
3.5,-160,-162,1.78,-115.41,01.07,-121.03
3.6,-160,-151,-8.77,-119.96,-5.26,-129.80
3.7,-160,-151,-8.77,-135.06,-5.26,-138.57
3.9,-160,-153,-7.01,-143.83,-4.21,-145.58
4.0,-160,-158,-1.74,-149.79,-1.04,-147.32
4.1,-160,-162,1.78,-148.36,01.07,-145.53
4.2,-160,-162,1.78,-144.46,01.07,-143.75
4.3,-160,-162,1.78,-142.68,01.07,-141.97
4.4,-160,-160,0.02,-140.90,0.01,-141.95
4.5,-160,-162,1.78,-141.93,01.07,-140.16
4.7,-160,-158,-1.74,-139.10,-1.04,-141.90
4.8,-160,-164,3.54,-142.94,2.12,-138.36
4.9,-160,-158,-1.74,-136.23,-1.04,-140.09
5.0,-160,-162,1.78,-141.13,01.07,-138.31
5.1,-160,-160,0.02,-137.24,0.01,-138.29
5.2,-160,-158,-1.74,-138.27,-1.04,-140.02
5.3,-160,-160,0.02,-141.06,0.01,-140.00
5.5,-160,-158,-1.74,-139.99,-1.04,-141.74
5.6,-160,-162,1.78,-142.78,01.07,-139.95
5.7,-160,-160,0.02,-138.88,0.01,-139.93
5.8,-160,-160,0.02,-139.92,0.01,-139.91
5.9,-160,-158,-1.74,-139.89,-1.04,-141.64
6.0,-160,-160,0.02,-142.68,0.01,-141.62
6.1,-160,-160,0.02,-141.60,0.01,-141.59
6.3,-160,-160,0.02,-141.58,0.01,-141.57
6.4,-160,-160,0.02,-141.56,0.01,-141.55
6.5,-160,-160,0.02,-141.53,0.01,-141.52
6.6,-160,-160,0.02,-141.51,0.01,-141.50
6.7,-160,-160,0.02,-141.49,0.01,-141.48
6.8,-160,-160,0.02,-141.46,0.01,-141.45
6.9,-160,-160,0.02,-141.44,0.01,-141.43
7.0,-160,-158,-1.74,-141.42,-1.04,-143.17
7.2,-160,-164,3.54,-144.21,2.12,-139.63
7.3,-160,-158,-1.74,-137.50,-1.04,-141.36
7.4,-160,-164,3.54,-142.40,2.12,-137.82
7.5,-160,-158,-1.74,-135.70,-1.04,-139.55
7.6,-160,-160,0.02,-140.60,0.01,-139.53
7.7,-160,-158,-1.74,-139.52,-1.04,-141.27
7.8,-160,-162,1.78,-142.31,01.07,-139.48
8.0,-160,-160,0.02,-138.42,0.01,-139.46
8.1,-160,-158,-1.74,-139.45,-1.04,-141.20
8.2,-160,-162,1.78,-142.24,01.07,-139.41
8.3,-160,-160,0.02,-138.35,0.01,-139.39
8.4,-160,-160,0.02,-139.38,0.01,-139.37
8.5,-160,-160,0.02,-139.35,0.01,-139.34
8.6,-160,-158,-1.74,-139.33,-1.04,-141.08
8.8,-160,-164,3.54,-142.12,2.12,-137.54
8.9,-160,-160,0.02,-135.41,0.01,-137.52
9.0,-160,-160,0.02,-137.50,0.01,-137.49
