Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
2.2,-119,0,-119.00,0.00,-71.40,-11.90
2.3,-143,-5,-137.72,-83.30,-82.63,-25.67
2.4,-160,-28,-131.86,-108.31,-79.12,-38.86
2.5,-160,-60,-100.21,-117.98,-60.13,-48.88
2.6,-160,-83,-77.35,-109.01,-46.41,-56.62
2.7,-160,-100,-59.77,-103.03,-35.86,-62.59
2.8,-160,-114,-45.70,-98.45,-27.42,-67.16
2.9,-160,-113,-47.46,-94.58,-28.47,-71.91
3.1,-160,-113,-47.46,-100.38,-28.47,-76.65
3.2,-160,-113,-47.46,-105.13,-28.47,-81.40
3.3,-160,-116,-43.94,-109.87,-26.36,-85.79
3.4,-160,-120,-40.42,-112.16,-24.25,-89.83
3.5,-160,-127,-33.39,-114.09,-20.03,-93.17
3.6,-160,-128,-31.63,-113.21,-18.98,-96.34
3.8,-160,-132,-28.11,-115.31,-16.87,-99.15
3.9,-160,-132,-28.11,-116.01,-16.87,-101.96
4.0,-160,-135,-24.60,-118.83,-14.76,-104.42
4.1,-160,-137,-22.84,-119.18,-13.70,-106.70
4.2,-160,-139,-21.08,-120.40,-12.65,-108.81
4.3,-160,-141,-19.32,-121.46,-11.59,-110.74
4.5,-160,-141,-19.32,-122.33,-11.59,-112.67
4.6,-160,-144,-15.80,-124.27,-9.48,-114.25
4.7,-160,-142,-17.56,-123.74,-10.54,-116.01
4.8,-160,-146,-14.04,-126.55,-8.43,-117.41
4.9,-160,-146,-14.04,-125.84,-8.43,-118.82
5.0,-160,-146,-14.04,-127.25,-8.43,-120.22
5.2,-160,-148,-12.29,-128.65,-7.37,-121.45
5.3,-160,-149,-10.53,-128.82,-6.32,-122.50
5.4,-160,-148,-12.29,-128.82,-7.37,-123.73
5.5,-160,-149,-10.53,-131.11,-6.32,-124.79
5.6,-160,-151,-8.77,-131.10,-5.26,-125.66
5.7,-160,-151,-8.77,-130.92,-5.26,-126.54
5.9,-160,-151,-8.77,-131.80,-5.26,-127.42
6.0,-160,-151,-8.77,-132.68,-5.26,-128.29
6.1,-160,-151,-8.77,-133.56,-5.26,-129.17
6.2,-160,-153,-7.01,-134.43,-4.21,-129.87
6.3,-160,-153,-7.01,-134.08,-4.21,-130.57
6.4,-160,-153,-7.01,-134.78,-4.21,-131.27
6.5,-160,-153,-7.01,-135.48,-4.21,-131.97
6.7,-160,-155,-5.25,-136.18,-3.15,-132.50
6.8,-160,-157,-3.49,-135.65,-2.10,-132.85
6.9,-160,-155,-5.25,-134.95,-3.15,-133.37
7.0,-160,-157,-3.49,-136.53,-2.10,-133.72
7.1,-160,-157,-3.49,-135.82,-2.10,-134.07
7.2,-160,-157,-3.49,-136.17,-2.10,-134.42
7.4,-160,-158,-1.74,-136.52,-1.04,-134.60
7.5,-160,-157,-3.49,-135.64,-2.10,-134.95
7.6,-160,-158,-1.74,-137.04,-1.04,-135.12
7.7,-160,-157,-3.49,-136.16,-2.10,-135.47
7.8,-160,-157,-3.49,-137.56,-2.10,-135.82
7.9,-160,-158,-1.74,-137.91,-1.04,-135.99
8.0,-160,-157,-3.49,-137.03,-2.10,-136.34
8.2,-160,-158,-1.74,-138.44,-1.04,-136.51
8.3,-160,-158,-1.74,-137.56,-1.04,-136.69
8.4,-160,-158,-1.74,-137.73,-1.04,-136.86
8.5,-160,-157,-3.49,-137.90,-2.10,-137.21
8.6,-160,-157,-3.49,-139.31,-2.10,-137.56
