Tempo: 6.6s	Setpoint: -160 RPM		Vel.: -141 RPM	erro: -19.32 RPM		Controle: -102.91	AcaoP: -11.59	AcaoI: -91.22	 AcaoD: 0.00
Tempo: 6.8s	Setpoint: -160 RPM		Vel.: -142 RPM	erro: -17.56 RPM		Controle: -102.82	AcaoP: -10.54	AcaoI: -92.10	 AcaoD: 0.00
Tempo: 6.9s	Setpoint: -160 RPM		Vel.: -141 RPM	erro: -19.32 RPM		Controle: -102.64	AcaoP: -11.59	AcaoI: -93.07	 AcaoD: 0.00
Tempo: 7.0s	Setpoint: -160 RPM		Vel.: -141 RPM	erro: -19.32 RPM		Controle: -104.66	AcaoP: -11.59	AcaoI: -94.03	 AcaoD: 0.00
Tempo: 7.2s	Setpoint: -160 RPM		Vel.: -142 RPM	erro: -17.56 RPM		Controle: -105.63	AcaoP: -10.54	AcaoI: -94.91	 AcaoD: 0.00
Tempo: 7.3s	Setpoint: -160 RPM		Vel.: -144 RPM	erro: -15.80 RPM		Controle: -105.45	AcaoP: -9.48	AcaoI: -95.70	 AcaoD: 0.00
Tempo: 7.4s	Setpoint: -160 RPM		Vel.: -144 RPM	erro: -15.80 RPM		Controle: -105.18	AcaoP: -9.48	AcaoI: -96.49	 AcaoD: 0.00
Tempo: 7.5s	Setpoint: -160 RPM		Vel.: -144 RPM	erro: -15.80 RPM		Controle: -105.97	AcaoP: -9.48	AcaoI: -97.28	 AcaoD: 0.00
Tempo: 7.7s	Setpoint: -160 RPM		Vel.: -144 RPM	erro: -15.80 RPM		Controle: -106.76	AcaoP: -9.48	AcaoI: -98.07	 AcaoD: 0.00
Tempo: 7.8s	Setpoint: -160 RPM		Vel.: -144 RPM	erro: -15.80 RPM		Controle: -107.55	AcaoP: -9.48	AcaoI: -98.86	 AcaoD: 0.00
Tempo: 7.9s	Setpoint: -160 RPM		Vel.: -146 RPM	erro: -14.04 RPM		Controle: -108.34	AcaoP: -8.43	AcaoI: -99.57	 AcaoD: 0.00
Tempo: 8.1s	Setpoint: -160 RPM		Vel.: -146 RPM	erro: -14.04 RPM		Controle: -107.99	AcaoP: -8.43	AcaoI: -100.27	 AcaoD: 0.00
Tempo: 8.2s	Setpoint: -160 RPM		Vel.: -148 RPM	erro: -12.29 RPM		Controle: -108.69	AcaoP: -7.37	AcaoI: -100.88	 AcaoD: 0.00
Tempo: 8.3s	Setpoint: -160 RPM		Vel.: -148 RPM	erro: -12.29 RPM		Controle: -108.25	AcaoP: -7.37	AcaoI: -101.50	 AcaoD: 0.00
Tempo: 8.5s	Setpoint: -160 RPM		Vel.: -148 RPM	erro: -12.29 RPM		Controle: -108.87	AcaoP: -7.37	AcaoI: -102.11	 AcaoD: 0.00
