Tempo: 6.6s	Setpoint: 137 RPM		Vel.: 139 RPM	erro: -1.92 RPM		Controle: 112.67	AcaoP: -1.15	AcaoI: 111.81
Tempo: 6.7s	Setpoint: 137 RPM		Vel.: 137 RPM	erro: -0.16 RPM		Controle: 110.65	AcaoP: -0.10	AcaoI: 111.73
Tempo: 6.8s	Setpoint: 137 RPM		Vel.: 135 RPM	erro: 1.60 RPM		Controle: 111.63	AcaoP: 0.96	AcaoI: 112.52
Tempo: 6.9s	Setpoint: 138 RPM		Vel.: 134 RPM	erro: 4.35 RPM		Controle: 113.48	AcaoP: 2.61	AcaoI: 114.70
Tempo: 7.0s	Setpoint: 137 RPM		Vel.: 134 RPM	erro: 3.35 RPM		Controle: 117.31	AcaoP: 2.01	AcaoI: 116.38
Tempo: 7.1s	Setpoint: 138 RPM		Vel.: 135 RPM	erro: 2.60 RPM		Controle: 118.39	AcaoP: 1.56	AcaoI: 117.68
Tempo: 7.2s	Setpoint: 137 RPM		Vel.: 135 RPM	erro: 1.60 RPM		Controle: 119.23	AcaoP: 0.96	AcaoI: 118.47
Tempo: 7.3s	Setpoint: 138 RPM		Vel.: 137 RPM	erro: 0.84 RPM		Controle: 119.43	AcaoP: 0.50	AcaoI: 118.89
Tempo: 7.4s	Setpoint: 137 RPM		Vel.: 137 RPM	erro: -0.16 RPM		Controle: 119.39	AcaoP: -0.10	AcaoI: 118.81
Tempo: 7.6s	Setpoint: 138 RPM		Vel.: 141 RPM	erro: -2.68 RPM		Controle: 118.71	AcaoP: -1.61	AcaoI: 117.47
Tempo: 7.7s	Setpoint: 137 RPM		Vel.: 141 RPM	erro: -3.68 RPM		Controle: 115.86	AcaoP: -2.21	AcaoI: 115.63
Tempo: 7.8s	Setpoint: 137 RPM		Vel.: 141 RPM	erro: -3.68 RPM		Controle: 113.42	AcaoP: -2.21	AcaoI: 113.79
Tempo: 7.9s	Setpoint: 137 RPM		Vel.: 141 RPM	erro: -3.68 RPM		Controle: 111.58	AcaoP: -2.21	AcaoI: 111.95
Tempo: 8.0s	Setpoint: 137 RPM		Vel.: 139 RPM	erro: -1.92 RPM		Controle: 109.74	AcaoP: -1.15	AcaoI: 110.99
Tempo: 8.1s	Setpoint: 138 RPM		Vel.: 135 RPM	erro: 2.60 RPM		Controle: 109.84	AcaoP: 1.56	AcaoI: 112.29
Tempo: 8.2s	Setpoint: 137 RPM		Vel.: 134 RPM	erro: 3.35 RPM		Controle: 113.84	AcaoP: 2.01	AcaoI: 113.96
Tempo: 8.3s	Setpoint: 138 RPM		Vel.: 134 RPM	erro: 4.35 RPM		Controle: 115.98	AcaoP: 2.61	AcaoI: 116.14
Tempo: 8.4s	Setpoint: 138 RPM		Vel.: 134 RPM	erro: 4.35 RPM		Controle: 118.75	AcaoP: 2.61	AcaoI: 118.32
Tempo: 8.5s	Setpoint: 138 RPM		Vel.: 135 RPM	erro: 2.60 RPM		Controle: 120.93	AcaoP: 1.56	AcaoI: 119.62
Tempo: 8.7s	Setpoint: 137 RPM		Vel.: 135 RPM	erro: 1.60 RPM		Controle: 121.17	AcaoP: 0.96	AcaoI: 120.41
Tempo: 8.8s	Setpoint: 138 RPM		Vel.: 137 RPM	erro: 0.84 RPM		Controle: 121.37	AcaoP: 0.50	AcaoI: 120.83
Tempo: 8.9s	Setpoint: 137 RPM		Vel.: 139 RPM	erro: -1.92 RPM		Controle: 121.33	AcaoP: -1.15	AcaoI: 119.87
Tempo: 9.0s	Setpoint: 137 RPM		Vel.: 142 RPM	erro: -5.44 RPM		Controle: 118.72	AcaoP: -3.26	AcaoI: 117.15
Tempo: 9.1s	Setpoint: 133 RPM		Vel.: 141 RPM	erro: -7.68 RPM		Controle: 113.89	AcaoP: -4.61	AcaoI: 113.31
Tempo: 9.2s	Setpoint: 127 RPM		Vel.: 139 RPM	erro: -11.92 RPM		Controle: 108.70	AcaoP: -7.15	AcaoI: 107.35
Tempo: 9.3s	Setpoint: 122 RPM		Vel.: 139 RPM	erro: -16.92 RPM		Controle: 100.20	AcaoP: -10.15	AcaoI: 98.89
Tempo: 9.4s	Setpoint: 117 RPM		Vel.: 135 RPM	erro: -18.40 RPM		Controle: 88.74	AcaoP: -11.04	AcaoI: 89.69
Tempo: 9.5s	Setpoint: 112 RPM		Vel.: 128 RPM	erro: -16.37 RPM		Controle: 78.65	AcaoP: -9.82	AcaoI: 81.50
Tempo: 9.7s	Setpoint: 104 RPM		Vel.: 120 RPM	erro: -15.58 RPM		Controle: 71.68	AcaoP: -9.35	AcaoI: 73.71
Tempo: 9.8s	Setpoint: 96 RPM		Vel.: 111 RPM	erro: -14.79 RPM		Controle: 64.37	AcaoP: -8.87	AcaoI: 66.32
Tempo: 9.9s	Setpoint: 88 RPM		Vel.: 104 RPM	erro: -15.75 RPM		Controle: 57.45	AcaoP: -9.45	AcaoI: 58.45
Tempo: 10.0s	Setpoint: 81 RPM		Vel.: 93 RPM	erro: -12.20 RPM		Controle: 49.00	AcaoP: -7.32	AcaoI: 52.35
Tempo: 10.1s	Setpoint: 75 RPM		Vel.: 83 RPM	erro: -7.65 RPM		Controle: 45.03	AcaoP: -4.59	AcaoI: 48.52
Tempo: 10.2s	Setpoint: 71 RPM		Vel.: 70 RPM	erro: 0.66 RPM		Controle: 43.93	AcaoP: 0.40	AcaoI: 48.85
Tempo: 10.3s	Setpoint: 69 RPM		Vel.: 60 RPM	erro: 9.21 RPM		Controle: 49.25	AcaoP: 5.53	AcaoI: 53.46
Tempo: 10.4s	Setpoint: 68 RPM		Vel.: 56 RPM	erro: 11.73 RPM		Controle: 58.98	AcaoP: 7.04	AcaoI: 59.32
Tempo: 10.5s	Setpoint: 65 RPM		Vel.: 56 RPM	erro: 8.73 RPM		Controle: 66.36	AcaoP: 5.24	AcaoI: 63.68
Tempo: 10.6s	Setpoint: 65 RPM		Vel.: 62 RPM	erro: 3.45 RPM		Controle: 68.92	AcaoP: 2.07	AcaoI: 65.41
Tempo: 10.7s	Setpoint: 65 RPM		Vel.: 69 RPM	erro: -3.58 RPM		Controle: 67.48	AcaoP: -2.15	AcaoI: 63.62
Tempo: 10.8s	Setpoint: 65 RPM		Vel.: 74 RPM	erro: -8.86 RPM		Controle: 61.47	AcaoP: -5.31	AcaoI: 59.19
Tempo: 11.0s	Setpoint: 64 RPM		Vel.: 77 RPM	erro: -13.37 RPM		Controle: 53.88	AcaoP: -8.02	AcaoI: 52.50
Tempo: 11.1s	Setpoint: 64 RPM		Vel.: 74 RPM	erro: -9.86 RPM		Controle: 44.48	AcaoP: -5.91	AcaoI: 47.58
Tempo: 11.2s	Setpoint: 65 RPM		Vel.: 65 RPM	erro: -0.06 RPM		Controle: 41.66	AcaoP: -0.04	AcaoI: 47.54
Tempo: 11.3s	Setpoint: 64 RPM		Vel.: 56 RPM	erro: 7.73 RPM		Controle: 47.51	AcaoP: 4.64	AcaoI: 51.41
Tempo: 11.4s	Setpoint: 65 RPM		Vel.: 51 RPM	erro: 14.00 RPM		Controle: 56.04	AcaoP: 8.40	AcaoI: 58.41
Tempo: 11.5s	Setpoint: 64 RPM		Vel.: 51 RPM	erro: 13.00 RPM		Controle: 66.81	AcaoP: 7.80	AcaoI: 64.91
Tempo: 11.6s	Setpoint: 64 RPM		Vel.: 58 RPM	erro: 5.97 RPM		Controle: 72.71	AcaoP: 3.58	AcaoI: 67.90
Tempo: 11.7s	Setpoint: 64 RPM		Vel.: 67 RPM	erro: -2.82 RPM		Controle: 71.48	AcaoP: -1.69	AcaoI: 66.48
