13.8,160,162,-1.78,146.01,-0.18,145.12
13.9,160,160,-0.02,144.94,-0.00,145.11
14.1,160,160,-0.02,145.10,-0.00,145.09
14.2,160,160,-0.02,145.09,-0.00,145.08
14.3,160,160,-0.02,145.08,-0.00,145.07
14.4,160,160,-0.02,145.07,-0.00,145.06
14.5,160,158,1.74,145.06,0.17,145.93
14.6,160,157,3.49,146.10,0.35,147.67
14.7,160,157,3.49,148.02,0.35,149.42
14.8,160,158,1.74,149.77,0.17,150.29
14.9,160,158,1.74,150.46,0.17,151.15
15.1,160,158,1.74,151.33,0.17,152.02
15.2,160,160,-0.02,152.20,-0.00,152.01
15.3,160,164,-3.54,152.01,-0.35,150.24
15.4,160,164,-3.54,149.89,-0.35,148.47
15.5,160,162,-1.78,148.12,-0.18,147.58
15.6,159,164,-4.54,147.40,-0.45,145.31
15.7,159,162,-2.78,144.85,-0.28,143.92
15.8,160,162,-1.78,143.64,-0.18,143.03
15.9,160,160,-0.02,142.85,-0.00,143.01
16.1,160,160,-0.02,143.01,-0.00,143.00
16.2,160,160,-0.02,143.00,-0.00,142.99
16.3,160,158,1.74,142.99,0.17,143.86
16.4,160,158,1.74,144.03,0.17,144.73
16.5,160,157,3.49,144.90,0.35,146.47
16.6,160,157,3.49,146.82,0.35,148.22
16.7,160,157,3.49,148.57,0.35,149.97
16.8,160,158,1.74,150.32,0.17,150.83
16.9,160,158,1.74,151.01,0.17,151.70
17.1,160,160,-0.02,151.88,-0.00,151.69
17.2,160,162,-1.78,151.69,-0.18,150.80
17.3,160,164,-3.54,150.62,-0.35,149.03
17.4,160,162,-1.78,148.67,-0.18,148.14
17.5,160,162,-1.78,147.96,-0.18,147.25
17.6,160,162,-1.78,147.07,-0.18,146.36
17.7,160,162,-1.78,146.18,-0.18,145.47
17.8,160,162,-1.78,145.29,-0.18,144.57
18.0,160,162,-1.78,144.40,-0.18,143.68
18.1,160,160,-0.02,143.50,-0.00,143.67
18.2,160,162,-1.78,143.67,-0.18,142.78
18.3,160,160,-0.02,142.60,-0.00,142.77
18.4,160,160,-0.02,142.77,-0.00,142.76
18.5,160,158,1.74,142.75,0.17,143.62
18.6,160,157,3.49,143.80,0.35,145.37
18.7,160,157,3.49,145.72,0.35,147.12
18.8,160,157,3.49,147.47,0.35,148.86
19.0,160,158,1.74,149.21,0.17,149.73
19.1,160,158,1.74,149.91,0.17,150.60
19.2,160,158,1.74,150.77,0.17,151.47
19.3,160,160,-0.02,151.64,-0.00,151.46
19.4,160,162,-1.78,151.45,-0.18,150.56
19.5,160,164,-3.54,150.39,-0.35,148.79
19.6,160,162,-1.78,148.44,-0.18,147.90
19.7,160,162,-1.78,147.73,-0.18,147.01
19.9,160,160,-0.02,146.83,-0.00,147.00
20.0,159,160,-1.02,147.00,-0.10,146.49
20.1,160,160,-0.02,146.39,-0.00,146.48
20.2,160,160,-0.02,146.48,-0.00,146.47
20.3,158,160,-2.02,146.46,-0.20,145.45
20.4,151,162,-10.78,145.25,-1.08,140.06
20.5,146,162,-15.78,138.98,-1.58,132.17
20.6,143,160,-17.02,130.59,-1.70,123.66
20.8,141,158,-17.26,121.96,-1.73,115.03
20.9,140,157,-16.51,113.30,-1.65,106.77
21.0,135,151,-16.23,105.12,-1.62,98.66
21.1,134,144,-10.20,97.04,-1.02,93.56
21.2,134,137,-3.16,92.54,-0.32,91.98
21.3,133,132,1.11,91.66,0.11,92.54
21.4,133,127,6.39,92.65,0.64,95.73
21.5,132,123,8.91,96.37,0.89,100.18
21.6,132,123,8.91,101.07,0.89,104.63
21.7,130,128,1.63,105.53,0.16,105.45
21.9,129,128,0.63,105.61,0.06,105.76
22.0,129,132,-2.89,105.83,-0.29,104.32
22.1,128,135,-7.40,104.03,-0.74,100.62
22.2,126,137,-11.16,99.88,-1.12,95.04
22.3,126,134,-7.65,93.92,-0.76,91.21
22.4,126,130,-4.13,90.45,-0.41,89.15
22.5,126,127,-0.61,88.74,-0.06,88.84
22.6,126,125,1.15,88.78,0.11,89.42
22.7,125,120,5.42,89.53,0.54,92.13
22.9,126,118,8.18,92.67,0.82,96.22
23.0,126,118,8.18,97.04,0.82,100.31
23.1,126,121,4.66,101.13,0.47,102.64
23.2,126,125,1.15,103.11,0.11,103.21
23.3,126,128,-2.37,103.33,-0.24,102.03
23.4,126,134,-7.65,101.79,-0.76,98.21
23.5,127,132,-4.89,97.44,-0.49,95.76
23.6,124,130,-6.13,95.27,-0.61,92.70
23.7,121,128,-7.37,92.08,-0.74,89.01
23.8,118,125,-6.85,88.27,-0.69,85.58
24.0,114,123,-9.09,84.90,-0.91,81.04
24.1,108,121,-13.34,80.13,-1.33,74.37
24.2,104,118,-13.82,73.04,-1.38,67.46
24.3,101,113,-11.54,66.08,-1.15,61.69
24.4,101,106,-4.51,60.53,-0.45,59.43
24.5,99,98,0.52,58.98,0.05,59.69
24.6,97,86,10.83,59.75,01.08,65.11
24.7,93,84,8.59,66.19,0.86,69.41
24.8,93,81,12.11,70.27,1.21,75.46
24.9,93,84,8.59,76.67,0.86,79.76
25.0,93,88,05.08,80.62,0.51,82.30
25.1,93,93,-0.20,82.80,-0.02,82.20
25.3,93,100,-7.23,82.18,-0.72,78.58
25.4,93,106,-12.51,77.85,-1.25,72.32
25.5,93,106,-12.51,71.07,-1.25,66.07
25.6,93,106,-12.51,64.82,-1.25,59.81
25.7,93,98,-5.48,58.56,-0.55,57.07
25.8,93,91,1.56,56.53,0.16,57.85
25.9,93,84,8.59,58.01,0.86,62.15
26.0,93,77,15.63,63.01,1.56,69.96
26.1,93,79,13.87,71.53,1.39,76.90
26.2,93,83,10.35,78.28,01.04,82.07
26.3,93,88,05.08,83.11,0.51,84.61
26.4,93,93,-0.20,85.12,-0.02,84.51
26.6,93,104,-10.75,84.49,-1.08,79.13
26.7,93,107,-14.27,78.06,-1.43,72.00
26.8,93,111,-17.79,70.57,-1.78,63.11
26.9,93,106,-12.51,61.33,-1.25,56.85
27.0,93,100,-7.23,55.60,-0.72,53.23
27.1,93,90,3.32,52.51,0.33,54.89
27.2,93,79,13.87,55.22,1.39,61.83
27.3,93,76,17.38,63.21,1.74,70.52
27.4,93,76,17.38,72.26,1.74,79.21
27.5,93,79,13.87,80.95,1.39,86.14
27.6,93,86,6.83,87.53,0.68,89.56
27.7,93,95,-1.96,90.24,-0.20,88.58
27.9,93,106,-12.51,88.39,-1.25,82.33
28.0,93,111,-17.79,81.08,-1.78,73.43
28.1,95,113,-17.54,71.66,-1.75,64.66
28.2,93,109,-16.03,62.91,-1.60,56.65
28.3,93,100,-7.23,55.05,-0.72,53.03
28.4,93,93,-0.20,52.31,-0.02,52.93
28.5,93,83,10.35,52.91,01.04,58.11
28.6,93,76,17.38,59.14,1.74,66.80
28.7,93,70,22.66,68.54,2.27,78.13
28.8,93,76,17.38,80.39,1.74,86.82
28.9,93,83,10.35,88.56,01.04,92.00
29.0,93,95,-1.96,93.03,-0.20,91.02
29.2,92,106,-13.51,90.82,-1.35,84.26
29.3,93,113,-19.54,82.91,-1.95,74.49
29.4,93,114,-21.30,72.54,-2.13,63.84
29.5,93,113,-19.54,61.71,-1.95,54.07
29.6,92,102,-9.99,52.11,-1.00,49.07
29.7,93,93,-0.20,48.07,-0.02,48.97
29.8,93,81,12.11,48.95,1.21,55.02
29.9,93,72,20.90,56.24,02.09,65.48
30.0,93,67,26.18,67.57,2.62,78.56
30.1,93,70,22.66,81.18,2.27,89.89
30.2,93,81,12.11,92.16,1.21,95.95
30.3,93,95,-1.96,97.16,-0.20,94.97
30.5,93,107,-14.27,94.77,-1.43,87.83
30.6,93,116,-23.06,86.41,-2.31,76.30
30.7,93,118,-24.82,74.00,-2.48,63.89
30.8,93,113,-19.54,61.41,-1.95,54.12
30.9,93,107,-14.27,52.17,-1.43,46.99
31.0,93,93,-0.20,45.56,-0.02,46.89
31.1,93,83,10.35,46.87,01.04,52.06
31.2,93,70,22.66,53.10,2.27,63.39
31.3,93,65,27.94,65.66,2.79,77.36
31.4,93,67,26.18,80.15,2.62,90.45
31.5,92,79,12.87,93.07,1.29,96.88
31.6,93,91,1.56,98.17,0.16,97.66
31.8,93,106,-12.51,97.82,-1.25,91.41
31.9,93,116,-23.06,90.16,-2.31,79.88
32.0,93,121,-28.34,77.57,-2.83,65.71
32.1,93,116,-23.06,62.88,-2.31,54.18
32.2,93,109,-16.03,51.87,-1.60,46.16
32.3,93,97,-3.72,44.56,-0.37,44.31
32.4,92,81,11.11,43.93,1.11,49.86
32.5,93,70,22.66,50.97,2.27,61.19
32.6,93,62,31.45,63.46,3.15,76.92
32.7,93,65,27.94,80.06,2.79,90.88
32.8,93,74,19.14,93.68,1.91,100.46
33.0,93,93,-0.20,102.37,-0.02,100.36
33.1,93,109,-16.03,100.34,-1.60,92.34
33.2,93,120,-26.58,90.74,-2.66,79.05
