Tempo: 6.6s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.7s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.8s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 6.9s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.1s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.2s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 7.3s	Setpoint: -160 RPM		Vel.: -88 RPM	erro: -72.08 RPM		Controle: -60.49	AcaoP: -57.66	AcaoI: 0.00	 AcaoD: 0.03
Tempo: 7.4s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -57.63	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 7.6s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.08	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 7.7s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 7.8s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -60.49	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 7.9s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.05	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 8.1s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -60.49	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 8.2s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.05	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.3s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 8.5s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -60.49	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 8.6s	Setpoint: -160 RPM		Vel.: -83 RPM	erro: -77.35 RPM		Controle: -60.47	AcaoP: -61.88	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 8.7s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -61.89	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.03
Tempo: 8.8s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.04	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.0s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.1s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.2s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.3s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.5s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 9.6s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 9.7s	Setpoint: -160 RPM		Vel.: -88 RPM	erro: -72.08 RPM		Controle: -60.49	AcaoP: -57.66	AcaoI: 0.00	 AcaoD: 0.03
Tempo: 9.8s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -57.63	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 10.0s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.08	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 10.1s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
