Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoD
7.8,158,81,77.11,62.50,61.69,-0.01
7.9,159,83,76.35,61.68,61.08,-0.01
8.1,158,84,73.59,61.07,58.87,-0.03
8.2,158,86,71.83,58.85,57.47,-0.02
8.3,158,83,75.35,57.45,60.28,0.03
8.4,159,79,79.87,60.31,63.89,0.04
8.6,159,79,79.87,63.94,63.89,0.00
8.7,158,83,75.35,63.89,60.28,-0.04
8.8,159,84,74.59,60.24,59.67,-0.01
8.9,158,86,71.83,59.67,57.47,-0.03
9.0,158,84,73.59,57.44,58.87,0.02
9.2,158,81,77.11,58.89,61.69,0.03
9.3,158,81,77.11,61.72,61.69,0.00
9.4,158,81,77.11,61.69,61.69,0.00
9.5,158,83,75.35,61.69,60.28,-0.02
9.6,158,84,73.59,60.26,58.87,-0.02
9.8,160,84,75.59,58.86,60.47,0.02
9.9,158,83,75.35,60.49,60.28,-0.00
10.0,158,83,75.35,60.28,60.28,0.00
10.1,158,83,75.35,60.28,60.28,0.00
10.3,159,83,76.35,60.28,61.08,0.01
10.4,158,84,73.59,61.09,58.87,-0.03
10.5,159,84,74.59,58.85,59.67,0.01
10.6,158,83,75.35,59.68,60.28,0.01
10.7,158,83,75.35,60.29,60.28,0.00
10.9,158,83,75.35,60.28,60.28,0.00
11.0,158,83,75.35,60.28,60.28,0.00
11.1,158,84,73.59,60.28,58.87,-0.02
11.2,158,83,75.35,58.86,60.28,0.02
11.3,159,84,74.59,60.30,59.67,-0.01
11.5,159,83,76.35,59.67,61.08,0.02
11.6,158,81,77.11,61.10,61.69,0.01
11.7,158,83,75.35,61.69,60.28,-0.02
11.8,158,83,75.35,60.26,60.28,0.00
12.0,158,83,75.35,60.28,60.28,0.00
12.1,158,81,77.11,60.28,61.69,0.02
12.2,158,83,75.35,61.70,60.28,-0.02
12.3,158,84,73.59,60.26,58.87,-0.02
12.4,158,83,75.35,58.86,60.28,0.02
12.6,158,83,75.35,60.30,60.28,0.00
12.7,159,81,78.11,60.28,62.49,0.03
12.8,158,83,75.35,62.51,60.28,-0.03
12.9,159,84,74.59,60.25,59.67,-0.01
13.1,159,86,72.83,59.67,58.27,-0.02
13.2,158,83,75.35,58.25,60.28,0.02
13.3,158,83,75.35,60.31,60.28,0.00
13.4,158,83,75.35,60.28,60.28,0.00
13.5,158,83,75.35,60.28,60.28,0.00
13.7,158,83,75.35,60.28,60.28,0.00
13.8,158,84,73.59,60.28,58.87,-0.02
13.9,158,84,73.59,58.86,58.87,0.00
14.0,158,83,75.35,58.87,60.28,0.02
14.2,159,81,78.11,60.30,62.49,0.03
14.3,158,81,77.11,62.51,61.69,-0.01
14.4,158,84,73.59,61.68,58.87,-0.03
14.5,158,84,73.59,58.84,58.87,0.00
14.6,158,83,75.35,58.87,60.28,0.02
14.8,158,83,75.35,60.30,60.28,0.00
14.9,158,83,75.35,60.28,60.28,0.00
15.0,158,83,75.35,60.28,60.28,0.00
15.1,159,83,76.35,60.28,61.08,0.01
15.3,158,84,73.59,61.09,58.87,-0.03
15.4,159,84,74.59,58.85,59.67,0.01
15.5,158,83,75.35,59.68,60.28,0.01
15.6,158,83,75.35,60.29,60.28,0.00
15.7,158,83,75.35,60.28,60.28,0.00
15.9,158,84,73.59,60.28,58.87,-0.02
16.0,158,84,73.59,58.86,58.87,0.00
16.1,158,83,75.35,58.87,60.28,0.02
16.2,159,81,78.11,60.30,62.49,0.03
16.3,158,83,75.35,62.51,60.28,-0.03
16.5,158,83,75.35,60.25,60.28,0.00
16.6,158,84,73.59,60.28,58.87,-0.02
16.7,158,86,71.83,58.86,57.47,-0.02
16.8,158,84,73.59,57.45,58.87,0.02
17.0,158,81,77.11,58.89,61.69,0.03
17.1,160,81,79.11,61.72,63.29,0.02
17.2,158,83,75.35,63.31,60.28,-0.04
17.3,158,84,73.59,60.24,58.87,-0.02
17.4,159,86,72.83,58.86,58.27,-0.01
17.6,159,86,72.83,58.26,58.27,0.00
17.7,158,83,75.35,58.27,60.28,0.02
17.8,158,83,75.35,60.31,60.28,0.00
17.9,159,83,76.35,60.28,61.08,0.01
18.1,158,84,73.59,61.09,58.87,-0.03
18.2,158,84,73.59,58.85,58.87,0.00
18.3,158,84,73.59,58.87,58.87,0.00
18.4,158,83,75.35,58.87,60.28,0.02
18.5,158,83,75.35,60.30,60.28,0.00
18.7,158,83,75.35,60.28,60.28,0.00
18.8,159,83,76.35,60.28,61.08,0.01
18.9,158,83,75.35,61.09,60.28,-0.01
19.0,159,84,74.59,60.27,59.67,-0.01
19.2,159,84,74.59,59.67,59.67,0.00
19.3,158,84,73.59,59.67,58.87,-0.01
19.4,158,83,75.35,58.86,60.28,0.02
19.5,158,81,77.11,60.30,61.69,0.02
19.6,158,81,77.11,61.70,61.69,0.00
19.8,158,83,75.35,61.69,60.28,-0.02
19.9,159,84,74.59,60.26,59.67,-0.01
20.0,159,84,74.59,59.67,59.67,0.00
20.1,158,83,75.35,59.67,60.28,0.01
20.3,158,83,75.35,60.29,60.28,0.00
20.4,159,81,78.11,60.28,62.49,0.03
20.5,158,79,78.87,62.51,63.09,0.01
20.6,158,81,77.11,63.10,61.69,-0.02
20.7,158,83,75.35,61.67,60.28,-0.02
20.9,158,84,73.59,60.26,58.87,-0.02
21.0,158,84,73.59,58.86,58.87,0.00
21.1,158,83,75.35,58.87,60.28,0.02
21.2,159,83,76.35,60.30,61.08,0.01
21.4,158,81,77.11,61.09,61.69,0.01
21.5,158,83,75.35,61.69,60.28,-0.02
21.6,158,84,73.59,60.26,58.87,-0.02
21.7,158,84,73.59,58.86,58.87,0.00
21.8,158,83,75.35,58.87,60.28,0.02
22.0,160,81,79.11,60.30,63.29,0.04
22.1,158,81,77.11,63.32,61.69,-0.02
22.2,158,84,73.59,61.67,58.87,-0.03
22.3,160,86,73.83,58.84,59.07,0.00
22.5,158,83,75.35,59.07,60.28,0.01
22.6,158,83,75.35,60.30,60.28,0.00
22.7,159,83,76.35,60.28,61.08,0.01
22.8,158,81,77.11,61.09,61.69,0.01
22.9,158,83,75.35,61.69,60.28,-0.02
23.1,158,84,73.59,60.26,58.87,-0.02
23.2,158,84,73.59,58.86,58.87,0.00
23.3,158,81,77.11,58.87,61.69,0.03
23.4,158,81,77.11,61.72,61.69,0.00
23.5,158,81,77.11,61.69,61.69,0.00
23.7,159,81,78.11,61.69,62.49,0.01
23.8,158,83,75.35,62.50,60.28,-0.03
23.9,159,84,74.59,60.25,59.67,-0.01
24.0,159,84,74.59,59.67,59.67,0.00
24.2,158,83,75.35,59.67,60.28,0.01
24.3,158,83,75.35,60.29,60.28,0.00
24.4,160,81,79.11,60.28,63.29,0.04
24.5,158,81,77.11,63.32,61.69,-0.02
24.6,158,84,73.59,61.67,58.87,-0.03
24.8,159,84,74.59,58.84,59.67,0.01
24.9,158,83,75.35,59.68,60.28,0.01
25.0,158,81,77.11,60.29,61.69,0.02
25.1,159,81,78.11,61.70,62.49,0.01
25.3,158,81,77.11,62.50,61.69,-0.01
25.4,158,84,73.59,61.68,58.87,-0.03
25.5,158,84,73.59,58.84,58.87,0.00
25.6,158,83,75.35,58.87,60.28,0.02
25.7,158,83,75.35,60.30,60.28,0.00
25.9,158,81,77.11,60.28,61.69,0.02
26.0,158,81,77.11,61.70,61.69,0.00
26.1,159,83,76.35,61.69,61.08,-0.01
26.2,158,83,75.35,61.07,60.28,-0.01
26.4,158,84,73.59,60.27,58.87,-0.02
26.5,158,84,73.59,58.86,58.87,0.00
26.6,158,83,75.35,58.87,60.28,0.02
26.7,159,83,76.35,60.30,61.08,0.01
26.8,158,81,77.11,61.09,61.69,0.01
27.0,158,83,75.35,61.69,60.28,-0.02
27.1,158,84,73.59,60.26,58.87,-0.02
27.2,158,86,71.83,58.86,57.47,-0.02
27.3,158,84,73.59,57.45,58.87,0.02
27.5,158,81,77.11,58.89,61.69,0.03
27.6,159,81,78.11,61.72,62.49,0.01
27.7,158,81,77.11,62.50,61.69,-0.01
27.8,158,84,73.59,61.68,58.87,-0.03
27.9,158,84,73.59,58.84,58.87,0.00
28.1,158,83,75.35,58.87,60.28,0.02
28.2,158,83,75.35,60.30,60.28,0.00
28.3,158,81,77.11,60.28,61.69,0.02
28.4,158,83,75.35,61.70,60.28,-0.02
28.6,158,84,73.59,60.26,58.87,-0.02
28.7,158,84,73.59,58.86,58.87,0.00
28.8,158,83,75.35,58.87,60.28,0.02
28.9,159,83,76.35,60.30,61.08,0.01
29.0,158,81,77.11,61.09,61.69,0.01
29.2,158,83,75.35,61.69,60.28,-0.02
29.3,158,83,75.35,60.26,60.28,0.00
29.4,158,83,75.35,60.28,60.28,0.00
29.5,158,84,73.59,60.28,58.87,-0.02
29.7,160,83,77.35,58.86,61.88,0.04
29.8,153,83,70.35,61.92,56.28,-0.07
29.9,147,84,62.59,56.21,50.07,-0.08
30.0,143,83,60.35,50.00,48.28,-0.02
30.1,139,77,61.63,48.26,49.30,0.01
30.3,136,70,65.66,49.31,52.53,0.04
30.4,135,65,69.94,52.57,55.95,0.04
30.5,134,63,70.69,55.99,56.56,0.01
30.6,131,65,65.94,56.56,52.75,-0.05
30.8,129,67,62.18,52.70,49.74,-0.04
30.9,130,69,61.42,49.70,49.13,-0.01
31.0,127,65,61.94,49.13,49.55,0.01
31.1,126,63,62.69,49.55,50.16,0.01
31.2,125,60,65.21,50.16,52.17,0.02
31.4,124,60,64.21,52.19,51.37,-0.01
31.5,122,60,62.21,51.36,49.77,-0.02
31.6,121,60,61.21,49.75,48.97,-0.01
31.7,120,60,60.21,48.96,48.17,-0.01
31.9,120,56,63.73,48.16,50.98,0.03
32.0,119,55,64.49,51.02,51.59,0.01
32.1,120,55,65.49,51.60,52.39,0.01
32.2,120,56,63.73,52.40,50.98,-0.02
32.3,120,58,61.97,50.97,49.58,-0.02
32.5,122,56,65.73,49.56,52.58,0.04
32.6,120,58,61.97,52.62,49.58,-0.04
32.7,120,56,63.73,49.54,50.98,0.02
32.8,120,58,61.97,51.00,49.58,-0.02
33.0,120,56,63.73,49.56,50.98,0.02
33.1,120,56,63.73,51.00,50.98,0.00
33.2,120,56,63.73,50.98,50.98,0.00
33.3,120,56,63.73,50.98,50.98,0.00
33.4,120,55,65.49,50.98,52.39,0.02
33.6,120,56,63.73,52.41,50.98,-0.02
33.7,121,58,62.97,50.97,50.38,-0.01
33.8,120,58,61.97,50.37,49.58,-0.01
33.9,120,58,61.97,49.57,49.58,0.00
34.1,121,58,62.97,49.58,50.38,0.01
34.2,120,56,63.73,50.39,50.98,0.01
34.3,120,56,63.73,50.99,50.98,0.00
34.4,120,56,63.73,50.98,50.98,0.00
34.5,120,56,63.73,50.98,50.98,0.00
34.7,120,58,61.97,50.98,49.58,-0.02
34.8,120,56,63.73,49.56,50.98,0.02
34.9,122,58,63.97,51.00,51.18,0.00
35.0,120,56,63.73,51.18,50.98,-0.00
35.1,120,56,63.73,50.98,50.98,0.00
35.3,119,58,60.97,50.98,48.78,-0.03
35.4,120,58,61.97,48.75,49.58,0.01
35.5,120,56,63.73,49.59,50.98,0.02
35.6,120,56,63.73,51.00,50.98,0.00
35.8,119,55,64.49,50.98,51.59,0.01
35.9,120,56,63.73,51.60,50.98,-0.01
36.0,119,56,62.73,50.97,50.18,-0.01
36.1,119,58,60.97,50.17,48.78,-0.02
36.2,120,58,61.97,48.76,49.58,0.01
36.4,120,56,63.73,49.59,50.98,0.02
36.5,121,55,66.49,51.00,53.19,0.03
36.6,120,56,63.73,53.22,50.98,-0.03
36.7,120,58,61.97,50.96,49.58,-0.02
36.9,120,60,60.21,49.56,48.17,-0.02
37.0,120,60,60.21,48.15,48.17,0.00
37.1,120,56,63.73,48.17,50.98,0.03
37.2,120,55,65.49,51.02,52.39,0.02
37.3,122,56,65.73,52.41,52.58,0.00
37.5,120,58,61.97,52.58,49.58,-0.04
37.6,120,60,60.21,49.54,48.17,-0.02
37.7,122,60,62.21,48.15,49.77,0.02
37.8,120,56,63.73,49.79,50.98,0.01
38.0,120,56,63.73,51.00,50.98,0.00
38.1,120,55,65.49,50.98,52.39,0.02
38.2,120,56,63.73,52.41,50.98,-0.02
38.3,119,56,62.73,50.97,50.18,-0.01
38.4,120,58,61.97,50.17,49.58,-0.01
38.6,120,58,61.97,49.57,49.58,0.00
38.7,120,58,61.97,49.58,49.58,0.00
38.8,120,56,63.73,49.58,50.98,0.02
38.9,121,56,64.73,51.00,51.78,0.01
39.1,120,56,63.73,51.79,50.98,-0.01
39.2,120,56,63.73,50.97,50.98,0.00
39.3,120,58,61.97,50.98,49.58,-0.02
39.4,119,58,60.97,49.56,48.78,-0.01
39.5,120,58,61.97,48.77,49.58,0.01
39.7,119,55,64.49,49.59,51.59,0.02
39.8,120,55,65.49,51.61,52.39,0.01
39.9,119,55,64.49,52.40,51.59,-0.01
40.0,120,56,63.73,51.58,50.98,-0.01
40.2,122,58,63.97,50.97,51.18,0.00
40.3,120,58,61.97,51.18,49.58,-0.02
40.4,120,58,61.97,49.56,49.58,0.00
40.5,120,58,61.97,49.58,49.58,0.00
40.6,120,56,63.73,49.58,50.98,0.02
40.8,120,55,65.49,51.00,52.39,0.02
40.9,120,55,65.49,52.41,52.39,0.00
41.0,120,58,61.97,52.39,49.58,-0.03
41.1,120,58,61.97,49.54,49.58,0.00
41.3,120,58,61.97,49.58,49.58,0.00
41.4,120,56,63.73,49.58,50.98,0.02
41.5,120,56,63.73,51.00,50.98,0.00
41.6,120,55,65.49,50.98,52.39,0.02
41.7,120,56,63.73,52.41,50.98,-0.02
41.9,120,56,63.73,50.97,50.98,0.00
42.0,120,58,61.97,50.98,49.58,-0.02
42.1,120,58,61.97,49.56,49.58,0.00
42.2,120,58,61.97,49.58,49.58,0.00
42.3,120,56,63.73,49.58,50.98,0.02
42.5,120,56,63.73,51.00,50.98,0.00
42.6,121,55,66.49,50.98,53.19,0.03
42.7,120,56,63.73,53.22,50.98,-0.03
42.8,120,58,61.97,50.96,49.58,-0.02
43.0,121,58,62.97,49.56,50.38,0.01
43.1,120,58,61.97,50.39,49.58,-0.01
43.2,120,56,63.73,49.57,50.98,0.02
43.3,120,58,61.97,51.00,49.58,-0.02
43.4,119,56,62.73,49.56,50.18,0.01
43.6,120,56,63.73,50.19,50.98,0.01
43.7,120,56,63.73,50.99,50.98,0.00
43.8,119,58,60.97,50.98,48.78,-0.03
43.9,120,58,61.97,48.75,49.58,0.01
44.1,120,56,63.73,49.59,50.98,0.02
44.2,121,56,64.73,51.00,51.78,0.01
44.3,119,55,64.49,51.79,51.59,-0.00
44.4,120,58,61.97,51.59,49.58,-0.02
44.5,120,58,61.97,49.55,49.58,0.00
44.7,120,58,61.97,49.58,49.58,0.00
44.8,120,56,63.73,49.58,50.98,0.02
44.9,120,55,65.49,51.00,52.39,0.02
45.0,119,56,62.73,52.41,50.18,-0.03
45.2,120,58,61.97,50.16,49.58,-0.01
45.3,120,58,61.97,49.57,49.58,0.00
45.4,120,58,61.97,49.58,49.58,0.00
45.5,120,56,63.73,49.58,50.98,0.02
45.6,120,56,63.73,51.00,50.98,0.00
45.8,120,55,65.49,50.98,52.39,0.02
45.9,120,56,63.73,52.41,50.98,-0.02
46.0,120,58,61.97,50.97,49.58,-0.02
46.1,120,58,61.97,49.56,49.58,0.00
46.3,122,58,63.97,49.58,51.18,0.02
46.4,120,56,63.73,51.20,50.98,-0.00
46.5,120,56,63.73,50.98,50.98,0.00
46.6,120,58,61.97,50.98,49.58,-0.02
46.7,120,58,61.97,49.56,49.58,0.00
46.9,120,56,63.73,49.58,50.98,0.02
47.0,120,56,63.73,51.00,50.98,0.00
47.1,120,56,63.73,50.98,50.98,0.00
47.2,120,56,63.73,50.98,50.98,0.00
47.4,120,56,63.73,50.98,50.98,0.00
47.5,119,58,60.97,50.98,48.78,-0.03
47.6,120,58,61.97,48.75,49.58,0.01
47.7,120,56,63.73,49.59,50.98,0.02
47.8,121,56,64.73,51.00,51.78,0.01
48.0,120,56,63.73,51.79,50.98,-0.01
48.1,120,56,63.73,50.97,50.98,0.00
48.2,119,58,60.97,50.98,48.78,-0.03
48.3,120,58,61.97,48.75,49.58,0.01
48.5,120,56,63.73,49.59,50.98,0.02
48.6,120,56,63.73,51.00,50.98,0.00
48.7,119,55,64.49,50.98,51.59,0.01
48.8,120,56,63.73,51.60,50.98,-0.01
48.9,120,56,63.73,50.97,50.98,0.00
49.1,121,55,66.49,50.98,53.19,0.03
49.2,120,56,63.73,53.22,50.98,-0.03
49.3,120,58,61.97,50.96,49.58,-0.02
49.4,120,60,60.21,49.56,48.17,-0.02
49.5,120,58,61.97,48.15,49.58,0.02
49.7,120,56,63.73,49.59,50.98,0.02
49.8,119,55,64.49,51.00,51.59,0.01
49.9,122,56,65.73,51.60,52.58,0.01
50.0,120,56,63.73,52.59,50.98,-0.02
50.2,120,58,61.97,50.96,49.58,-0.02
50.3,121,58,62.97,49.56,50.38,0.01
50.4,120,58,61.97,50.39,49.58,-0.01
50.5,120,56,63.73,49.57,50.98,0.02
50.6,120,58,61.97,51.00,49.58,-0.02
50.8,119,56,62.73,49.56,50.18,0.01
50.9,120,56,63.73,50.19,50.98,0.01
51.0,120,56,63.73,50.99,50.98,0.00
51.1,119,56,62.73,50.98,50.18,-0.01
51.3,120,56,63.73,50.17,50.98,0.01
51.4,120,58,61.97,50.99,49.58,-0.02
51.5,119,56,62.73,49.56,50.18,0.01
51.6,120,58,61.97,50.19,49.58,-0.01
51.7,120,56,63.73,49.57,50.98,0.02
51.9,120,58,61.97,51.00,49.58,-0.02
52.0,120,56,63.73,49.56,50.98,0.02
52.1,120,56,63.73,51.00,50.98,0.00
52.2,120,58,61.97,50.98,49.58,-0.02
52.4,119,56,62.73,49.56,50.18,0.01
52.5,120,56,63.73,50.19,50.98,0.01
52.6,120,56,63.73,50.99,50.98,0.00
52.7,120,58,61.97,50.98,49.58,-0.02
52.8,120,56,63.73,49.56,50.98,0.02
53.0,120,56,63.73,51.00,50.98,0.00
53.1,120,56,63.73,50.98,50.98,0.00
53.2,120,58,61.97,50.98,49.58,-0.02
53.3,120,56,63.73,49.56,50.98,0.02
53.5,120,56,63.73,51.00,50.98,0.00
53.6,122,55,67.49,50.98,53.99,0.04
53.7,120,56,63.73,54.03,50.98,-0.04
53.8,120,58,61.97,50.95,49.58,-0.02
53.9,121,60,61.21,49.56,48.97,-0.01
54.1,120,56,63.73,48.96,50.98,0.02
54.2,120,56,63.73,51.01,50.98,0.00
54.3,119,55,64.49,50.98,51.59,0.01
54.4,120,56,63.73,51.60,50.98,-0.01
54.6,120,56,63.73,50.97,50.98,0.00
54.7,120,58,61.97,50.98,49.58,-0.02
54.8,120,56,63.73,49.56,50.98,0.02
54.9,120,58,61.97,51.00,49.58,-0.02
55.0,120,56,63.73,49.56,50.98,0.02
55.2,119,55,64.49,51.00,51.59,0.01
55.3,120,55,65.49,51.60,52.39,0.01
55.4,120,56,63.73,52.40,50.98,-0.02
55.5,121,56,64.73,50.97,51.78,0.01
55.7,120,56,63.73,51.79,50.98,-0.01
55.8,120,56,63.73,50.97,50.98,0.00
55.9,119,56,62.73,50.98,50.18,-0.01
56.0,120,56,63.73,50.17,50.98,0.01
56.1,120,55,65.49,50.99,52.39,0.02
56.3,120,55,65.49,52.41,52.39,0.00
56.4,119,56,62.73,52.39,50.18,-0.03
56.5,120,58,61.97,50.16,49.58,-0.01
56.6,120,60,60.21,49.57,48.17,-0.02
56.8,121,58,62.97,48.15,50.38,0.03
56.9,120,56,63.73,50.40,50.98,0.01
57.0,120,55,65.49,50.99,52.39,0.02
57.1,120,56,63.73,52.41,50.98,-0.02
57.2,120,56,63.73,50.97,50.98,0.00
57.4,120,58,61.97,50.98,49.58,-0.02
57.5,120,56,63.73,49.56,50.98,0.02
57.6,120,58,61.97,51.00,49.58,-0.02
57.7,120,56,63.73,49.56,50.98,0.02
57.8,120,56,63.73,51.00,50.98,0.00
58.0,121,56,64.73,50.98,51.78,0.01
58.1,120,56,63.73,51.79,50.98,-0.01
58.2,120,58,61.97,50.97,49.58,-0.02
58.3,120,58,61.97,49.56,49.58,0.00
58.5,120,56,63.73,49.58,50.98,0.02
58.6,120,56,63.73,51.00,50.98,0.00
58.7,120,56,63.73,50.98,50.98,0.00
58.8,120,58,61.97,50.98,49.58,-0.02
58.9,119,56,62.73,49.56,50.18,0.01
59.1,120,58,61.97,50.19,49.58,-0.01
59.2,119,56,62.73,49.57,50.18,0.01
59.3,120,56,63.73,50.19,50.98,0.01
59.4,120,56,63.73,50.99,50.98,0.00
59.6,120,58,61.97,50.98,49.58,-0.02
59.7,120,58,61.97,49.56,49.58,0.00
59.8,120,56,63.73,49.58,50.98,0.02
59.9,120,56,63.73,51.00,50.98,0.00
60.0,119,56,62.73,50.98,50.18,-0.01
60.2,120,58,61.97,50.17,49.58,-0.01
60.3,120,58,61.97,49.57,49.58,0.00
60.4,119,56,62.73,49.58,50.18,0.01
60.5,120,56,63.73,50.19,50.98,0.01
60.7,120,56,63.73,50.99,50.98,0.00
60.8,119,56,62.73,50.98,50.18,-0.01
60.9,120,58,61.97,50.17,49.58,-0.01
61.0,120,56,63.73,49.57,50.98,0.02
61.1,119,56,62.73,51.00,50.18,-0.01
61.3,120,58,61.97,50.17,49.58,-0.01
61.4,119,56,62.73,49.57,50.18,0.01
61.5,119,56,62.73,50.19,50.18,0.00
61.6,121,58,62.97,50.18,50.38,0.00
61.8,119,56,62.73,50.38,50.18,-0.00
61.9,120,58,61.97,50.18,49.58,-0.01
62.0,118,56,61.73,49.57,49.38,-0.00
62.1,80,58,21.97,49.38,17.58,-0.39
62.2,16,56,-40.27,17.19,-32.22,-0.61
62.4,-48,44,-91.96,-32.83,-73.57,-0.51
62.5,-97,9,-105.79,-74.08,-84.63,-0.14
62.6,-138,-16,-122.17,-84.77,-97.74,-0.16
62.7,-160,-49,-110.76,-97.90,-88.61,0.11
62.9,-160,-79,-80.87,-88.50,-64.69,0.29
63.0,-160,-97,-63.28,-64.40,-50.63,0.17
63.1,-160,-95,-65.04,-50.45,-52.03,-0.02
63.3,-160,-81,-79.11,-52.05,-63.29,-0.14
63.4,-160,-67,-93.18,-63.43,-74.54,-0.14
63.5,-160,-63,-96.69,-74.68,-77.36,-0.03
63.6,-160,-70,-89.66,-77.39,-71.73,0.07
63.8,-160,-83,-77.35,-71.66,-61.88,0.12
63.9,-160,-88,-72.08,-61.76,-57.66,0.05
64.0,-160,-84,-75.59,-57.61,-60.47,-0.03
64.2,-160,-77,-82.63,-60.51,-66.10,-0.07
64.3,-160,-74,-86.14,-66.17,-68.91,-0.03
64.4,-160,-74,-86.14,-68.95,-68.91,0.00
64.5,-160,-79,-80.87,-68.91,-64.69,0.05
64.7,-160,-81,-79.11,-64.64,-63.29,0.02
64.8,-160,-83,-77.35,-63.27,-61.88,0.02
64.9,-160,-81,-79.11,-61.86,-63.29,-0.02
65.0,-160,-79,-80.87,-63.30,-64.69,-0.02
65.2,-160,-79,-80.87,-64.71,-64.69,0.00
65.3,-160,-79,-80.87,-64.69,-64.69,0.00
65.4,-160,-81,-79.11,-64.69,-63.29,0.02
65.6,-160,-81,-79.11,-63.27,-63.29,0.00
65.7,-160,-81,-79.11,-63.29,-63.29,0.00
65.8,-160,-81,-79.11,-63.29,-63.29,0.00
65.9,-160,-81,-79.11,-63.29,-63.29,0.00
66.1,-160,-81,-79.11,-63.29,-63.29,0.00
66.2,-160,-79,-80.87,-63.29,-64.69,-0.02
66.3,-160,-83,-77.35,-64.71,-61.88,0.03
66.4,-160,-81,-79.11,-61.85,-63.29,-0.02
66.6,-160,-81,-79.11,-63.30,-63.29,0.00
66.7,-160,-81,-79.11,-63.29,-63.29,0.00
66.8,-160,-79,-80.87,-63.29,-64.69,-0.02
67.0,-160,-81,-79.11,-64.71,-63.29,0.02
67.1,-160,-81,-79.11,-63.27,-63.29,0.00
67.2,-160,-83,-77.35,-63.29,-61.88,0.02
67.3,-160,-81,-79.11,-61.86,-63.29,-0.02
67.5,-160,-83,-77.35,-63.30,-61.88,0.02
67.6,-160,-81,-79.11,-61.86,-63.29,-0.02
67.7,-160,-81,-79.11,-63.30,-63.29,0.00
67.8,-160,-83,-77.35,-63.29,-61.88,0.02
68.0,-160,-81,-79.11,-61.86,-63.29,-0.02
68.1,-160,-84,-75.59,-63.30,-60.47,0.03
68.2,-160,-83,-77.35,-60.44,-61.88,-0.02
68.4,-160,-83,-77.35,-61.90,-61.88,0.00
68.5,-160,-81,-79.11,-61.88,-63.29,-0.02
68.6,-160,-83,-77.35,-63.30,-61.88,0.02
68.7,-160,-83,-77.35,-61.86,-61.88,0.00
68.9,-160,-83,-77.35,-61.88,-61.88,0.00
69.0,-160,-81,-79.11,-61.88,-63.29,-0.02
69.1,-160,-83,-77.35,-63.30,-61.88,0.02
69.2,-160,-81,-79.11,-61.86,-63.29,-0.02
69.4,-160,-84,-75.59,-63.30,-60.47,0.03
69.5,-160,-81,-79.11,-60.44,-63.29,-0.03
69.6,-160,-84,-75.59,-63.32,-60.47,0.03
69.8,-160,-83,-77.35,-60.44,-61.88,-0.02
69.9,-160,-84,-75.59,-61.90,-60.47,0.02
70.0,-160,-83,-77.35,-60.46,-61.88,-0.02
70.1,-160,-83,-77.35,-61.90,-61.88,0.00
70.3,-160,-81,-79.11,-61.88,-63.29,-0.02
