Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoD
2.2,158,0,158.00,0.00,126.40,1.55
2.3,157,7,149.97,127.95,119.97,-0.08
2.4,160,62,98.45,119.89,78.76,-0.50
2.5,157,93,63.80,78.26,51.04,-0.34
2.6,158,120,38.42,50.70,30.74,-0.25
2.7,158,107,50.73,30.49,40.59,0.12
2.9,160,84,75.59,40.71,60.47,0.24
3.0,158,65,92.94,60.72,74.35,0.17
3.1,158,63,94.69,74.52,75.76,0.02
3.2,158,74,84.14,75.77,67.31,-0.10
3.3,160,88,72.08,67.21,57.66,-0.12
3.5,158,91,66.56,57.54,53.25,-0.05
3.6,158,90,68.32,53.19,54.65,0.02
3.7,158,83,75.35,54.67,60.28,0.07
3.8,158,77,80.63,60.35,64.50,0.05
4.0,158,76,82.38,64.55,65.91,0.02
4.1,159,77,81.63,65.92,65.30,-0.01
4.2,158,84,73.59,65.29,58.87,-0.08
4.3,158,86,71.83,58.79,57.47,-0.02
4.4,158,86,71.83,57.45,57.47,0.00
4.6,160,84,75.59,57.47,60.47,0.04
4.7,159,79,79.87,60.51,63.89,0.04
4.8,158,81,77.11,63.94,61.69,-0.03
4.9,159,83,76.35,61.66,61.08,-0.01
5.0,158,84,73.59,61.07,58.87,-0.03
5.2,158,84,73.59,58.85,58.87,0.00
5.3,158,83,75.35,58.87,60.28,0.02
5.4,158,81,77.11,60.30,61.69,0.02
5.5,158,81,77.11,61.70,61.69,0.00
5.7,158,83,75.35,61.69,60.28,-0.02
5.8,158,83,75.35,60.26,60.28,0.00
5.9,158,83,75.35,60.28,60.28,0.00
6.0,158,83,75.35,60.28,60.28,0.00
6.1,158,83,75.35,60.28,60.28,0.00
6.3,159,83,76.35,60.28,61.08,0.01
6.4,159,83,76.35,61.09,61.08,0.00
6.5,158,81,77.11,61.08,61.69,0.01
6.6,158,84,73.59,61.69,58.87,-0.03
6.7,159,84,74.59,58.84,59.67,0.01
6.9,159,83,76.35,59.68,61.08,0.02
7.0,158,81,77.11,61.10,61.69,0.01
7.1,158,83,75.35,61.69,60.28,-0.02
7.2,160,83,77.35,60.26,61.88,0.02
7.3,158,84,73.59,61.90,58.87,-0.04
7.5,158,84,73.59,58.84,58.87,0.00
7.6,159,83,76.35,58.87,61.08,0.03
7.7,159,81,78.11,61.11,62.49,0.02
