Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoD
7.9,157,65,91.94,54.71,55.16,0.01
8.1,157,67,90.18,55.17,54.11,-0.02
8.2,158,67,91.18,54.09,54.71,0.01
8.3,157,67,90.18,54.72,54.11,-0.01
8.4,159,67,92.18,54.10,55.31,0.02
8.5,158,67,91.18,55.33,54.71,-0.01
8.7,157,67,90.18,54.70,54.11,-0.01
8.8,157,69,88.42,54.10,53.05,-0.02
8.9,160,67,93.18,53.03,55.91,0.05
9.0,158,67,91.18,55.95,54.71,-0.02
9.2,158,69,89.42,54.69,53.65,-0.02
9.3,157,67,90.18,53.63,54.11,0.01
9.4,157,69,88.42,54.11,53.05,-0.02
9.5,157,67,90.18,53.03,54.11,0.02
9.6,157,67,90.18,54.12,54.11,0.00
9.8,157,67,90.18,54.11,54.11,0.00
9.9,157,67,90.18,54.11,54.11,0.00
10.0,158,67,91.18,54.11,54.71,0.01
10.1,157,67,90.18,54.72,54.11,-0.01
10.2,157,67,90.18,54.10,54.11,0.00
10.4,158,67,91.18,54.11,54.71,0.01
10.5,158,69,89.42,54.72,53.65,-0.02
10.6,160,67,93.18,53.63,55.91,0.04
10.7,158,69,89.42,55.94,53.65,-0.04
10.9,157,67,90.18,53.61,54.11,0.01
11.0,157,67,90.18,54.11,54.11,0.00
11.1,158,67,91.18,54.11,54.71,0.01
11.2,157,65,91.94,54.72,55.16,0.01
11.3,157,65,91.94,55.17,55.16,0.00
11.5,158,67,91.18,55.16,54.71,-0.01
11.6,157,67,90.18,54.70,54.11,-0.01
11.7,157,67,90.18,54.10,54.11,0.00
11.8,160,67,93.18,54.11,55.91,0.03
12.0,158,67,91.18,55.94,54.71,-0.02
12.1,158,67,91.18,54.69,54.71,0.00
12.2,157,65,91.94,54.71,55.16,0.01
12.3,158,67,91.18,55.17,54.71,-0.01
12.4,157,69,88.42,54.70,53.05,-0.03
12.6,157,69,88.42,53.02,53.05,0.00
12.7,158,67,91.18,53.05,54.71,0.03
12.8,157,67,90.18,54.73,54.11,-0.01
12.9,159,69,90.42,54.10,54.25,0.00
13.1,157,67,90.18,54.25,54.11,-0.00
13.2,157,69,88.42,54.10,53.05,-0.02
13.3,158,69,89.42,53.03,53.65,0.01
13.4,157,69,88.42,53.66,53.05,-0.01
13.5,157,67,90.18,53.04,54.11,0.02
13.7,157,69,88.42,54.12,53.05,-0.02
13.8,157,67,90.18,53.03,54.11,0.02
13.9,158,69,89.42,54.12,53.65,-0.01
14.0,157,67,90.18,53.64,54.11,0.01
14.2,159,67,92.18,54.11,55.31,0.02
14.3,157,69,88.42,55.33,53.05,-0.04
14.4,157,69,88.42,53.01,53.05,0.00
14.5,157,67,90.18,53.05,54.11,0.02
14.6,160,67,93.18,54.12,55.91,0.03
14.8,157,65,91.94,55.94,55.16,-0.01
14.9,158,67,91.18,55.15,54.71,-0.01
15.0,159,67,92.18,54.70,55.31,0.01
15.1,157,67,90.18,55.32,54.11,-0.02
15.3,157,67,90.18,54.09,54.11,0.00
15.4,157,69,88.42,54.11,53.05,-0.02
15.5,157,67,90.18,53.03,54.11,0.02
15.6,157,67,90.18,54.12,54.11,0.00
15.7,158,67,91.18,54.11,54.71,0.01
15.9,157,67,90.18,54.72,54.11,-0.01
16.0,157,69,88.42,54.10,53.05,-0.02
16.1,157,69,88.42,53.03,53.05,0.00
16.2,157,69,88.42,53.05,53.05,0.00
16.4,158,67,91.18,53.05,54.71,0.03
16.5,157,67,90.18,54.73,54.11,-0.01
16.6,159,69,90.42,54.10,54.25,0.00
16.7,157,67,90.18,54.25,54.11,-0.00
16.8,157,69,88.42,54.10,53.05,-0.02
17.0,158,69,89.42,53.03,53.65,0.01
17.1,157,69,88.42,53.66,53.05,-0.01
17.2,157,67,90.18,53.04,54.11,0.02
17.3,157,65,91.94,54.12,55.16,0.02
17.5,160,67,93.18,55.18,55.91,0.01
17.6,157,67,90.18,55.92,54.11,-0.03
17.7,157,67,90.18,54.08,54.11,0.00
17.8,157,69,88.42,54.11,53.05,-0.02
17.9,157,67,90.18,53.03,54.11,0.02
18.1,157,67,90.18,54.12,54.11,0.00
18.2,158,67,91.18,54.11,54.71,0.01
18.3,157,67,90.18,54.72,54.11,-0.01
18.4,157,69,88.42,54.10,53.05,-0.02
18.5,158,69,89.42,53.03,53.65,0.01
18.7,157,67,90.18,53.66,54.11,0.01
18.8,158,67,91.18,54.11,54.71,0.01
18.9,157,67,90.18,54.72,54.11,-0.01
19.0,159,69,90.42,54.10,54.25,0.00
19.2,157,69,88.42,54.25,53.05,-0.02
19.3,157,69,88.42,53.03,53.05,0.00
19.4,157,69,88.42,53.05,53.05,0.00
19.5,159,69,90.42,53.05,54.25,0.02
19.6,157,67,90.18,54.27,54.11,-0.00
19.8,158,69,89.42,54.10,53.65,-0.01
19.9,160,69,91.42,53.64,54.85,0.02
20.0,157,69,88.42,54.87,53.05,-0.03
20.1,158,70,87.66,53.02,52.60,-0.01
20.3,160,69,91.42,52.59,54.85,0.04
20.4,157,67,90.18,54.89,54.11,-0.01
20.5,157,69,88.42,54.09,53.05,-0.02
20.6,159,69,90.42,53.03,54.25,0.02
20.7,157,69,88.42,54.27,53.05,-0.02
20.9,158,67,91.18,53.03,54.71,0.03
21.0,157,69,88.42,54.73,53.05,-0.03
21.1,157,69,88.42,53.02,53.05,0.00
21.2,158,69,89.42,53.05,53.65,0.01
21.4,157,67,90.18,53.66,54.11,0.01
21.5,157,65,91.94,54.11,55.16,0.02
21.6,158,65,92.94,55.18,55.76,0.01
21.7,157,67,90.18,55.77,54.11,-0.03
21.8,159,67,92.18,54.08,55.31,0.02
22.0,157,69,88.42,55.33,53.05,-0.04
22.1,158,69,89.42,53.01,53.65,0.01
22.2,157,69,88.42,53.66,53.05,-0.01
22.3,157,67,90.18,53.04,54.11,0.02
22.5,158,69,89.42,54.12,53.65,-0.01
22.6,157,67,90.18,53.64,54.11,0.01
22.7,160,67,93.18,54.11,55.91,0.03
22.8,157,69,88.42,55.94,53.05,-0.05
22.9,157,69,88.42,53.00,53.05,0.00
23.1,157,69,88.42,53.05,53.05,0.00
23.2,159,67,92.18,53.05,55.31,0.04
23.3,157,69,88.42,55.34,53.05,-0.04
23.4,158,69,89.42,53.01,53.65,0.01
23.6,157,69,88.42,53.66,53.05,-0.01
23.7,157,69,88.42,53.04,53.05,0.00
23.8,157,69,88.42,53.05,53.05,0.00
23.9,160,67,93.18,53.05,55.91,0.05
24.0,157,67,90.18,55.95,54.11,-0.03
24.2,157,69,88.42,54.08,53.05,-0.02
24.3,160,69,91.42,53.03,54.85,0.03
24.4,157,67,90.18,54.88,54.11,-0.01
24.5,157,70,86.66,54.09,52.00,-0.03
24.7,159,69,90.42,51.96,54.25,0.04
24.8,157,67,90.18,54.29,54.11,-0.00
24.9,157,67,90.18,54.10,54.11,0.00
25.0,157,69,88.42,54.11,53.05,-0.02
25.1,157,67,90.18,53.03,54.11,0.02
25.3,158,67,91.18,54.12,54.71,0.01
25.4,157,67,90.18,54.72,54.11,-0.01
25.5,160,69,91.42,54.10,54.85,0.01
25.6,157,69,88.42,54.86,53.05,-0.03
25.8,157,69,88.42,53.02,53.05,0.00
25.9,157,69,88.42,53.05,53.05,0.00
26.0,158,67,91.18,53.05,54.71,0.03
26.1,157,67,90.18,54.73,54.11,-0.01
26.2,158,67,91.18,54.10,54.71,0.01
26.4,157,67,90.18,54.72,54.11,-0.01
26.5,157,67,90.18,54.10,54.11,0.00
26.6,157,67,90.18,54.11,54.11,0.00
26.7,159,69,90.42,54.11,54.25,0.00
26.9,157,67,90.18,54.25,54.11,-0.00
27.0,158,70,87.66,54.10,52.60,-0.02
27.1,159,69,90.42,52.57,54.25,0.03
27.2,157,67,90.18,54.28,54.11,-0.00
27.3,157,69,88.42,54.10,53.05,-0.02
27.5,158,69,89.42,53.03,53.65,0.01
27.6,157,67,90.18,53.66,54.11,0.01
27.7,158,69,89.42,54.11,53.65,-0.01
27.8,157,69,88.42,53.64,53.05,-0.01
28.0,157,69,88.42,53.04,53.05,0.00
28.1,158,67,91.18,53.05,54.71,0.03
28.2,158,67,91.18,54.73,54.71,0.00
28.3,157,69,88.42,54.71,53.05,-0.03
28.4,157,67,90.18,53.02,54.11,0.02
28.6,157,69,88.42,54.12,53.05,-0.02
28.7,157,69,88.42,53.03,53.05,0.00
28.8,159,67,92.18,53.05,55.31,0.04
28.9,157,69,88.42,55.34,53.05,-0.04
29.1,158,69,89.42,53.01,53.65,0.01
29.2,157,69,88.42,53.66,53.05,-0.01
29.3,157,67,90.18,53.04,54.11,0.02
29.4,157,67,90.18,54.12,54.11,0.00
29.5,159,69,90.42,54.11,54.25,0.00
29.7,157,67,90.18,54.25,54.11,-0.00
29.8,157,69,88.42,54.10,53.05,-0.02
29.9,159,69,90.42,53.03,54.25,0.02
30.0,157,69,88.42,54.27,53.05,-0.02
30.2,157,69,88.42,53.03,53.05,0.00
30.3,157,67,90.18,53.05,54.11,0.02
30.4,160,69,91.42,54.12,54.85,0.01
30.5,157,67,90.18,54.86,54.11,-0.01
30.6,157,69,88.42,54.09,53.05,-0.02
30.8,160,70,89.66,53.03,53.80,0.01
30.9,157,69,88.42,53.81,53.05,-0.01
31.0,158,69,89.42,53.04,53.65,0.01
31.1,157,67,90.18,53.66,54.11,0.01
31.2,158,69,89.42,54.11,53.65,-0.01
31.4,157,69,88.42,53.64,53.05,-0.01
31.5,154,69,85.42,53.04,51.25,-0.03
31.6,148,67,81.18,51.22,48.71,-0.04
31.7,144,69,75.42,48.66,45.25,-0.06
31.9,138,63,74.69,45.19,44.82,-0.01
32.0,135,60,75.21,44.81,45.13,0.01
32.1,128,53,75.25,45.13,45.15,0.00
32.2,124,49,74.76,45.15,44.86,-0.00
32.4,121,49,71.76,44.85,43.06,-0.03
32.5,118,46,72.28,43.03,43.37,0.01
32.6,116,44,72.04,43.37,43.22,-0.00
32.7,115,40,74.55,43.22,44.73,0.02
32.8,115,40,74.55,44.76,44.73,0.00
33.0,115,40,74.55,44.73,44.73,0.00
33.1,115,39,76.31,44.73,45.79,0.02
33.2,118,40,77.55,45.81,46.53,0.01
33.3,115,40,74.55,46.54,44.73,-0.03
33.5,115,42,72.80,44.70,43.68,-0.02
33.6,117,42,74.80,43.66,44.88,0.02
33.7,115,40,74.55,44.90,44.73,-0.00
33.8,115,39,76.31,44.73,45.79,0.02
33.9,115,40,74.55,45.81,44.73,-0.02
34.1,115,40,74.55,44.72,44.73,0.00
34.2,115,40,74.55,44.73,44.73,0.00
34.3,115,40,74.55,44.73,44.73,0.00
34.4,114,40,73.55,44.73,44.13,-0.01
34.5,114,39,75.31,44.12,45.19,0.02
34.7,112,40,71.55,45.21,42.93,-0.04
34.8,107,40,66.55,42.90,39.93,-0.05
34.9,100,39,61.31,39.88,36.79,-0.05
35.0,92,37,55.07,36.74,33.04,-0.06
35.2,85,30,55.11,32.98,33.06,0.00
35.3,80,23,57.14,33.06,34.28,0.02
35.4,80,16,64.17,34.30,38.50,0.07
35.5,80,11,69.45,38.57,41.67,0.05
35.6,82,11,71.45,41.72,42.87,0.02
35.8,80,14,65.93,42.89,39.56,-0.05
35.9,79,18,61.42,39.51,36.85,-0.04
36.0,79,19,59.66,36.80,35.79,-0.02
36.1,80,19,60.66,35.78,36.39,0.01
36.2,80,14,65.93,36.40,39.56,0.05
36.4,80,12,67.69,39.61,40.61,0.02
36.5,79,12,66.69,40.63,40.01,-0.01
36.6,80,16,64.17,40.00,38.50,-0.02
36.7,80,18,62.42,38.48,37.45,-0.02
36.9,79,18,61.42,37.43,36.85,-0.01
37.0,80,18,62.42,36.84,37.45,0.01
37.1,80,16,64.17,37.46,38.50,0.02
37.2,79,14,64.93,38.52,38.96,0.01
37.3,80,14,65.93,38.97,39.56,0.01
37.5,80,14,65.93,39.57,39.56,0.00
37.6,80,16,64.17,39.56,38.50,-0.02
37.7,79,18,61.42,38.49,36.85,-0.03
37.8,80,18,62.42,36.82,37.45,0.01
37.9,80,18,62.42,37.46,37.45,0.00
38.1,80,14,65.93,37.45,39.56,0.03
38.2,79,14,64.93,39.59,38.96,-0.01
38.3,80,14,65.93,38.95,39.56,0.01
38.4,80,16,64.17,39.57,38.50,-0.02
38.6,80,18,62.42,38.49,37.45,-0.02
38.7,79,18,61.42,37.43,36.85,-0.01
38.8,80,16,64.17,36.84,38.50,0.03
38.9,79,16,63.17,38.53,37.90,-0.01
39.0,81,14,66.93,37.89,40.16,0.04
39.2,80,12,67.69,40.20,40.61,0.01
39.3,79,16,63.17,40.62,37.90,-0.04
39.4,80,18,62.42,37.86,37.45,-0.01
39.5,79,18,61.42,37.44,36.85,-0.01
39.6,80,16,64.17,36.84,38.50,0.03
39.8,80,14,65.93,38.53,39.56,0.02
39.9,79,14,64.93,39.58,38.96,-0.01
40.0,80,16,64.17,38.95,38.50,-0.01
40.1,80,18,62.42,38.50,37.45,-0.02
40.2,79,16,63.17,37.43,37.90,0.01
40.4,80,16,64.17,37.91,38.50,0.01
40.5,80,14,65.93,38.51,39.56,0.02
40.6,80,14,65.93,39.58,39.56,0.00
40.7,81,16,65.17,39.56,39.10,-0.01
40.9,79,18,61.42,39.10,36.85,-0.04
41.0,80,19,60.66,36.81,36.39,-0.01
41.1,80,16,64.17,36.39,38.50,0.03
41.2,80,16,64.17,38.54,38.50,0.00
41.3,80,14,65.93,38.50,39.56,0.02
41.5,80,14,65.93,39.58,39.56,0.00
41.6,79,16,63.17,39.56,37.90,-0.03
41.7,80,19,60.66,37.88,36.39,-0.02
41.8,80,16,64.17,36.37,38.50,0.03
41.9,80,16,64.17,38.54,38.50,0.00
42.1,82,14,67.93,38.50,40.76,0.04
42.2,80,16,64.17,40.80,38.50,-0.04
42.3,79,16,63.17,38.47,37.90,-0.01
42.4,80,18,62.42,37.89,37.45,-0.01
42.5,80,18,62.42,37.44,37.45,0.00
42.7,79,16,63.17,37.45,37.90,0.01
42.8,79,14,64.93,37.91,38.96,0.02
42.9,80,14,65.93,38.98,39.56,0.01
43.0,79,14,64.93,39.57,38.96,-0.01
43.2,79,16,63.17,38.95,37.90,-0.02
43.3,80,16,64.17,37.89,38.50,0.01
43.4,80,16,64.17,38.51,38.50,0.00
43.5,79,16,63.17,38.50,37.90,-0.01
43.6,80,16,64.17,37.89,38.50,0.01
43.8,82,16,66.17,38.51,39.70,0.02
43.9,80,14,65.93,39.72,39.56,-0.00
44.0,80,16,64.17,39.56,38.50,-0.02
44.1,79,18,61.42,38.49,36.85,-0.03
44.2,80,16,64.17,36.82,38.50,0.03
44.4,79,16,63.17,38.53,37.90,-0.01
44.5,80,16,64.17,37.89,38.50,0.01
44.6,82,14,67.93,38.51,40.76,0.04
44.7,80,14,65.93,40.80,39.56,-0.02
44.8,80,18,62.42,39.54,37.45,-0.03
45.0,79,18,61.42,37.41,36.85,-0.01
45.1,80,16,64.17,36.84,38.50,0.03
45.2,79,16,63.17,38.53,37.90,-0.01
45.3,80,14,65.93,37.89,39.56,0.03
45.5,82,11,71.45,39.59,42.87,0.05
45.6,80,4,76.48,42.92,45.89,0.05
45.7,79,0,79.00,45.94,47.40,0.02
45.8,79,0,79.00,47.42,47.40,0.00
45.9,82,0,82.00,47.40,49.20,0.03
46.1,80,0,80.00,49.23,48.00,-0.02
46.2,79,0,79.00,47.98,47.40,-0.01
46.3,80,0,80.00,47.39,48.00,0.01
46.4,80,0,80.00,48.01,48.00,0.00
46.5,79,0,79.00,48.00,47.40,-0.01
46.7,79,0,79.00,47.39,47.40,0.00
46.8,81,0,81.00,47.40,48.60,0.02
46.9,79,0,79.00,48.62,47.40,-0.02
47.0,79,0,79.00,47.38,47.40,0.00
47.1,79,0,79.00,47.40,47.40,0.00
47.3,81,0,81.00,47.40,48.60,0.02
47.4,79,0,79.00,48.62,47.40,-0.02
47.5,79,0,79.00,47.38,47.40,0.00
47.6,73,0,73.00,47.40,43.80,-0.06
47.7,57,0,57.00,43.74,34.20,-0.16
47.9,43,0,43.00,34.04,25.80,-0.14
48.0,33,0,33.00,25.66,19.80,-0.10
48.1,22,0,22.00,19.70,13.20,-0.11
48.2,11,0,11.00,13.09,6.60,-0.11
48.3,1,0,1.00,6.49,0.60,-0.10
48.5,-8,0,-8.00,0.50,-4.80,-0.09
48.6,-21,0,-21.00,-4.89,-12.60,-0.13
48.7,-37,0,-37.00,-12.73,-22.20,-0.16
48.8,-49,0,-49.00,-22.36,-29.40,-0.12
48.9,-60,0,-60.00,-29.52,-36.00,-0.11
49.1,-69,-4,-65.48,-36.11,-39.29,-0.05
49.2,-77,0,-77.00,-39.34,-46.20,-0.11
49.3,-83,0,-83.00,-46.31,-49.80,-0.06
49.4,-90,0,-90.00,-49.86,-54.00,-0.07
49.6,-95,0,-95.00,-54.07,-57.00,-0.05
49.7,-101,0,-101.00,-57.05,-60.60,-0.06
49.8,-108,0,-108.00,-60.66,-64.80,-0.07
50.0,-113,0,-113.00,-64.87,-67.80,-0.05
50.1,-119,0,-119.00,-67.85,-71.40,-0.06
50.2,-127,0,-127.00,-71.46,-76.20,-0.08
50.3,-139,0,-139.00,-76.28,-83.40,-0.12
50.5,-148,0,-148.00,-83.52,-88.80,-0.09
50.6,-156,0,-156.00,-88.89,-93.60,-0.08
50.7,-160,0,-160.00,-93.68,-96.00,-0.04
50.8,-160,0,-160.00,-96.04,-96.00,0.00
51.0,-160,0,-160.00,-96.00,-96.00,0.00
51.1,-160,0,-160.00,-96.00,-96.00,0.00
51.2,-160,0,-160.00,-96.00,-96.00,0.00
51.3,-160,0,-160.00,-96.00,-96.00,0.00
51.5,-160,0,-160.00,-96.00,-96.00,0.00
51.6,-160,0,-160.00,-96.00,-96.00,0.00
51.7,-160,0,-160.00,-96.00,-96.00,0.00
51.8,-160,0,-160.00,-96.00,-96.00,0.00
52.0,-160,0,-160.00,-96.00,-96.00,0.00
52.1,-160,0,-160.00,-96.00,-96.00,0.00
52.2,-160,0,-160.00,-96.00,-96.00,0.00
52.3,-160,0,-160.00,-96.00,-96.00,0.00
52.5,-160,0,-160.00,-96.00,-96.00,0.00
52.6,-160,0,-160.00,-96.00,-96.00,0.00
52.7,-160,-7,-152.97,-96.00,-91.78,0.07
52.9,-160,0,-160.00,-91.71,-96.00,-0.07
53.0,-160,0,-160.00,-96.07,-96.00,0.00
53.1,-160,0,-160.00,-96.00,-96.00,0.00
53.2,-160,0,-160.00,-96.00,-96.00,0.00
53.4,-160,0,-160.00,-96.00,-96.00,0.00
53.5,-160,0,-160.00,-96.00,-96.00,0.00
53.6,-160,0,-160.00,-96.00,-96.00,0.00
53.7,-160,0,-160.00,-96.00,-96.00,0.00
53.9,-160,0,-160.00,-96.00,-96.00,0.00
54.0,-160,0,-160.00,-96.00,-96.00,0.00
54.1,-160,0,-160.00,-96.00,-96.00,0.00
54.2,-160,0,-160.00,-96.00,-96.00,0.00
54.4,-160,-2,-158.24,-96.00,-94.94,0.02
54.5,-160,-46,-114.28,-94.93,-68.57,0.43
54.6,-160,-77,-82.63,-68.14,-49.58,0.31
54.7,-160,-84,-75.59,-49.27,-45.36,0.07
54.9,-160,-72,-87.90,-45.29,-52.74,-0.12
55.0,-160,-58,-101.97,-52.86,-61.18,-0.14
55.1,-160,-47,-112.52,-61.32,-67.51,-0.10
55.3,-160,-51,-109.00,-67.62,-65.40,0.03
55.4,-160,-60,-100.21,-65.37,-60.13,0.09
55.5,-160,-65,-94.94,-60.04,-56.96,0.05
55.6,-160,-67,-93.18,-56.91,-55.91,0.02
55.8,-160,-62,-98.45,-55.89,-59.07,-0.05
55.9,-160,-58,-101.97,-59.12,-61.18,-0.03
56.0,-160,-58,-101.97,-61.22,-61.18,0.00
56.2,-160,-62,-98.45,-61.18,-59.07,0.03
56.3,-160,-63,-96.69,-59.04,-58.02,0.02
56.4,-160,-63,-96.69,-58.00,-58.02,0.00
56.5,-160,-62,-98.45,-58.02,-59.07,-0.02
56.7,-160,-63,-96.69,-59.09,-58.02,0.02
56.8,-160,-62,-98.45,-58.00,-59.07,-0.02
56.9,-160,-63,-96.69,-59.09,-58.02,0.02
57.0,-160,-65,-94.94,-58.00,-56.96,0.02
57.2,-160,-63,-96.69,-56.94,-58.02,-0.02
57.3,-160,-62,-98.45,-58.03,-59.07,-0.02
57.4,-160,-62,-98.45,-59.09,-59.07,0.00
57.6,-160,-62,-98.45,-59.07,-59.07,0.00
57.7,-160,-65,-94.94,-59.07,-56.96,0.03
57.8,-160,-65,-94.94,-56.93,-56.96,0.00
57.9,-160,-63,-96.69,-56.96,-58.02,-0.02
58.1,-160,-63,-96.69,-58.03,-58.02,0.00
58.2,-160,-63,-96.69,-58.02,-58.02,0.00
58.3,-160,-65,-94.94,-58.02,-56.96,0.02
58.4,-160,-63,-96.69,-56.94,-58.02,-0.02
58.6,-160,-65,-94.94,-58.03,-56.96,0.02
58.7,-160,-63,-96.69,-56.94,-58.02,-0.02
58.8,-160,-63,-96.69,-58.03,-58.02,0.00
59.0,-160,-63,-96.69,-58.02,-58.02,0.00
59.1,-160,-65,-94.94,-58.02,-56.96,0.02
59.2,-160,-65,-94.94,-56.94,-56.96,0.00
59.3,-160,-65,-94.94,-56.96,-56.96,0.00
59.5,-160,-65,-94.94,-56.96,-56.96,0.00
59.6,-160,-63,-96.69,-56.96,-58.02,-0.02
59.7,-160,-63,-96.69,-58.03,-58.02,0.00
59.8,-160,-65,-94.94,-58.02,-56.96,0.02
60.0,-160,-65,-94.94,-56.94,-56.96,0.00
60.1,-160,-65,-94.94,-56.96,-56.96,0.00
60.2,-160,-65,-94.94,-56.96,-56.96,0.00
60.3,-160,-65,-94.94,-56.96,-56.96,0.00
60.5,-160,-63,-96.69,-56.96,-58.02,-0.02
60.6,-160,-65,-94.94,-58.03,-56.96,0.02
60.7,-160,-67,-93.18,-56.94,-55.91,0.02
60.9,-160,-65,-94.94,-55.89,-56.96,-0.02
61.0,-160,-65,-94.94,-56.98,-56.96,0.00
61.1,-160,-63,-96.69,-56.96,-58.02,-0.02
61.2,-160,-63,-96.69,-58.03,-58.02,0.00
61.4,-160,-65,-94.94,-58.02,-56.96,0.02
61.5,-160,-65,-94.94,-56.94,-56.96,0.00
61.6,-160,-65,-94.94,-56.96,-56.96,0.00
61.7,-160,-65,-94.94,-56.96,-56.96,0.00
61.9,-160,-63,-96.69,-56.96,-58.02,-0.02
62.0,-160,-63,-96.69,-58.03,-58.02,0.00
62.1,-160,-65,-94.94,-58.02,-56.96,0.02
62.3,-160,-67,-93.18,-56.94,-55.91,0.02
62.4,-160,-67,-93.18,-55.89,-55.91,0.00
62.5,-160,-65,-94.94,-55.91,-56.96,-0.02
62.6,-160,-65,-94.94,-56.98,-56.96,0.00
62.8,-160,-65,-94.94,-56.96,-56.96,0.00
62.9,-160,-65,-94.94,-56.96,-56.96,0.00
63.0,-160,-65,-94.94,-56.96,-56.96,0.00
63.1,-160,-65,-94.94,-56.96,-56.96,0.00
63.3,-160,-65,-94.94,-56.96,-56.96,0.00
63.4,-160,-63,-96.69,-56.96,-58.02,-0.02
63.5,-160,-65,-94.94,-58.03,-56.96,0.02
63.7,-160,-67,-93.18,-56.94,-55.91,0.02
63.8,-160,-67,-93.18,-55.89,-55.91,0.00
63.9,-160,-65,-94.94,-55.91,-56.96,-0.02
64.0,-160,-65,-94.94,-56.98,-56.96,0.00
64.2,-160,-65,-94.94,-56.96,-56.96,0.00
64.3,-160,-67,-93.18,-56.96,-55.91,0.02
64.4,-160,-65,-94.94,-55.89,-56.96,-0.02
64.5,-160,-67,-93.18,-56.98,-55.91,0.02
64.7,-160,-67,-93.18,-55.89,-55.91,0.00
64.8,-160,-65,-94.94,-55.91,-56.96,-0.02
64.9,-160,-67,-93.18,-56.98,-55.91,0.02
65.1,-160,-67,-93.18,-55.89,-55.91,0.00
65.2,-160,-67,-93.18,-55.91,-55.91,0.00
65.3,-160,-65,-94.94,-55.91,-56.96,-0.02
65.4,-160,-67,-93.18,-56.98,-55.91,0.02
65.6,-160,-67,-93.18,-55.89,-55.91,0.00
65.7,-160,-67,-93.18,-55.91,-55.91,0.00
65.8,-160,-65,-94.94,-55.91,-56.96,-0.02
65.9,-160,-67,-93.18,-56.98,-55.91,0.02
66.1,-160,-67,-93.18,-55.89,-55.91,0.00
66.2,-160,-67,-93.18,-55.91,-55.91,0.00
66.3,-160,-65,-94.94,-55.91,-56.96,-0.02
66.5,-160,-63,-96.69,-56.98,-58.02,-0.02
66.6,-160,-65,-94.94,-58.03,-56.96,0.02
66.7,-160,-67,-93.18,-56.94,-55.91,0.02
66.8,-160,-67,-93.18,-55.89,-55.91,0.00
67.0,-160,-67,-93.18,-55.91,-55.91,0.00
67.1,-160,-67,-93.18,-55.91,-55.91,0.00
67.2,-160,-67,-93.18,-55.91,-55.91,0.00
67.3,-160,-67,-93.18,-55.91,-55.91,0.00
67.5,-160,-67,-93.18,-55.91,-55.91,0.00
67.6,-160,-67,-93.18,-55.91,-55.91,0.00
67.7,-160,-67,-93.18,-55.91,-55.91,0.00
67.8,-160,-67,-93.18,-55.91,-55.91,0.00
68.0,-160,-67,-93.18,-55.91,-55.91,0.00
68.1,-160,-67,-93.18,-55.91,-55.91,0.00
68.2,-160,-65,-94.94,-55.91,-56.96,-0.02
68.4,-160,-65,-94.94,-56.98,-56.96,0.00
