Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoD
2.2,158,0,158.00,0.00,94.80,1.55
2.3,156,7,148.97,96.35,89.38,-0.09
2.4,160,44,116.04,89.29,69.62,-0.32
2.5,158,67,91.18,69.30,54.71,-0.24
2.6,157,91,65.56,54.46,39.33,-0.25
2.7,157,88,69.08,39.08,41.45,0.03
2.9,158,76,82.38,41.48,49.43,0.13
3.0,158,62,96.45,49.56,57.87,0.14
3.1,158,56,101.73,58.01,61.04,0.05
3.2,157,60,97.21,61.09,58.33,-0.04
3.3,160,67,93.18,58.28,55.91,-0.04
3.5,157,72,84.90,55.87,50.94,-0.08
3.6,157,74,83.14,50.86,49.89,-0.02
3.7,159,69,90.42,49.87,54.25,0.07
3.8,158,67,91.18,54.32,54.71,0.01
4.0,157,63,93.69,54.71,56.22,0.02
4.1,157,65,91.94,56.24,55.16,-0.02
4.2,160,67,93.18,55.14,55.91,0.01
4.3,158,69,89.42,55.92,53.65,-0.04
4.4,158,70,87.66,53.61,52.60,-0.02
4.6,157,69,88.42,52.58,53.05,0.01
4.7,157,67,90.18,53.06,54.11,0.02
4.8,157,67,90.18,54.12,54.11,0.00
4.9,158,67,91.18,54.11,54.71,0.01
5.0,160,67,93.18,54.72,55.91,0.02
5.2,158,69,89.42,55.93,53.65,-0.04
5.3,157,69,88.42,53.61,53.05,-0.01
5.4,157,69,88.42,53.04,53.05,0.00
5.5,157,69,88.42,53.05,53.05,0.00
5.6,158,65,92.94,53.05,55.76,0.04
5.8,157,67,90.18,55.81,54.11,-0.03
5.9,157,67,90.18,54.08,54.11,0.00
6.0,157,67,90.18,54.11,54.11,0.00
6.1,157,67,90.18,54.11,54.11,0.00
6.3,159,67,92.18,54.11,55.31,0.02
6.4,160,69,91.42,55.33,54.85,-0.01
6.5,157,69,88.42,54.84,53.05,-0.03
6.6,157,69,88.42,53.02,53.05,0.00
6.7,157,69,88.42,53.05,53.05,0.00
6.9,157,67,90.18,53.05,54.11,0.02
7.0,158,65,92.94,54.12,55.76,0.03
7.1,158,63,94.69,55.79,56.82,0.02
7.2,160,63,96.69,56.83,58.02,0.02
7.3,158,65,92.94,58.04,55.76,-0.04
7.5,158,69,89.42,55.72,53.65,-0.03
7.6,157,69,88.42,53.62,53.05,-0.01
7.7,158,67,91.18,53.04,54.71,0.03
7.8,158,67,91.18,54.73,54.71,0.00
