Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoD
2.2,153,0,153.00,0.00,91.80,1.22
2.3,149,5,143.72,93.02,86.23,-0.07
2.4,156,42,113.80,86.16,68.28,-0.24
2.5,151,65,85.94,68.04,51.56,-0.22
2.6,151,86,64.83,51.34,38.90,-0.17
2.7,151,84,66.59,38.73,39.96,0.01
2.9,152,69,83.42,39.97,50.05,0.13
3.0,152,56,95.73,50.19,57.44,0.10
3.1,151,49,101.76,57.54,61.06,0.05
3.2,151,55,96.49,61.11,57.89,-0.04
3.3,156,63,92.69,57.85,55.62,-0.03
3.5,151,67,84.18,55.59,50.51,-0.07
3.6,151,69,82.42,50.44,49.45,-0.01
3.7,155,65,89.94,49.44,53.96,0.06
3.8,153,62,91.45,54.02,54.87,0.01
4.0,152,60,92.21,54.88,55.33,0.01
4.1,151,62,89.45,55.33,53.67,-0.02
4.2,157,63,93.69,53.65,56.22,0.03
4.3,152,63,88.69,56.25,53.22,-0.04
4.4,151,65,85.94,53.18,51.56,-0.02
4.6,151,65,85.94,51.54,51.56,0.00
4.7,151,63,87.69,51.56,52.62,0.01
4.8,151,62,89.45,52.63,53.67,0.01
4.9,152,60,92.21,53.69,55.33,0.02
5.0,156,60,96.21,55.35,57.73,0.03
5.2,153,62,91.45,57.76,54.87,-0.04
5.3,151,67,84.18,54.83,50.51,-0.06
5.4,151,67,84.18,50.45,50.51,0.00
5.5,151,63,87.69,50.51,52.62,0.03
5.6,151,62,89.45,52.64,53.67,0.01
5.8,151,60,91.21,53.69,54.73,0.01
5.9,155,60,95.21,54.74,57.13,0.03
6.0,153,62,91.45,57.16,54.87,-0.03
6.1,151,65,85.94,54.84,51.56,-0.04
6.3,151,67,84.18,51.52,50.51,-0.01
6.4,153,65,87.94,50.49,52.76,0.03
6.5,152,62,90.45,52.79,54.27,0.02
6.6,151,62,89.45,54.29,53.67,-0.01
6.7,156,62,94.45,53.66,56.67,0.04
6.9,153,63,89.69,56.71,53.82,-0.04
7.0,151,63,87.69,53.78,52.62,-0.02
7.1,151,65,85.94,52.60,51.56,-0.01
7.2,153,65,87.94,51.55,52.76,0.02
7.3,152,62,90.45,52.78,54.27,0.02
7.5,151,63,87.69,54.29,52.62,-0.02
7.6,155,62,93.45,52.59,56.07,0.05
7.7,153,63,89.69,56.12,53.82,-0.03
7.8,151,65,85.94,53.79,51.56,-0.03
7.9,151,65,85.94,51.53,51.56,0.00
8.1,151,63,87.69,51.56,52.62,0.01
8.2,151,62,89.45,52.63,53.67,0.01
8.3,151,62,89.45,53.69,53.67,0.00
8.4,155,62,93.45,53.67,56.07,0.03
8.6,153,62,91.45,56.10,54.87,-0.02
8.7,151,63,87.69,54.86,52.62,-0.03
8.8,151,67,84.18,52.59,50.51,-0.03
8.9,157,65,91.94,50.48,55.16,0.06
9.0,152,62,90.45,55.22,54.27,-0.01
9.2,151,63,87.69,54.26,52.62,-0.02
9.3,151,65,85.94,52.59,51.56,-0.01
9.4,153,63,89.69,51.55,53.82,0.03
9.5,152,62,90.45,53.85,54.27,0.01
9.6,151,63,87.69,54.28,52.62,-0.02
9.8,157,63,93.69,52.59,56.22,0.05
9.9,152,63,88.69,56.26,53.22,-0.04
10.0,151,65,85.94,53.18,51.56,-0.02
10.1,155,69,86.42,51.54,51.85,0.00
10.3,151,65,85.94,51.85,51.56,-0.00
10.4,151,63,87.69,51.56,52.62,0.01
10.5,151,63,87.69,52.63,52.62,0.00
10.6,153,62,91.45,52.62,54.87,0.03
10.7,151,62,89.45,54.90,53.67,-0.02
