Tempo: 2.2s	Setpoint: 128 RPM		Vel.: 0 RPM	erro: 128.00 RPM		Controle: 0.00	AcaoP: 76.80	AcaoI: 19.20	 AcaoD: 0.68
Tempo: 2.3s	Setpoint: 149 RPM		Vel.: 14 RPM	erro: 134.93 RPM		Controle: 96.68	AcaoP: 80.96	AcaoI: 39.44	 AcaoD: 0.04
Tempo: 2.5s	Setpoint: 159 RPM		Vel.: 68 RPM	erro: 91.00 RPM		Controle: 120.44	AcaoP: 54.60	AcaoI: 53.09	 AcaoD: -0.23
Tempo: 2.6s	Setpoint: 157 RPM		Vel.: 104 RPM	erro: 52.66 RPM		Controle: 107.46	AcaoP: 31.60	AcaoI: 60.99	 AcaoD: -0.20
Tempo: 2.8s	Setpoint: 158 RPM		Vel.: 114 RPM	erro: 44.28 RPM		Controle: 92.38	AcaoP: 26.57	AcaoI: 67.63	 AcaoD: -0.04
Tempo: 2.9s	Setpoint: 158 RPM		Vel.: 113 RPM	erro: 45.46 RPM		Controle: 94.16	AcaoP: 27.27	AcaoI: 74.45	 AcaoD: 0.01
Tempo: 3.1s	Setpoint: 158 RPM		Vel.: 115 RPM	erro: 43.11 RPM		Controle: 101.73	AcaoP: 25.87	AcaoI: 80.92	 AcaoD: -0.01
Tempo: 3.2s	Setpoint: 157 RPM		Vel.: 117 RPM	erro: 39.77 RPM		Controle: 106.77	AcaoP: 23.86	AcaoI: 86.88	 AcaoD: -0.02
Tempo: 3.4s	Setpoint: 157 RPM		Vel.: 122 RPM	erro: 35.08 RPM		Controle: 110.72	AcaoP: 21.05	AcaoI: 92.14	 AcaoD: -0.03
Tempo: 3.5s	Setpoint: 158 RPM		Vel.: 122 RPM	erro: 36.08 RPM		Controle: 113.17	AcaoP: 21.65	AcaoI: 97.56	 AcaoD: 0.01
Tempo: 3.7s	Setpoint: 157 RPM		Vel.: 124 RPM	erro: 32.73 RPM		Controle: 119.21	AcaoP: 19.64	AcaoI: 102.47	 AcaoD: -0.02
Tempo: 3.8s	Setpoint: 158 RPM		Vel.: 125 RPM	erro: 32.56 RPM		Controle: 122.09	AcaoP: 19.54	AcaoI: 107.35	 AcaoD: -0.00
Tempo: 4.0s	Setpoint: 157 RPM		Vel.: 130 RPM	erro: 26.87 RPM		Controle: 126.89	AcaoP: 16.12	AcaoI: 111.38	 AcaoD: -0.03
Tempo: 4.1s	Setpoint: 158 RPM		Vel.: 131 RPM	erro: 26.70 RPM		Controle: 127.47	AcaoP: 16.02	AcaoI: 115.39	 AcaoD: -0.00
