Tempo: 2.2s	Setpoint: 120 RPM		Vel.: 0 RPM	erro: 120.00 RPM		Controle: 0.00	AcaoP: 72.00	AcaoI: 120.00	 AcaoD: 0.10
Tempo: 3.2s	Setpoint: 119 RPM		Vel.: 124 RPM	erro: -4.80 RPM		Controle: 192.10	AcaoP: -2.88	AcaoI: 115.20	 AcaoD: -0.10
Tempo: 4.2s	Setpoint: 121 RPM		Vel.: 128 RPM	erro: -7.19 RPM		Controle: 112.22	AcaoP: -4.32	AcaoI: 108.01	 AcaoD: -0.00
Tempo: 5.2s	Setpoint: 120 RPM		Vel.: 119 RPM	erro: 1.48 RPM		Controle: 103.69	AcaoP: 0.89	AcaoI: 109.48	 AcaoD: 0.01
Tempo: 6.2s	Setpoint: 120 RPM		Vel.: 121 RPM	erro: -0.98 RPM		Controle: 110.38	AcaoP: -0.59	AcaoI: 108.50	 AcaoD: -0.00
Tempo: 7.2s	Setpoint: 120 RPM		Vel.: 121 RPM	erro: -1.16 RPM		Controle: 107.91	AcaoP: -0.70	AcaoI: 107.34	 AcaoD: -0.00
Tempo: 8.2s	Setpoint: 120 RPM		Vel.: 118 RPM	erro: 1.65 RPM		Controle: 106.64	AcaoP: 0.99	AcaoI: 108.99	 AcaoD: 0.00
Tempo: 9.2s	Setpoint: 121 RPM		Vel.: 120 RPM	erro: 0.89 RPM		Controle: 109.99	AcaoP: 0.54	AcaoI: 109.89	 AcaoD: -0.00
Tempo: 10.2s	Setpoint: 159 RPM		Vel.: 122 RPM	erro: 37.31 RPM		Controle: 110.42	AcaoP: 22.39	AcaoI: 147.20	 AcaoD: 0.03
Tempo: 11.2s	Setpoint: 158 RPM		Vel.: 140 RPM	erro: 17.67 RPM		Controle: 169.61	AcaoP: 10.60	AcaoI: 164.87	 AcaoD: -0.02
Tempo: 12.2s	Setpoint: 159 RPM		Vel.: 145 RPM	erro: 13.57 RPM		Controle: 175.46	AcaoP: 8.14	AcaoI: 178.44	 AcaoD: -0.00
Tempo: 13.2s	Setpoint: 158 RPM		Vel.: 148 RPM	erro: 9.76 RPM		Controle: 186.58	AcaoP: 5.86	AcaoI: 188.20	 AcaoD: -0.00
Tempo: 14.2s	Setpoint: 159 RPM		Vel.: 152 RPM	erro: 7.42 RPM		Controle: 194.05	AcaoP: 4.45	AcaoI: 195.62	 AcaoD: -0.00
Tempo: 15.2s	Setpoint: 158 RPM		Vel.: 153 RPM	erro: 4.66 RPM		Controle: 200.07	AcaoP: 2.80	AcaoI: 200.28	 AcaoD: -0.00
Tempo: 16.2s	Setpoint: 158 RPM		Vel.: 152 RPM	erro: 5.54 RPM		Controle: 203.07	AcaoP: 3.32	AcaoI: 205.81	 AcaoD: 0.00
Tempo: 17.2s	Setpoint: 158 RPM		Vel.: 155 RPM	erro: 3.25 RPM		Controle: 209.14	AcaoP: 1.95	AcaoI: 209.07	 AcaoD: -0.00
Tempo: 18.2s	Setpoint: 158 RPM		Vel.: 156 RPM	erro: 2.02 RPM		Controle: 211.02	AcaoP: 1.21	AcaoI: 211.09	 AcaoD: -0.00
Tempo: 19.2s	Setpoint: 158 RPM		Vel.: 154 RPM	erro: 3.96 RPM		Controle: 212.30	AcaoP: 2.37	AcaoI: 215.04	 AcaoD: 0.00
Tempo: 20.2s	Setpoint: 158 RPM		Vel.: 157 RPM	erro: 1.32 RPM		Controle: 217.42	AcaoP: 0.79	AcaoI: 216.36	 AcaoD: -0.00
Tempo: 21.2s	Setpoint: 158 RPM		Vel.: 158 RPM	erro: 0.44 RPM		Controle: 217.15	AcaoP: 0.26	AcaoI: 216.80	 AcaoD: -0.00
Tempo: 22.2s	Setpoint: 158 RPM		Vel.: 156 RPM	erro: 1.85 RPM		Controle: 217.06	AcaoP: 1.11	AcaoI: 218.64	 AcaoD: 0.00
Tempo: 23.2s	Setpoint: 159 RPM		Vel.: 158 RPM	erro: 0.74 RPM		Controle: 219.75	AcaoP: 0.44	AcaoI: 219.38	 AcaoD: -0.00
Tempo: 24.2s	Setpoint: 158 RPM		Vel.: 158 RPM	erro: 0.44 RPM		Controle: 219.82	AcaoP: 0.26	AcaoI: 219.82	 AcaoD: -0.00
Tempo: 25.2s	Setpoint: 158 RPM		Vel.: 158 RPM	erro: -0.09 RPM		Controle: 220.08	AcaoP: -0.05	AcaoI: 219.73	 AcaoD: -0.00
Tempo: 26.2s	Setpoint: 158 RPM		Vel.: 157 RPM	erro: 0.61 RPM		Controle: 219.68	AcaoP: 0.37	AcaoI: 220.34	 AcaoD: 0.00
Tempo: 27.2s	Setpoint: 158 RPM		Vel.: 158 RPM	erro: -0.09 RPM		Controle: 220.71	AcaoP: -0.05	AcaoI: 220.25	 AcaoD: -0.00
Tempo: 28.2s	Setpoint: 159 RPM		Vel.: 158 RPM	erro: 0.91 RPM		Controle: 220.20	AcaoP: 0.55	AcaoI: 221.17	 AcaoD: 0.00
Tempo: 29.2s	Setpoint: 158 RPM		Vel.: 157 RPM	erro: 0.97 RPM		Controle: 221.71	AcaoP: 0.58	AcaoI: 222.13	 AcaoD: 0.00
Tempo: 30.2s	Setpoint: 158 RPM		Vel.: 158 RPM	erro: 0.26 RPM		Controle: 222.71	AcaoP: 0.16	AcaoI: 222.39	 AcaoD: -0.00
Tempo: 31.2s	Setpoint: 159 RPM		Vel.: 158 RPM	erro: 1.26 RPM		Controle: 222.55	AcaoP: 0.76	AcaoI: 223.66	 AcaoD: 0.00
Tempo: 32.2s	Setpoint: 158 RPM		Vel.: 158 RPM	erro: 0.26 RPM		Controle: 224.42	AcaoP: 0.16	AcaoI: 223.92	 AcaoD: -0.00
Tempo: 33.2s	Setpoint: 158 RPM		Vel.: 157 RPM	erro: 1.32 RPM		Controle: 224.08	AcaoP: 0.79	AcaoI: 225.24	 AcaoD: 0.00
Tempo: 34.2s	Setpoint: 137 RPM		Vel.: 158 RPM	erro: -20.56 RPM		Controle: 226.03	AcaoP: -12.34	AcaoI: 204.68	 AcaoD: -0.02
Tempo: 35.2s	Setpoint: 108 RPM		Vel.: 153 RPM	erro: -44.64 RPM		Controle: 192.32	AcaoP: -26.78	AcaoI: 160.04	 AcaoD: -0.02
Tempo: 36.2s	Setpoint: 106 RPM		Vel.: 138 RPM	erro: -32.39 RPM		Controle: 133.24	AcaoP: -19.44	AcaoI: 127.64	 AcaoD: 0.01
Tempo: 37.2s	Setpoint: 106 RPM		Vel.: 125 RPM	erro: -19.03 RPM		Controle: 108.22	AcaoP: -11.42	AcaoI: 108.61	 AcaoD: 0.01
Tempo: 38.2s	Setpoint: 106 RPM		Vel.: 117 RPM	erro: -11.12 RPM		Controle: 97.21	AcaoP: -6.67	AcaoI: 97.50	 AcaoD: 0.01
Tempo: 39.2s	Setpoint: 107 RPM		Vel.: 112 RPM	erro: -4.84 RPM		Controle: 90.84	AcaoP: -2.90	AcaoI: 92.66	 AcaoD: 0.01
