Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,159,0,159.00,0.00,95.40,79.50,0.25
2.7,159,97,61.58,175.15,36.95,110.29,-0.16
3.2,158,137,21.19,147.08,12.71,120.88,-0.06
3.7,159,133,26.41,133.53,15.85,134.09,0.01
4.2,159,134,25.35,149.94,15.21,146.77,-0.00
4.7,159,138,21.13,161.98,12.68,157.33,-0.01
5.2,158,140,17.67,170.01,10.60,166.17,-0.01
5.7,158,142,15.56,176.77,9.34,173.95,-0.00
6.2,158,145,13.10,183.28,7.86,180.50,-0.00
6.7,158,146,12.04,188.35,7.23,186.52,-0.00
7.2,158,148,10.29,193.75,6.17,191.66,-0.00
7.7,158,148,10.29,197.83,6.17,196.81,0.00
8.2,158,150,8.18,202.98,4.91,200.90,-0.00
8.7,158,152,6.42,205.80,3.85,204.10,-0.00
9.2,159,152,07.07,207.95,4.24,207.64,0.00
9.7,158,153,05.01,211.88,03.01,210.14,-0.00
10.2,158,152,06.07,213.15,3.64,213.17,0.00
10.7,158,153,5.36,216.82,3.22,215.86,-0.00
11.2,158,154,4.31,219.07,2.58,218.01,-0.00
11.7,158,155,2.90,220.59,1.74,219.46,-0.00
12.2,158,157,0.79,221.20,0.47,219.85,-0.00
12.7,158,155,2.55,220.33,1.53,221.13,0.00
13.2,158,157,1.49,222.66,0.90,221.88,-0.00
13.7,158,158,0.09,222.77,0.05,221.92,-0.00
14.2,158,158,0.09,221.97,0.05,221.96,0.00
14.7,158,158,-0.26,222.01,-0.16,221.83,-0.00
15.2,158,157,0.79,221.67,0.47,222.23,0.00
15.7,158,158,-0.26,222.70,-0.16,222.09,-0.00
16.2,158,158,0.09,221.93,0.05,222.14,0.00
16.7,158,158,0.09,222.19,0.05,222.18,0.00
17.2,158,158,-0.26,222.23,-0.16,222.05,-0.00
17.7,158,158,0.09,221.89,0.05,222.09,0.00
18.2,158,158,0.09,222.14,0.05,222.13,0.00
18.7,158,158,0.09,222.19,0.05,222.18,0.00
19.2,158,157,1.14,222.23,0.69,222.75,0.00
19.7,158,158,-0.26,223.43,-0.16,222.62,-0.00
20.2,158,158,0.09,222.45,0.05,222.66,0.00
20.7,158,158,-0.26,222.71,-0.16,222.53,-0.00
21.2,158,158,0.09,222.37,0.05,222.57,0.00
21.7,158,158,0.09,222.62,0.05,222.61,0.00
22.2,158,158,-0.26,222.67,-0.16,222.48,-0.00
22.7,158,158,0.09,222.32,0.05,222.52,0.00
23.2,158,158,-0.26,222.58,-0.16,222.39,-0.00
23.7,158,158,0.09,222.23,0.05,222.44,0.00
24.2,158,160,-2.02,222.49,-1.21,221.42,-0.00
24.7,158,159,-0.62,220.21,-0.37,221.12,0.00
25.2,158,158,0.09,220.75,0.05,221.16,0.00
25.7,158,158,0.09,221.21,0.05,221.20,0.00
26.2,158,158,0.09,221.25,0.05,221.25,0.00
26.7,158,158,-0.26,221.30,-0.16,221.11,-0.00
27.2,158,158,-0.26,220.95,-0.16,220.98,0.00
27.7,158,158,0.09,220.82,0.05,221.02,0.00
28.2,158,158,-0.26,221.08,-0.16,220.89,-0.00
28.7,159,158,1.44,220.73,0.86,221.61,0.00
29.2,158,158,-0.26,222.48,-0.16,221.48,-0.00
29.7,158,158,0.09,221.32,0.05,221.52,0.00
30.2,158,158,-0.26,221.57,-0.16,221.39,-0.00
30.7,158,158,0.09,221.23,0.05,221.43,0.00
31.2,159,159,0.03,221.48,0.02,221.45,-0.00
31.7,158,159,-0.62,221.47,-0.37,221.14,-0.00
32.2,158,159,-1.32,220.77,-0.79,220.48,-0.00
32.7,158,160,-2.02,219.69,-1.21,219.47,-0.00
33.2,140,158,-18.26,218.25,-10.96,210.34,-0.03
33.7,131,158,-27.26,199.35,-16.36,196.70,-0.01
34.2,123,154,-30.69,180.33,-18.42,181.36,-0.01
34.7,120,151,-30.88,162.94,-18.53,165.92,-0.00
35.2,120,146,-26.31,147.39,-15.78,152.76,0.01
35.7,119,142,-23.44,136.99,-14.06,141.04,0.00
36.2,119,139,-19.57,126.99,-11.74,131.26,0.01
36.7,119,134,-14.65,119.52,-8.79,123.94,0.01
37.2,119,133,-13.59,115.16,-8.15,117.14,0.00
37.7,119,129,-10.43,108.99,-6.26,111.93,0.01
38.2,119,127,-7.61,105.68,-4.57,108.12,0.00
38.7,119,126,-6.56,103.56,-3.93,104.84,0.00
39.2,121,124,-2.80,100.91,-1.68,103.44,0.01
39.7,120,123,-2.74,101.77,-1.65,102.07,0.00
40.2,120,122,-2.04,100.43,-1.22,101.05,0.00
40.7,119,122,-3.04,99.83,-1.82,99.53,-0.00
41.2,119,121,-1.98,97.71,-1.19,98.54,0.00
41.7,119,120,-0.58,97.35,-0.35,98.25,0.00
42.2,119,120,-0.93,97.91,-0.56,97.79,-0.00
42.7,119,121,-1.63,97.23,-0.98,96.97,-0.00
43.2,119,119,-0.23,95.99,-0.14,96.86,0.00
43.7,119,119,0.13,96.72,0.08,96.92,0.00
44.2,121,119,2.13,97.00,1.28,97.98,0.00
44.7,121,120,01.07,99.26,0.64,98.52,-0.00
45.2,120,121,-1.34,99.16,-0.80,97.85,-0.00
45.7,120,121,-0.98,97.04,-0.59,97.36,0.00
46.2,119,120,-0.58,96.77,-0.35,97.07,0.00
46.7,119,118,0.83,96.72,0.50,97.48,0.00
47.2,119,120,-0.58,97.98,-0.35,97.19,-0.00
47.7,120,119,0.77,96.84,0.46,97.58,0.00
48.2,119,119,-0.23,98.05,-0.14,97.47,-0.00
48.7,119,120,-0.93,97.33,-0.56,97.00,-0.00
49.2,119,120,-0.93,96.44,-0.56,96.54,0.00
49.7,121,119,1.77,95.98,01.06,97.42,0.00
50.2,120,120,0.42,98.49,0.25,97.64,-0.00
50.7,120,120,-0.28,97.89,-0.17,97.50,-0.00
51.2,120,120,0.07,97.33,0.04,97.53,0.00
51.7,119,120,-1.28,97.57,-0.77,96.89,-0.00
52.2,119,120,-0.58,96.12,-0.35,96.60,0.00
52.7,119,119,0.13,96.25,0.08,96.66,0.00
53.2,120,119,1.48,96.74,0.89,97.40,0.00
53.7,119,119,0.13,98.29,0.08,97.46,-0.00
54.2,119,120,-1.28,97.54,-0.77,96.82,-0.00
54.7,119,119,-0.23,96.05,-0.14,96.71,0.00
55.2,129,119,10.48,96.58,6.29,101.95,0.02
55.7,138,123,14.91,108.25,8.94,109.40,0.01
56.2,149,130,18.87,118.35,11.32,118.84,0.01
56.7,152,136,15.89,130.17,9.54,126.78,-0.00
57.2,152,140,12.02,136.31,7.21,132.80,-0.01
57.7,152,141,11.32,140.00,6.79,138.46,-0.00
58.2,78,143,-65.14,145.25,-39.09,105.88,-0.12
58.7,62,120,-57.58,66.68,-34.55,77.10,0.01
59.2,-39,75,-114.26,42.56,-68.56,19.96,-0.09
59.7,-103,9,-112.14,-48.69,-67.29,-36.11,0.00
60.2,-140,-54,-85.84,-103.39,-51.50,-79.03,0.04
60.7,-155,-114,-41.05,-130.49,-24.63,-99.55,0.07
61.2,-127,-126,-1.09,-124.11,-0.65,-100.10,0.06
61.7,-119,-119,-0.13,-100.69,-0.08,-100.16,0.00
62.2,-118,-113,-5.46,-100.23,-3.27,-102.89,-0.01
62.7,-118,-116,-2.29,-106.17,-1.37,-104.03,0.01
63.2,-118,-117,-0.53,-105.40,-0.32,-104.30,0.00
63.7,-119,-119,-0.48,-104.62,-0.29,-104.54,0.00
64.2,-119,-119,-0.48,-104.83,-0.29,-104.78,0.00
64.7,-118,-119,0.52,-105.06,0.31,-104.52,0.00
65.2,-118,-119,0.52,-104.20,0.31,-104.25,0.00
65.7,-118,-119,1.23,-103.94,0.74,-103.64,0.00
66.2,-119,-119,-0.13,-102.90,-0.08,-103.70,-0.00
66.7,-119,-119,-0.13,-103.78,-0.08,-103.77,0.00
67.2,-119,-119,0.23,-103.84,0.14,-103.65,0.00
