Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,128,0,128.00,0.00,76.80,19.20,0.68
2.3,149,14,134.93,96.68,80.96,39.44,0.04
2.5,159,68,91.00,120.44,54.60,53.09,-0.23
2.6,157,104,52.66,107.46,31.60,60.99,-0.20
2.8,158,114,44.28,92.38,26.57,67.63,-0.04
2.9,158,113,45.46,94.16,27.27,74.45,0.01
3.1,158,115,43.11,101.73,25.87,80.92,-0.01
3.2,157,117,39.77,106.77,23.86,86.88,-0.02
3.4,157,122,35.08,110.72,21.05,92.14,-0.03
3.5,158,122,36.08,113.17,21.65,97.56,0.01
3.7,157,124,32.73,119.21,19.64,102.47,-0.02
3.8,158,125,32.56,122.09,19.54,107.35,-0.00
4.0,157,130,26.87,126.89,16.12,111.38,-0.03
4.1,158,131,26.70,127.47,16.02,115.39,-0.00
4.3,157,134,23.35,131.40,14.01,118.89,-0.02
4.4,159,135,24.18,132.88,14.51,122.52,0.00
4.6,158,138,19.66,137.03,11.80,125.47,-0.02
4.7,159,138,20.66,137.24,12.40,128.56,0.01
4.9,158,140,18.49,140.97,11.10,131.34,-0.01
5.0,159,140,19.49,142.42,11.70,134.26,0.01
5.2,158,141,17.32,145.96,10.39,136.86,-0.01
5.3,159,141,18.32,147.24,10.99,139.61,0.01
5.5,159,143,15.98,150.61,9.59,142.00,-0.01
5.6,158,143,14.98,151.58,8.99,144.25,-0.01
5.8,158,145,12.63,153.23,7.58,146.15,-0.01
5.9,158,143,14.98,153.71,8.99,148.39,0.01
6.1,159,145,13.63,157.39,8.18,150.44,-0.01
6.2,157,145,11.63,158.61,6.98,152.18,-0.01
6.4,159,148,11.29,159.15,6.77,153.87,-0.00
6.6,158,148,10.29,160.64,6.17,155.42,-0.01
6.7,159,147,12.46,161.58,7.48,157.29,0.01
6.9,159,148,11.29,164.77,6.77,158.98,-0.01
7.0,157,149,8.11,165.74,4.87,160.20,-0.02
7.2,158,150,7.94,165.05,4.76,161.39,-0.00
7.3,158,150,7.94,166.15,4.76,162.58,0.00
7.5,158,149,9.11,167.34,5.47,163.95,0.01
7.6,157,147,10.46,169.42,6.28,165.51,0.01
7.8,158,149,9.11,171.80,5.47,166.88,-0.01
7.9,157,150,6.94,172.34,4.16,167.92,-0.01
8.1,158,151,6.77,172.08,04.06,168.94,-0.00
8.2,157,150,6.94,173.00,4.16,169.98,0.00
8.4,157,152,4.60,174.14,2.76,170.67,-0.01
8.5,158,151,6.77,173.41,04.06,171.68,0.01
8.6,157,152,4.60,175.76,2.76,172.37,-0.01
8.8,158,150,7.94,175.12,4.76,173.56,0.02
9.0,157,152,4.60,178.35,2.76,174.25,-0.02
9.1,158,152,5.60,176.99,3.36,175.09,0.01
9.3,158,154,4.42,178.46,2.65,175.76,-0.01
