Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI,AcaoD
2.2,159,0,159.00,0.00,95.40,39.75,0.51
2.4,157,49,108.47,135.66,65.08,66.87,-0.16
2.7,159,116,42.94,131.78,25.76,77.60,-0.21
2.9,158,124,34.20,103.15,20.52,86.15,-0.03
3.2,158,119,39.13,106.64,23.48,95.93,0.02
3.5,158,122,36.31,119.42,21.79,105.01,-0.01
3.7,159,127,32.39,126.79,19.43,113.11,-0.01
4.0,158,129,28.57,132.53,17.14,120.25,-0.01
4.2,159,133,26.06,137.38,15.63,126.77,-0.01
4.5,158,134,23.65,142.39,14.19,132.68,-0.01
4.7,159,136,23.24,146.86,13.95,138.49,-0.00
5.0,158,137,20.84,152.43,12.50,143.70,-0.01
5.2,158,141,17.32,156.19,10.39,148.03,-0.01
5.5,159,141,18.32,158.41,10.99,152.61,0.00
5.7,158,142,15.91,163.60,9.55,156.59,-0.01
6.0,158,143,14.51,166.13,8.70,160.21,-0.00
6.2,158,143,14.51,168.91,8.70,163.84,0.00
6.5,158,144,13.80,172.54,8.28,167.29,-0.00
6.7,158,145,13.10,175.57,7.86,170.57,-0.00
7.0,158,148,10.29,178.42,6.17,173.14,-0.01
7.2,158,147,10.99,179.30,6.59,175.88,0.00
7.5,158,148,10.29,182.48,6.17,178.46,-0.00
7.7,158,148,10.29,184.63,6.17,181.03,0.00
8.0,158,148,10.29,187.20,6.17,183.60,0.00
8.2,158,147,10.99,189.77,6.59,186.35,0.00
8.5,158,149,8.88,192.94,5.33,188.57,-0.01
8.7,158,151,7.47,193.89,4.48,190.43,-0.00
9.0,158,151,7.47,194.91,4.48,192.30,0.00
9.2,158,150,8.18,196.79,4.91,194.35,0.00
9.5,158,151,7.47,199.25,4.48,196.21,-0.00
9.7,158,151,6.77,200.70,04.06,197.91,-0.00
10.0,158,152,06.07,201.97,3.64,199.42,-0.00
10.2,158,152,06.07,203.06,3.64,200.94,0.00
10.5,158,153,4.66,204.58,2.80,202.10,-0.00
10.7,158,152,06.07,204.90,3.64,203.62,0.00
11.0,158,152,06.07,207.27,3.64,205.14,0.00
11.2,158,154,3.96,208.78,2.37,206.13,-0.01
11.5,158,153,5.36,208.49,3.22,207.47,0.00
11.7,158,153,4.66,210.69,2.80,208.63,-0.00
12.0,158,154,3.96,211.42,2.37,209.62,-0.00
12.2,158,154,3.96,211.99,2.37,210.61,0.00
12.5,158,153,4.66,212.98,2.80,211.77,0.00
12.7,158,154,3.96,214.57,2.37,212.76,-0.00
13.0,158,154,3.96,215.13,2.37,213.75,0.00
13.2,158,154,3.96,216.13,2.37,214.74,0.00
13.5,158,154,3.96,217.11,2.37,215.73,0.00
13.7,158,153,4.66,218.10,2.80,216.89,0.00
14.0,158,155,2.55,219.69,1.53,217.53,-0.01
14.2,158,155,3.25,219.05,1.95,218.34,0.00
14.5,158,153,4.66,220.30,2.80,219.51,0.00
14.7,158,154,3.96,222.31,2.37,220.50,-0.00
